Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency,Industry
NVDA,NVIDIA Corporation,1.267334960785331,148835398,0.9827574574035939,4718273970084.617,USD,29.858494900303224,6.5298,USD,110.33338701884364,0.020775982963694,Electronic technology,Strong buy,194.97,USD,Semiconductors
GOOG,Alphabet Inc.,4.95682571932235,25565726,0.8974715397354336,4275021867782.8013,USD,26.79665270689826,13.1091,USD,46.187815730487436,0.250978517434043,Technology services,Strong buy,351.28,USD,Internet software/Services
GOOGL,Alphabet Inc.,4.819348528409257,34213597,0.7821342745323231,4269422251050.427,USD,26.977443150178118,13.1091,USD,46.187815730487436,0.248970034677969,Technology services,Strong buy,353.65,USD,Internet software/Services
AAPL,Apple Inc.,-0.7188667277468334,66426319,0.8603352339083512,4138015787102.447,USD,34.082138752797434,8.2665,USD,29.004822172630675,0.370004933399112,Electronic technology,Buy,281.74,USD,Telecommunications equipment
GOOGM,Alphabet Inc. - Depositary Shares representing a 1/20th Interest in a Share of Series A Mandatory Convertible Preferred Stock,3.897988803649186,4111777,1.0132377375135764,4073124199864,USD,3.8225354906133906,13.1091,USD,46.187815730487436,0.248970034677969,Technology services,No rating,50.11,USD,Internet software/Services
GOOGN,Alphabet Inc. - Depositary Shares representing a 1/20th Interest in a Share of Series B Mandatory Convertible Preferred Stock,3.6983170579679903,3561549,1.6454326462743625,4073124199864,USD,3.807278913121419,13.1091,USD,46.187815730487436,0.248970034677969,Technology services,No rating,49.91,USD,Internet software/Services
MSFT,Microsoft Corporation,-1.1797195484891638,51229399,0.8782881923566354,2737898138540.6533,USD,21.951626255948447,16.7901,USD,29.74746147782946,0.954500361959407,Technology services,Strong buy,368.57,USD,Packaged software
AMZN,"Amazon.com, Inc.",3.20168464480639,77618047,1.0028840671307289,2583212272415.5845,USD,28.698447602088986,8.3677,USD,36.47513577870922,0,Retail trade,Strong buy,240.14,USD,Internet retail
SPCX,Space Exploration Technologies Corp,7.152646348626254,81442934,0.37624404024162017,2164646896972.0132,USD,,,,,0,Communications,Buy,164.19,USD,Specialty telecommunications
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,5.261940557418757,14881369,1.0187805668095467,1902372667787.094,USD,37.823821278081134,12.0321,USD,54.805465493283926,0.609682664507922,Electronic technology,Strong buy,455.1,USD,Semiconductors
AVGO,Broadcom Inc.,2.0355049038408874,24285229,0.7486318438928696,1771960646765.547,USD,62.00266355918096,6.007,USD,125.81008946695735,0.679414826584845,Electronic technology,Strong buy,372.45,USD,Semiconductors
TSLA,"Tesla, Inc.",8.46172078691633,57645161,1.225287938141508,1546757186129.7102,USD,376.24703087885985,1.0946,USD,-39.80422349318082,0,Consumer durables,Neutral,411.84,USD,Motor vehicles
META,"Meta Platforms, Inc.",2.2444343480236295,15011399,0.8780800606280881,1428116850775.019,USD,20.453273032653982,27.5066,USD,7.29342195593833,0.381644706951386,Technology services,Strong buy,562.6,USD,Internet software/Services
MU,"Micron Technology, Inc.",1.1436595338814697,60691758,1.0216741720508757,1293471240894.3425,USD,25.927678330892125,44.1721,USD,697.287150515315,0.0437151713723031,Electronic technology,Strong buy,1145.28,USD,Semiconductors
LLY,Eli Lilly and Company,1.805284243287105,3684723,1.0697214711996847,1158275988094.067,USD,44.27234440804867,27.781,USD,130.14091274344932,0.534715094527034,Health technology,Buy,1229.93,USD,Pharmaceuticals: major
BRK.A,Berkshire Hathaway Inc.,-0.21875485605034906,142,0.5178701677607586,1071746046741.4045,USD,14.755181881713852,50389.755,USD,-10.480948284775364,0,Finance,Buy,743510,USD,Property/Casualty insurance
BRK.B,Berkshire Hathaway Inc. New,-0.5334295913047016,5200695,0.881334985773765,1068366095980.5239,USD,14.764892894990652,33.5932,USD,-10.480916050876308,0,Finance,Buy,496,USD,Property/Casualty insurance
WMT,Walmart Inc.,-0.9421730486645374,20366960,0.8670562630665877,911995884285.2397,USD,40.370592172473316,2.8387,USD,21.780351780351772,0.834125680698418,Retail trade,Buy,114.6,USD,Specialty stores
JPM,JP Morgan Chase & Co.,0.10332776173833003,7981795,0.711200744229837,882604251878.5695,USD,15.777347754030673,20.8774,USD,2.4753228521923547,1.79304057134174,Finance,Buy,329.39,USD,Major banks
AMD,"Advanced Micro Devices, Inc.",3.4337973081789883,26670111,0.8157188571420811,879692738931.0272,USD,177.06193179953397,3.0469,USD,123.34701656648583,0,Electronic technology,Buy,539.49,USD,Semiconductors
