Symbol,Description,Price,Price - Currency,Price change % 1 day,Volume 1 day,Relative volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating
NVDA,NVIDIA Corporation,205.1,USD,-6.201408579529865,219652698,1.1578905158449695,4963420000000,USD,31.40984409935986,6.5298,USD,110.33338701884364,0.0186263096623981,Electronic technology,Strong buy
AAPL,Apple Inc.,307.34,USD,-1.249879510329995,65310470,1.3263608050160707,4514012271983.789,USD,37.17897538256819,8.2665,USD,29.004822172630675,0.338425836395281,Electronic technology,Buy
GOOG,Alphabet Inc.,365.76,USD,-0.9505240068242725,23411519,0.8782478968115393,4454258878801.214,USD,27.901228917316978,13.1091,USD,46.187815730487436,0.236167341430499,Technology services,Strong buy
GOOGL,Alphabet Inc.,368.53,USD,-0.9833687095300855,37470922,1.090930747536471,4446611502539.375,USD,28.112532515580778,13.1091,USD,46.187815730487436,0.233989804729937,Technology services,Strong buy
AMZN,"Amazon.com, Inc.",246.03,USD,-3.057646085346149,55601357,1.3238030585113638,2646571664757.2954,USD,29.402344730332114,8.3677,USD,36.47513577870922,0,Retail trade,Strong buy
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,415.17,USD,-6.686595342983008,19644109,1.7790600451259648,1994617994675.6956,USD,34.50519859376169,12.0321,USD,54.805465493283926,0.603623394169777,Electronic technology,Strong buy
AVGO,Broadcom Inc.,385.73,USD,-7.920555727960661,51146043,1.5463449542220933,1826303517454.1287,USD,64.20700446101606,6.0076,USD,125.83264416209308,0.517496817811907,Electronic technology,Strong buy
MU,"Micron Technology, Inc.",864.01,USD,-13.252008032128515,77247832,1.4662192137330738,974373412456.8495,USD,40.791169569384316,21.1813,USD,409.11691183540046,0.0458515890586067,Electronic technology,Strong buy
AMD,"Advanced Micro Devices, Inc.",466.38,USD,-10.860091743119275,46899568,1.530522034774623,760479528647.1234,USD,153.06705175752404,3.0469,USD,123.34701656648583,0,Electronic technology,Buy
ASML,ASML Holding N.V. - New York Registry Shares,1641.74,USD,-6.585034168435308,2744506,1.8663023242672288,657942441758.4362,USD,54.74072394569074,29.9912,USD,26.402744587321447,0.432575940128363,Electronic technology,Buy
