Symbol,Description,Price change % 1 day,Volume 1 day,Relative volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency
NVDA,NVIDIA Corporation,-6.201408579529865,219652698,1.1578905158449695,4963420147705,USD,31.40984409935986,6.5298,USD,110.33338701884364,0.0195026816187226,Electronic technology,Strong buy,205.1,USD
AAPL,Apple Inc.,-1.249879510329995,65310470,1.3263608050160707,4514012076116,USD,37.17897538256819,8.2665,USD,29.004822172630675,0.341641179150127,Electronic technology,Buy,307.34,USD
GOOG,Alphabet Inc.,-0.9505240068242725,23411519,0.8781642808605011,4450038026228.001,USD,27.901228917316978,13.1091,USD,46.187815730487436,0.229658792650919,Technology services,Strong buy,365.76,USD
GOOGL,Alphabet Inc.,-0.9833687095300855,37471206,1.0909141407603398,4450038026228.001,USD,28.112532515580778,13.1091,USD,46.187815730487436,0.227932597074865,Technology services,Strong buy,368.53,USD
AMZN,"Amazon.com, Inc.",-3.057646085346149,55601357,1.3238030585113638,2646571606400,USD,29.402344730332114,8.3677,USD,36.47513577870922,0,Retail trade,Strong buy,246.03,USD
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,-6.686595342983008,19644109,1.7790600451259648,1938458985726.588,USD,34.50519859376169,12.0321,USD,54.805465493283926,0.634911722908688,Electronic technology,Strong buy,415.17,USD
AVGO,Broadcom Inc.,-7.920555727960661,51146043,1.5463449542220933,1826303527602.9995,USD,64.20700446101606,6.0076,USD,125.83264416209308,0.642936769242735,Electronic technology,Strong buy,385.73,USD
MU,"Micron Technology, Inc.",-13.252008032128515,77247832,1.4662192137330738,974373471946.9999,USD,40.791169569384316,21.1813,USD,409.11691183540046,0.0572910035763475,Electronic technology,Strong buy,864.01,USD
AMD,"Advanced Micro Devices, Inc.",-10.860091743119275,46899568,1.530522034774623,760479509231,USD,153.06705175752404,3.0469,USD,123.34701656648583,0,Electronic technology,Buy,466.38,USD
ASML,ASML Holding N.V. - New York Registry Shares,-6.585034168435308,2744506,1.8663023242672288,643268397942.5782,USD,54.74072394569074,29.9912,USD,26.402744587321447,0.454872147843142,Electronic technology,Buy,1641.74,USD
ORCL,Oracle Corporation,-9.587881865109587,29019542,1.2259140056587006,614553466513,USD,38.36472341418748,5.5697,USD,30.860861801607076,0.935979034069637,Technology services,Buy,213.68,USD
INTC,Intel Corporation,-11.28108785113616,145208337,1.3045757563230926,498428410797.00006,USD,,-0.6263,USD,85.99601994499474,0,Electronic technology,Neutral,99.17,USD
BAC,Bank of America Corporation,-0.6276536828502924,38829439,0.9402154690692209,382009470567,USD,13.3566572378542,4.0302,USD,20.322436184505147,2.04347018391232,Finance,Strong buy,53.83,USD
LRCX,Lam Research Corporation,-9.848102018370456,13308934,1.504091643428136,379273184977,USD,57.24316264321171,5.2981,USD,47.59583240472476,0.333025586916381,Producer manufacturing,Buy,303.28,USD
ARM,Arm Holdings plc,-12.8380439202928,14883049,1.0638754872764935,364877512207,USD,405.1630434782609,0.8464,USD,13.595490538182803,0,Electronic technology,Buy,342.93,USD
UNH,UnitedHealth Group Incorporated,0.7566776805306832,10897296,1.6523990075685462,362776423862,USD,30.169627212857232,13.2408,USD,-44.64988148934658,2.21293213507898,Health services,Buy,399.47,USD
AMAT,"Applied Materials, Inc.",-9.705002989834561,11909123,1.685551780248552,359671560812,USD,42.56412665601804,10.643,USD,29.538345443701996,0.421624246705371,Producer manufacturing,Strong buy,453.01,USD
GE,GE Aerospace,0.10682130321990624,3951484,0.7822470708722447,342214627930,USD,40.423958590091196,8.114,USD,26.528193612774466,0.472560975609756,Electronic technology,Buy,328,USD
MS,Morgan Stanley,-2.9046593668392373,6170991,0.9966985020589744,334273979871,USD,19.194645461050076,11.0411,USD,29.550841292563295,1.88741565611287,Finance,Buy,211.93,USD
