Symbol,Description,Price change % 1 day,Volume 1 day,Relative volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency
NVDA,NVIDIA Corporation,1.725987323256944,138331549,0.7230079378300478,5049088150254.369,USD,31.951974026769577,6.5298,USD,110.33338701884364,0.0195026816187226,Electronic technology,Strong buy,208.64,USD
AAPL,Apple Inc.,-1.887160799114972,77941442,1.5141644942253418,4428825409748.224,USD,36.47734833363576,8.2665,USD,29.004822172630675,0.341641179150127,Electronic technology,Buy,301.54,USD
GOOG,Alphabet Inc.,-1.254921259842513,18736081,0.68587613550795,4394193552965.789,USD,27.55109046387624,13.1091,USD,46.187815730487436,0.229658792650919,Technology services,Strong buy,361.17,USD
GOOGL,Alphabet Inc.,-1.4164382818223675,27938812,0.784571472147927,4387005984068.855,USD,27.71433584304033,13.1091,USD,46.187815730487436,0.227932597074865,Technology services,Strong buy,363.31,USD
AMZN,"Amazon.com, Inc.",-0.3292281429094022,33893313,0.7720187025925129,2637858347849.4814,USD,29.30554393680462,8.3677,USD,36.47513577870922,0,Retail trade,Strong buy,245.22,USD
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,2.801262133583832,11243940,0.9282947431785084,1938458985726.588,USD,35.47177965608664,12.0321,USD,54.805465493283926,0.634911722908688,Electronic technology,Strong buy,426.8,USD
AVGO,Broadcom Inc.,2.818033339382471,37096146,1.0162348438474165,1877769369889.1704,USD,66.01637925294627,6.0076,USD,125.83264416209308,0.642936769242735,Electronic technology,Strong buy,396.6,USD
MU,"Micron Technology, Inc.",9.869098737283132,54065832,0.9626474877357944,1070535351963.343,USD,44.816890370279445,21.1813,USD,409.11691183540046,0.0572910035763475,Electronic technology,Strong buy,949.28,USD
AMD,"Advanced Micro Devices, Inc.",5.135297396972423,25154222,0.7714216920540489,799532393673.0482,USD,160.9275000820506,3.0469,USD,123.34701656648583,0,Electronic technology,Buy,490.33,USD
ASML,ASML Holding N.V. - New York Registry Shares,6.5357486569127845,2062029,1.2814261936236335,643268397942.5782,USD,58.318440075755554,29.9912,USD,26.402744587321447,0.454872147843142,Electronic technology,Buy,1749.04,USD
ORCL,Oracle Corporation,-0.8704605016847685,17219290,0.6789474396638752,609204021325.2698,USD,38.03077365028637,5.5697,USD,30.860861801607076,0.935979034069637,Technology services,Buy,211.82,USD
INTC,Intel Corporation,11.192901078955323,136943081,1.1848078803445092,554217009766.9174,USD,,-0.6263,USD,85.99601994499474,0,Electronic technology,Neutral,110.27,USD
LRCX,Lam Research Corporation,6.980348193088901,11464582,1.2376561830073267,405747773891.4127,USD,61.238934712444085,5.2981,USD,47.59583240472476,0.333025586916381,Producer manufacturing,Buy,324.45,USD
AMAT,"Applied Materials, Inc.",8.644400785854621,9726652,1.265166361801436,390763012041.3281,USD,46.24354035516301,10.643,USD,29.538345443701996,0.421624246705371,Producer manufacturing,Strong buy,492.17,USD
BAC,Bank of America Corporation,-0.3715400334385951,30332035,0.7147848046823319,380590152452.3167,USD,13.3070319090864,4.0302,USD,20.322436184505147,2.04347018391232,Finance,Strong buy,53.63,USD
UNH,UnitedHealth Group Incorporated,1.7773549953688552,6962804,0.9655383518732408,369224248753.5318,USD,30.70584858920911,13.2408,USD,-44.64988148934658,2.21293213507898,Health services,Buy,406.57,USD
ARM,Arm Holdings plc,1.0089522643104947,9055039,0.6809268656864571,364877512207,USD,409.2509451795841,0.8464,USD,13.595490538182803,0,Electronic technology,Buy,346.39,USD
GE,GE Aerospace,-1.817073170731701,3151923,0.6362672470082471,335996337739.56464,USD,39.689425684002956,8.114,USD,26.528193612774466,0.472560975609756,Electronic technology,Buy,322.04,USD
MS,Morgan Stanley,0.14627471334874828,4732020,0.7599455038508935,334762938176.8557,USD,19.222722373676536,11.0411,USD,29.550841292563295,1.88741565611287,Finance,Buy,212.24,USD
HSBC,"HSBC Holdings, plc.",0.8039647577092555,1510615,0.846392398882298,311911094793.61304,USD,15.126175406124506,6.0511,USD,11.526623292847004,4.1079295154185,Finance,Neutral,91.53,USD
GS,"Goldman Sachs Group, Inc. (The)",0.6084645896715,2326584,1.0009001538228832,308282765423.08984,USD,19.096733636200828,54.7214,USD,26.993564617230493,1.4922786613779,Finance,Neutral,1045,USD
KLAC,KLA Corporation,9.271200497615586,1165880,1.1254864054567961,275370637993.51965,USD,59.59483450748024,35.3732,USD,28.557358579709614,0.414679659962679,Electronic technology,Buy,2108.06,USD
TXN,Texas Instruments Incorporated,2.048691503543105,7790921,0.8433251581957001,264746003280.80298,USD,49.76647905154568,5.8453,USD,10.750487883438492,1.9715147688206,Electronic technology,Buy,290.9,USD
IBM,International Business Machines Corporation,-1.4113186350231646,6790360,0.4124070485920326,263938573608.86963,USD,24.830891390271724,11.3093,USD,94.53513374043176,2.36272995365819,Technology services,Buy,280.82,USD
DELL,Dell Technologies Inc.,1.6176880752554568,8568378,0.48497390660599105,261472174848.08554,USD,31.849355892333488,12.5833,USD,100.62659438775508,0.559091254849261,Electronic technology,Buy,400.77,USD
MRVL,"Marvell Technology, Inc.",9.63297529130451,84525577,1.3100826763392994,252685977645.08368,USD,98.70489338436305,2.9264,USD,,0.0910919649295935,Electronic technology,Strong buy,288.85,USD
