Symbol,Description,Price change % 1 day,Volume 1 day,Relative volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency
NVDA,NVIDIA Corporation,-0.21568251533741786,180878026,0.9609048707448961,5038197985260.859,USD,31.88305920548868,6.5298,USD,110.33338701884364,0.0191717791411043,Electronic technology,Strong buy,208.19,USD
GOOG,Alphabet Inc.,0.3101032754658483,19867611,0.7133120511479596,4403843652484.478,USD,27.63652729783128,13.1091,USD,46.187815730487436,0.232577456599385,Technology services,Strong buy,362.29,USD
GOOGL,Alphabet Inc.,0.2614846825025429,29528972,0.8121209361293271,4401709184718.791,USD,27.786804586127193,13.1091,USD,46.187815730487436,0.231207508739093,Technology services,Strong buy,364.26,USD
AAPL,Apple Inc.,-3.644624262121114,70098341,1.2767726644437258,4267411536113.922,USD,35.14788604608964,8.2665,USD,29.004822172630675,0.348212509119851,Electronic technology,Buy,290.55,USD
AMZN,"Amazon.com, Inc.",-0.4200309925780936,44414565,0.9972153025988686,2626778551357.594,USD,29.18245156972645,8.3677,USD,36.47513577870922,0,Retail trade,Strong buy,244.19,USD
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,0.26241799437675833,21195851,1.692172998202593,1886440209172.6348,USD,35.564863988829885,12.0321,USD,54.805465493283926,0.617610824742268,Electronic technology,Strong buy,427.92,USD
AVGO,Broadcom Inc.,-1.1195158850226923,37018343,0.9539645108441023,1856747419199.235,USD,65.27731540049271,6.0076,USD,125.83264416209308,0.625315179021684,Electronic technology,Strong buy,392.16,USD
MU,"Micron Technology, Inc.",-1.4105427271194997,73372238,1.2656316328224315,1055435014058.2893,USD,44.184728982640344,21.1813,USD,409.11691183540046,0.0521447834147986,Electronic technology,Strong buy,935.89,USD
AMD,"Advanced Micro Devices, Inc.",-3.023473986906775,37791095,1.1941206023766067,775358710382.4884,USD,156.06189897929042,3.0469,USD,123.34701656648583,0,Electronic technology,Buy,475.505,USD
ASML,ASML Holding N.V. - New York Registry Shares,1.6426153775785584,3151062,1.911566057442552,667229170122.3502,USD,59.276387740403855,29.9912,USD,26.402744587321447,0.426966678863834,Electronic technology,Buy,1777.77,USD
INTC,Intel Corporation,-2.131132674344785,149568158,1.235962785934292,542405903487.56476,USD,,-0.6263,USD,85.99601994499474,0,Electronic technology,Neutral,107.92,USD
LRCX,Lam Research Corporation,0.8352596702111378,14466120,1.503171815851614,409136838450.2498,USD,61.75043883656406,5.2981,USD,47.59583240472476,0.311296039451379,Producer manufacturing,Buy,327.16,USD
AMAT,"Applied Materials, Inc.",1.4304000650181774,11730720,1.4355705373852674,396352488689.31384,USD,46.905007986469975,10.643,USD,29.538345443701996,0.38807729036715,Producer manufacturing,Strong buy,499.21,USD
BAC,Bank of America Corporation,1.4730561253030006,32328760,0.7553440938800544,386196453560.9648,USD,13.50305195771922,4.0302,USD,20.322436184505147,2.05109080738393,Finance,Strong buy,54.42,USD
UNH,UnitedHealth Group Incorporated,1.5815234768920499,8588484,1.1689104544736668,375063622540.7703,USD,31.191468793426377,13.2408,USD,-44.64988148934658,2.17428733059498,Health services,Buy,413,USD
ARM,Arm Holdings plc,-6.215537400040409,13391804,1.0456208590422644,368558975586,USD,383.8137996219282,0.8464,USD,13.595490538182803,0,Electronic technology,Buy,324.86,USD
GE,GE Aerospace,2.608371630853303,4825133,0.9810010045376664,344760380040.8265,USD,40.724673403993094,8.114,USD,26.528193612774466,0.481306669978885,Electronic technology,Buy,330.44,USD
MS,Morgan Stanley,-0.9376177911798006,7841208,1.2394930223894935,331624161353.668,USD,19.042486708751845,11.0411,USD,29.550841292563295,1.88465887674331,Finance,Buy,210.25,USD
HSBC,"HSBC Holdings, plc.",-2.392658144870532,3875191,2.118995963662022,314247772973.7802,USD,14.764257738262465,6.0511,USD,11.526623292847004,4.07516661203977,Finance,Neutral,89.34,USD
GS,"Goldman Sachs Group, Inc. (The)",-1.2430622009569388,2868041,1.212869306658033,304450603150.1309,USD,18.859349358751786,54.7214,USD,26.993564617230493,1.48325358851675,Finance,Neutral,1032.01,USD
KLAC,KLA Corporation,1.4852518429266695,1636481,1.5151088145915794,279460600309.87317,USD,60.47996788529169,35.3732,USD,28.557358579709614,0.379495839776856,Electronic technology,Buy,2139.37,USD
TXN,Texas Instruments Incorporated,-0.7803368855276666,8920411,0.9587279332654645,262680089302.09555,USD,49.378132858878075,5.8453,USD,10.750487883438492,1.93193537298041,Electronic technology,Buy,288.63,USD
IBM,International Business Machines Corporation,-1.1858129762837348,9005899,0.5910559383293482,260808765908.86023,USD,24.53644345803896,11.3093,USD,94.53513374043176,2.39655295206894,Technology services,Buy,277.49,USD
DELL,Dell Technologies Inc.,-4.738378621154281,10469322,0.6160044109007504,249082617135.52612,USD,30.34021282175582,12.5833,USD,100.62659438775508,0.550190882551089,Electronic technology,Buy,381.78,USD
SNDK,Sandisk Corporation,0.27649208282581994,16212145,1.5782593314283802,243835725707.25092,USD,57.236913001310526,28.7671,USD,,0,Electronic technology,Buy,1646.54,USD
MRVL,"Marvell Technology, Inc.",-7.606023887831063,94711095,1.3340685720784438,233466625675.10275,USD,91.19737561509021,2.9264,USD,,0.0830881080145404,Electronic technology,Strong buy,266.88,USD
C,"Citigroup, Inc.",1.0879351740696193,11661559,1.0109944647476992,231049481411.74567,USD,16.69516728624535,8.07,USD,27.480096044483766,1.80072028811525,Finance,Strong buy,134.73,USD
BHP,BHP Group Limited,1.2305854241338126,5178415,1.8664956990778203,219261387241.83328,USD,21.013863743458746,4.0321,USD,-9.901233464426177,3.14217443249701,Non-energy minerals,Neutral,84.73,USD
QCOM,QUALCOMM Incorporated,-5.671120907379355,29903952,1.353386837668225,216512684247.62943,USD,22.344290469249678,9.1934,USD,-6.380855397148674,1.63475226156036,Electronic technology,Neutral,205.42,USD
PANW,"Palo Alto Networks, Inc.",-2.181504148988098,7662410,0.6965329315002419,212323789294.74384,USD,214.29629020317512,1.2157,USD,-30.432045779685268,0,Technology services,Buy,260.52,USD
ADI,"Analog Devices, Inc.",0.18074228131422374,5415316,1.0405563483049798,197085163708.2735,USD,60.128990073114196,6.7292,USD,83.19222497481829,1.00770011636832,Electronic technology,Buy,404.62,USD
ANET,"Arista Networks, Inc.",-2.7109974424552483,7333492,0.780400822003941,191600265725.67465,USD,52.10245171894261,2.9204,USD,23.546831373212623,0,Electronic technology,Strong buy,152.16,USD
STX,Seagate Technology Holdings PLC,-3.5083317175542037,3137067,0.9739818885462518,189699970911.5544,USD,80.3046986236355,10.535,USD,52.226685547495876,0.333040592173546,Electronic technology,Buy,846.01,USD
APH,Amphenol Corporation,7.291086350974931,15431924,1.4953930436418854,189542237019.79218,USD,44.27298850574712,3.48,USD,68.63733281643728,0.577994428969359,Electronic technology,Strong buy,154.07,USD
WDC,Western Digital Corporation,-1.7478602470916296,7277561,1.0538349249160315,178448829296.8994,USD,30.90478208702193,16.7521,USD,218.5112653294039,0.0854003378057807,Electronic technology,Buy,517.72,USD
RIO,Rio Tinto Plc,0.4854849895967451,3084711,1.145452447090178,175671560200.21243,USD,16.63823085504298,6.0956,USD,-13.847980326200638,3.9581888437531,Non-energy minerals,Buy,101.42,USD
CRWD,"CrowdStrike Holdings, Inc.",-2.103857071297381,3739448,0.877644926375492,164176483458.6794,USD,,-0.1885,USD,73.02132531844855,0,Technology services,Buy,644.93,USD
IBKR,"Interactive Brokers Group, Inc.",-1.1677160847166528,4428062,0.7101653420750234,146433991887.94998,USD,37.1152192605331,2.326,USD,28.423144876325097,0.366342301087579,Finance,Buy,86.33,USD
SCCO,Southern Copper Corporation,2.7510558423275446,1608149,1.2231474417822832,146148826331.97784,USD,29.670217991497143,5.9039,USD,36.79417966125258,2.11706645940873,Non-energy minerals,Sell,175.17,USD
VRT,"Vertiv Holdings, LLC",-3.676348271617264,11117020,1.9236523699079433,111207189921.77023,USD,72.6798041922932,3.9835,USD,130.95431354359923,0.0665402402102672,Electronic technology,Buy,289.52,USD
SBUX,Starbucks Corporation,2.7314912465724572,10619363,1.3076645548587535,111018171886.02637,USD,74.34742787360707,1.3102,USD,-52.37541347097525,2.60493566758068,Consumer services,Buy,97.41,USD
CDNS,"Cadence Design Systems, Inc.",-0.8471996753246833,2595624,0.8918483117350052,107816475451.01965,USD,91.25714952725575,4.2835,USD,8.486982068686055,0,Technology services,Strong buy,390.9,USD
HWM,Howmet Aerospace Inc.,4.303386736970194,3162171,1.1748969094859993,102891641579.24266,USD,59.657588270774376,4.3106,USD,40.55234927777234,0.194686676130602,Electronic technology,Buy,257.16,USD
BN,Brookfield Corporation,2.8939633732760597,5335138,1.2375873030306648,101815601237.68842,USD,91.73060174718435,0.49612669200000004,USD,169.9492374738812,0.555925749621014,Finance,Buy,45.51,USD
FCX,"Freeport-McMoRan, Inc.",0.5319981223595736,15696051,1.239312073494378,92363217857.74527,USD,34.18098632760547,1.8797,USD,55.154766817994215,0.93882021592865,Non-energy minerals,Buy,64.25,USD
CMI,Cummins Inc.,-0.5128738776238229,902644,0.9264097450352359,92346417249.08688,USD,34.73686396030251,19.2657,USD,-4.155514651012388,1.18927275970744,Producer manufacturing,Buy,669.23,USD
UPS,"United Parcel Service, Inc.",0.15784586815227641,5901856,0.983238260770012,91690171601.42442,USD,17.463452540918585,6.1769,USD,-9.902564252166055,6.09099350046425,Transportation,Buy,107.87,USD
SNPS,"Synopsys, Inc.",-1.7339697558503075,2165860,0.8886536498802435,89089587303.67726,USD,107.63909774436091,4.3225,USD,-68.87197361409169,0,Technology services,Buy,465.27,USD
SNOW,Snowflake Inc.,-0.3285506342274868,5721510,0.365754705371883,83066156408.65294,USD,,-3.5146,USD,16.45828381269312,0,Technology services,Strong buy,239.66,USD
NOK,Nokia Corporation Sponsored,-5.071967100753943,186460637,1.3128701373201705,82844097055.48854,USD,86.40049906425452,0.1603,USD,8.67796610169492,0.823495544893763,Electronic technology,Buy,13.85,USD
DDOG,"Datadog, Inc.",-1.8732734806629847,4518573,0.6270757802002574,80923988551.31665,USD,606.7253803042435,0.3747,USD,-18.825823223570197,0,Technology services,Strong buy,227.34,USD
EMR,Emerson Electric Company,2.408858848062123,2890431,1.2086772427300123,79769442724.03064,USD,32.85806570690291,4.3344,USD,3.4463007159904335,1.57654418638096,Electronic technology,Buy,142.42,USD
ABNB,"Airbnb, Inc.",-2.291155248084514,3492375,0.9420381547605192,79165283815.54152,USD,32.35301362102515,4.0599,USD,2.1538384117957854,0,Consumer services,Buy,131.35,USD
FDX,FedEx Corporation,0.4663557628247724,1657081,0.7222390288466335,79160175835.11258,USD,17.659583528509984,18.7864,USD,17.954642489388956,1.75640482102841,Transportation,Buy,331.76,USD
APO,"Apollo Global Management, Inc. (New)",4.021321627341848,3661199,1.0508730986287096,76503874334.58728,USD,87.2624449266785,1.5207,USD,-73.13820391436445,1.64027592694207,Finance,Buy,132.7,USD
GM,General Motors Company,-0.011937447773655133,8986053,1.0034350642541934,75523470869.75005,USD,33.78509196515005,2.4792,USD,-64.28849228641805,0.752059209740957,Consumer durables,Buy,83.76,USD
MPWR,"Monolithic Power Systems, Inc.",-1.7445067278954351,985863,1.2329427554922352,75266181628.91643,USD,110.37319884726224,13.88,USD,-63.151159888922514,0.428430328762555,Electronic technology,Buy,1531.98,USD
ASX,"ASE Technology Holding Co., Ltd.",-1.2387387387387523,18015907,1.5919669547803588,75104828408.77167,USD,52.07838479809976,0.6736,USD,43.41068767298275,0.735546171171171,Electronic technology,Strong buy,35.08,USD
NXPI,NXP Semiconductors N.V.,-1.238626552434071,5081658,1.2011065389147246,75087428921.65549,USD,28.45838077832107,10.4507,USD,13.848248815294934,1.3468818489739,Electronic technology,Buy,297.41,USD
