Symbol,Description,Price change % 1 day,Volume 1 day,Relative volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency
NVDA,NVIDIA Corporation,-3.7321677313992074,161020180,0.8582605939282171,4850164056876.96,USD,30.69312995803853,6.5298,USD,110.33338701884364,0.0192132186944618,Electronic technology,Strong buy,200.42,USD
GOOGL,Alphabet Inc.,-2.1632899577225047,32287642,0.883646775800224,4307424888202.79,USD,27.18569543294353,13.1091,USD,46.187815730487436,0.23060451325976,Technology services,Strong buy,356.38,USD
GOOG,Alphabet Inc.,-2.475917082999814,19813950,0.702002872677831,4293660955834.6133,USD,26.95226979731637,13.1091,USD,46.187815730487436,0.231858455933092,Technology services,Strong buy,353.32,USD
AAPL,Apple Inc.,0.3545000860437008,52726236,0.9231825749517495,4282539212400.0938,USD,35.27248533236557,8.2665,USD,29.004822172630675,0.361383582860093,Electronic technology,Buy,291.58,USD
AMZN,"Amazon.com, Inc.",-2.5349113395306926,38487503,0.8519025874617504,2560192056847.0127,USD,28.442702295732403,8.3677,USD,36.47513577870922,0,Retail trade,Strong buy,238,USD
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,-4.479809310151434,13099409,0.9608913724397629,1890236708014.8457,USD,33.97162590071559,12.0321,USD,54.805465493283926,0.615994344737334,Electronic technology,Strong buy,408.75,USD
AVGO,Broadcom Inc.,-5.1152590779273766,38058245,0.945523722424573,1761769967623.9402,USD,61.94439820209756,6.007,USD,125.81008946695735,0.632394940840473,Electronic technology,Strong buy,372.1,USD
MU,"Micron Technology, Inc.",-4.702475718300227,55249200,0.9581665818244843,1005803423501.3723,USD,42.106952831034924,21.1813,USD,409.11691183540046,0.0528908311874259,Electronic technology,Strong buy,891.88,USD
AMD,"Advanced Micro Devices, Inc.",-4.859044594694066,27650352,0.8755586931436087,737683712653.0472,USD,148.4787817125603,3.0469,USD,123.34701656648583,0,Electronic technology,Buy,452.4,USD
ASML,ASML Holding N.V. - New York Registry Shares,-2.451385724812542,2582652,1.4362125591829336,664722608128.3243,USD,57.82329483315106,29.9912,USD,26.402744587321447,0.420066600291376,Electronic technology,Buy,1734.19,USD
