Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency
NVDA,NVIDIA Corporation,2.220337291687465,158640086,0.8482233100599401,4957853954704.124,USD,31.374620968482958,6.5298,USD,110.33338701884364,0.0199580880151681,Electronic technology,Strong buy,204.87,USD
AAPL,Apple Inc.,1.388984155291862,42572478,0.7423300763859485,4342022985970.1855,USD,35.762414564809774,8.2665,USD,29.004822172630675,0.360107003223815,Electronic technology,Buy,295.63,USD
GOOG,Alphabet Inc.,0.9170157364428873,28771279,1.008689959763824,4340688005785.801,USD,27.199426352686302,13.1091,USD,46.187815730487436,0.237744820559266,Technology services,Strong buy,356.56,USD
GOOGL,Alphabet Inc.,0.39003311072450375,35537509,0.9485258157633567,4318021192404.326,USD,27.291728646512727,13.1091,USD,46.187815730487436,0.235703462596105,Technology services,Strong buy,357.77,USD
AMZN,"Amazon.com, Inc.",1.4747899159663826,41332831,0.9178729605198782,2597949485156.25,USD,28.862172401018203,8.3677,USD,36.47513577870922,0,Retail trade,Strong buy,241.51,USD
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,3.01406727828746,13826058,1.0258654573821917,1846251390435.1057,USD,34.99555356089128,12.0321,USD,54.805465493283926,0.644883914373089,Electronic technology,Strong buy,421.07,USD
AVGO,Broadcom Inc.,3.6199946251007713,35186857,0.8316395426486259,1834380180811.5066,USD,64.18678208756451,6.007,USD,125.81008946695735,0.666487503359312,Electronic technology,Strong buy,385.57,USD
MU,"Micron Technology, Inc.",11.659640310355654,59416092,1.0609375982223073,1123076473480.979,USD,47.01647207678471,21.1813,USD,409.11691183540046,0.0555007400098668,Electronic technology,Strong buy,995.87,USD
AMD,"Advanced Micro Devices, Inc.",7.968611847922196,30462874,0.9640416453788947,796466845456.0006,USD,160.3104795037579,3.0469,USD,123.34701656648583,0,Electronic technology,Buy,488.45,USD
ASML,ASML Holding N.V. - New York Registry Shares,9.531250900997005,2965584,1.5441717459825857,664084370927.3701,USD,63.33457814292193,29.9912,USD,26.402744587321447,0.430622826795218,Electronic technology,Buy,1899.48,USD
