Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency
NVDA,NVIDIA Corporation,3.5381841220332335,149936015,0.877927005347987,5141290061172.43,USD,32.53545284694784,6.5298,USD,110.33338701884364,0.0194941273941225,Electronic technology,Strong buy,212.45,USD
GOOGL,Alphabet Inc.,2.6885008896797196,27727492,0.7572600413953102,4466570612365.509,USD,28.175084483297866,13.1091,USD,46.187815730487436,0.233540925266904,Technology services,Strong buy,369.35,USD
GOOG,Alphabet Inc.,2.498883180701359,17268467,0.6569729582778626,4458322942186.579,USD,28.004210815387786,13.1091,USD,46.187815730487436,0.234532052713871,Technology services,Strong buy,367.11,USD
AAPL,Apple Inc.,1.8170576718304607,45732573,0.8522527631725559,4353626270537.81,USD,35.85798100768161,8.2665,USD,29.004822172630675,0.360663621062755,Electronic technology,Buy,296.42,USD
AMZN,"Amazon.com, Inc.",3.131418989729616,41711081,0.9320625088336646,2646464082293.224,USD,29.401149658807082,8.3677,USD,36.47513577870922,0,Retail trade,Strong buy,246.02,USD
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,4.120963366593535,11184835,0.8056788424844086,1891880949880.2031,USD,36.685200422203934,12.0321,USD,54.805465493283926,0.621792041138867,Electronic technology,Strong buy,441.4,USD
AVGO,Broadcom Inc.,3.106760541262074,32394100,0.759949896104843,1874201131904.9187,USD,65.58015648410188,6.007,USD,125.81008946695735,0.649095715444814,Electronic technology,Strong buy,393.94,USD
MU,"Micron Technology, Inc.",10.837297908538012,44992346,0.8176714777814796,1226963305912.7202,USD,51.365591347084454,21.1813,USD,409.11691183540046,0.0504273591344831,Electronic technology,Strong buy,1087.99,USD
AMD,"Advanced Micro Devices, Inc.",6.976562347283852,33481703,1.0601059036257983,892362489436.317,USD,179.61206472152023,3.0469,USD,123.34701656648583,0,Electronic technology,Strong buy,547.26,USD
ASML,ASML Holding N.V. - New York Registry Shares,1.5620723887204597,2339110,1.0323104143394988,719950722428.744,USD,63.10717810557764,29.9912,USD,26.402744587321447,0.400730755815513,Electronic technology,Buy,1892.66,USD
INTC,Intel Corporation,2.6410853335474083,134501033,1.0098465082111336,642624358425.4858,USD,,-0.6263,USD,85.99601994499474,0,Electronic technology,Neutral,127.86,USD
LRCX,Lam Research Corporation,6.027643739265563,13459799,1.2108187352007034,486372087554.2111,USD,73.40744795303978,5.2981,USD,47.59583240472476,0.275346909844334,Producer manufacturing,Buy,388.92,USD
AMAT,"Applied Materials, Inc.",3.2666372851476373,11659853,1.1897629140979427,465085544139.3367,USD,55.038992765197776,10.643,USD,29.538345443701996,0.336712208021155,Producer manufacturing,Buy,585.78,USD
ARM,Arm Holdings plc,8.334865155852002,14035413,1.0812752799401726,405181837402,USD,487.4172967863894,0.8464,USD,13.595490538182803,0,Electronic technology,Buy,412.55,USD
BAC,Bank of America Corporation,-0.2677615137451012,31666487,0.8341397556881585,396486505090.49677,USD,13.862835591285792,4.0302,USD,20.322436184505147,1.96358443413067,Finance,Strong buy,55.87,USD
UNH,UnitedHealth Group Incorporated,0.6168608636052185,6777890,0.9019851354216656,373283642822.77997,USD,31.043441483898256,13.2408,USD,-44.64988148934658,2.16390874375796,Health services,Buy,411.04,USD
GE,GE Aerospace,2.0757530569639067,5252659,1.2398107868794186,357092604546.34174,USD,42.18141483855065,8.114,USD,26.528193612774466,0.462272591708917,Electronic technology,Buy,342.26,USD
MS,Morgan Stanley,1.840777424780414,5862492,0.9927761865207244,343816554356.77466,USD,19.742598110695493,11.0411,USD,29.550841292563295,1.86880956830499,Finance,Buy,217.98,USD
KLAC,KLA Corporation,0.7385872554411974,18368141,1.44825579003379,334955095528.1094,USD,72.49031747377944,3.5373,USD,28.554295682512006,0.31429244912391,Electronic technology,Buy,256.42,USD
GS,"Goldman Sachs Group, Inc. (The)",1.2627617031286824,2363969,0.9510420161711447,317478130630.65155,USD,19.666346255761,54.7214,USD,26.993564617230493,1.45848035756293,Finance,Neutral,1076.17,USD
HSBC,"HSBC Holdings, plc.",0.26977446854429693,1315294,0.6075738610028373,316242133946.04224,USD,15.355885706731009,6.0511,USD,11.526623292847004,4.02503507068091,Finance,Neutral,92.92,USD
SNDK,Sandisk Corporation,6.452199383869512,9156384,0.8105824196773821,312152493380.8912,USD,73.27328788789973,28.7671,USD,,0,Electronic technology,Buy,2107.86,USD
TXN,Texas Instruments Incorporated,4.058182784272041,7459189,0.8611406068443438,285168484129.9343,USD,53.60546079756385,5.8453,USD,10.750487883438492,1.8663655685441,Electronic technology,Buy,313.34,USD
MRVL,"Marvell Technology, Inc.",10.43260636396139,54962354,0.7093005728141453,270208232021.82455,USD,105.5494805904866,2.9264,USD,,0.085806220951019,Electronic technology,Strong buy,308.88,USD
DELL,Dell Technologies Inc.,3.4127967237151453,7036573,0.6032946964949023,265121535350.06503,USD,32.50689361972648,12.5841,USD,100.63934948979589,0.557423464873474,Electronic technology,Buy,409.07,USD
C,"Citigroup, Inc.",0.9869126796824681,12775633,1.0433959928212357,242162087109.5651,USD,17.49814126394052,8.07,USD,27.480096044483766,1.71636987770865,Finance,Strong buy,141.21,USD
QCOM,QUALCOMM Incorporated,4.293406385792558,13993711,0.7135462028286006,232733741342.25616,USD,24.018317488633148,9.1934,USD,-6.380855397148674,1.68146608728509,Electronic technology,Neutral,220.81,USD
PANW,"Palo Alto Networks, Inc.",1.759530791788862,7394061,0.7078963181902014,231900095950.98828,USD,234.05445422390395,1.2157,USD,-30.432045779685268,0,Technology services,Buy,284.54,USD
STX,Seagate Technology Holdings PLC,9.426018216188348,5774139,1.925162076140294,228444488242.24997,USD,96.7062173706692,10.535,USD,52.226685547495876,0.31362777109469,Electronic technology,Buy,1018.8,USD
WDC,Western Digital Corporation,16.095394590753656,9522798,1.4272494268324691,225260106819.3289,USD,39.011825383086304,16.7521,USD,218.5112653294039,0.0799396011902118,Electronic technology,Buy,653.53,USD
BHP,BHP Group Limited,1.4424135652939907,2668166,0.8224527720929421,225184303318.22092,USD,22.849135686118895,4.0321,USD,-9.901233464426177,2.89583792116274,Non-energy minerals,Neutral,92.13,USD
ANET,"Arista Networks, Inc.",3.58368047047292,7240757,0.926667822576715,212918581007.689,USD,57.89960279413779,2.9204,USD,23.546831373212623,0,Electronic technology,Strong buy,169.09,USD
ADI,"Analog Devices, Inc.",2.343282510352082,4530786,0.9463169811183615,208268679169.26932,USD,63.54098555548951,6.7292,USD,83.19222497481829,0.974173627899184,Electronic technology,Buy,427.58,USD
APH,Amphenol Corporation,3.1144343302990842,9036445,0.9236105494556998,195102892761.9009,USD,45.571839080459775,3.48,USD,68.63733281643728,0.539661898569571,Electronic technology,Strong buy,158.59,USD
TOELY,Tokyo Electron Ltd.,4.985067769354465,469628,0.8964378265045745,192846188431.2748,USD,55.377829479908875,4.1262,USD,6.705629832682513,0.860021111959359,Producer manufacturing,Buy,228.5,USD
SAN,"Banco Santander, S.A. Sponsored",2.0979020979021086,8149987,0.95174619254496,187126790020.29007,USD,10.496046010064703,1.2519,USD,43.995859213250526,1.55687645687646,Finance,Buy,13.14,USD
BA,Boeing Company (The),4.519516092216378,8595965,1.3371299412487974,180481815731.28915,USD,117.71208226221079,1.945,USD,,0,Electronic technology,Buy,228.95,USD
