Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency,Industry
NVDA,NVIDIA Corporation,-2.3723228995057624,125693798,0.7641300377059921,5019321927899.032,USD,31.763606848601796,6.5298,USD,110.33338701884364,0.018827959519887,Electronic technology,Strong buy,207.41,USD,Semiconductors
GOOG,Alphabet Inc.,1.0868676963308024,16492788,0.6318457161648731,4511370452959.524,USD,28.308579536352614,13.1091,USD,46.187815730487436,0.228814251859116,Technology services,Strong buy,371.1,USD,Internet software/Services
GOOGL,Alphabet Inc.,1.0559090293759243,24876064,0.6811425049079866,4509988809442.952,USD,28.4725877443913,13.1091,USD,46.187815730487436,0.227426560173277,Technology services,Strong buy,373.25,USD,Internet software/Services
AAPL,Apple Inc.,0.9513528102017385,39874356,0.7474229490184444,4395044741789.0146,USD,36.19911691767979,8.2665,USD,29.004822172630675,0.354227110181499,Electronic technology,Buy,299.24,USD,Telecommunications equipment
AMZN,"Amazon.com, Inc.",-0.008129420372331612,35187125,0.8077445177465322,2646248952205.7637,USD,29.39875951575702,8.3677,USD,36.47513577870922,0,Retail trade,Strong buy,246,USD,Internet retail
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,-3.527412777526052,10943492,0.8292446205297008,1950720328503.6504,USD,35.391161975050075,12.0321,USD,54.805465493283926,0.597182374263706,Electronic technology,Strong buy,425.83,USD,Semiconductors
AVGO,Broadcom Inc.,-4.373762501903848,31573651,0.7375730078093221,1792228002337.8745,USD,62.71183619111037,6.007,USD,125.81008946695735,0.629537493019241,Electronic technology,Strong buy,376.71,USD,Semiconductors
MU,"Micron Technology, Inc.",-6.179284736072944,45499357,0.8292361275569742,1151145756478.6614,USD,48.19156520138046,21.1813,USD,409.11691183540046,0.0454967416979935,Electronic technology,Strong buy,1020.76,USD,Semiconductors
AMD,"Advanced Micro Devices, Inc.",-7.30365822460987,28411666,0.8990862177332614,827187386001.055,USD,166.49381338409532,3.0469,USD,123.34701656648583,0,Electronic technology,Strong buy,507.29,USD,Semiconductors
ASML,ASML Holding N.V. - New York Registry Shares,-4.69022434034639,1797519,0.7508677600299625,718137612331.8392,USD,60.14730987756409,29.9912,USD,26.402744587321447,0.394567328521763,Electronic technology,Buy,1803.89,USD,Semiconductors
