Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency,Industry
NVDA,NVIDIA Corporation,-0.9682471878114728,122038985,0.7547405875377106,5049330058509.94,USD,31.95350546724249,6.5298,USD,110.33338701884364,0.0191708602923556,Electronic technology,Strong buy,208.65,USD,Semiconductors
AAPL,Apple Inc.,-0.3355592094225026,44879914,0.7988138659295071,4362291881253.0005,USD,35.92935341438335,8.2665,USD,29.004822172630675,0.353523450388876,Electronic technology,Buy,297.01,USD,Telecommunications equipment
GOOGL,Alphabet Inc.,-4.986006575550897,52813159,1.7081070998977028,4231852498203,USD,26.674600086962492,13.1091,USD,46.187815730487436,0.240219629375429,Technology services,Strong buy,349.68,USD,Internet software/Services
GOOG,Alphabet Inc.,-5.083546508463509,32210596,1.5528047492866903,4231852498203,USD,26.60594548824862,13.1091,USD,46.187815730487436,0.240839497677619,Technology services,Strong buy,348.78,USD,Internet software/Services
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,1.2009867566865773,13685787,0.9228689763250688,2055680166320.047,USD,38.86852669110131,12.0321,USD,54.805465493283926,0.563637393888853,Electronic technology,Strong buy,467.67,USD,Semiconductors
AVGO,Broadcom Inc.,-4.67242008022366,26403574,0.7034716124868845,1865589899265.9998,USD,65.27884135175628,6.007,USD,125.81008946695735,0.632443322367582,Electronic technology,Strong buy,392.13,USD,Semiconductors
MU,"Micron Technology, Inc.",6.8245751726205786,53138150,0.9452149177731068,1366114429073,USD,57.19101282735243,21.1813,USD,409.11691183540046,0.0408624874110519,Electronic technology,Strong buy,1211.38,USD,Semiconductors
AMD,"Advanced Micro Devices, Inc.",2.6536650724826454,25983232,0.781448988314851,899488209183,USD,181.04630936361548,3.0469,USD,123.34701656648583,0,Electronic technology,Buy,551.63,USD,Semiconductors
ASML,ASML Holding N.V. - New York Registry Shares,-0.022283487417606218,1793261,0.7199888929872809,722784791454.1624,USD,64.32720264610953,29.9912,USD,26.402744587321447,0.387083996371647,Electronic technology,Buy,1929.25,USD,Semiconductors
INTC,Intel Corporation,5.1869542503171795,127188038,0.8416996284608129,708364452271,USD,,-0.6263,USD,85.99601994499474,0,Electronic technology,Neutral,140.94,USD,Semiconductors
