商品,描述,"價格變化 %, 1天","成交量, 1天","相對成交量, 1天",市場資本,市場資本 - 貨幣,本益比,"基本每股盈餘, 過去12個月","基本每股盈餘, 過去12個月 - 貨幣","稀釋每股盈餘成長率 %, TTM年增率","股息殖利率 %, 過去12個月",部門,分析師評級,價格,價格 - 貨幣,產業
NVDA,NVIDIA Corporation,-1.6381909547738647,150205314,0.9978101035260994,4736908000000,USD,29.976415816717207,6.5298,USD,110.33338701884364,0.0201005025125628,電子科技,強力買入,195.74,USD,半導體
GOOGL,Alphabet Inc. Class A,-0.45758637666889884,44564576,1.287757888649,4163072307901.7764,USD,26.21919124882715,13.1091,USD,46.187815730487436,0.243273769874598,科技服務,強力買入,343.71,USD,網路軟體/服務
GOOG,Alphabet Inc. Class C,-0.8259911894273194,27687526,1.2396883436057253,4147664846717.4834,USD,26.10324125988817,13.1091,USD,46.187815730487436,0.243450034778576,科技服務,強力買入,342.19,USD,網路軟體/服務
AAPL,Apple Inc.,-6.117783540330287,107251411,2.1517524809309787,4041225940774.9287,USD,33.28494526099316,8.2665,USD,29.004822172630675,0.358263955234066,電子科技,買入,275.15,USD,電信設備
TSM,"Taiwan Semiconductor Manufacturing Co., Ltd. Sponsored ADR",-1.3180580762250458,14812528,1.0561518796651526,1944137266935.4768,USD,36.15245883927162,12.0321,USD,54.805465493283926,0.597954540298981,電子科技,強力買入,434.99,USD,半導體
AVGO,Broadcom Inc.,-0.8270735729054802,23411639,0.689540623998353,1802694701959.9248,USD,63.07807557849177,6.007,USD,125.81008946695735,0.649095715444814,電子科技,強力買入,378.91,USD,半導體
MU,"Micron Technology, Inc.",15.741385394512209,83037511,1.53849317092732,1368572896452.1677,USD,27.47121154843047,44.1757,USD,697.3521289460858,0.0472098501683341,電子科技,強力買入,1213.56,USD,半導體
AMD,"Advanced Micro Devices, Inc.",2.468541963289345,27115288,0.8879418424868353,868408937735.4838,USD,174.79077094752046,3.0469,USD,123.34701656648583,0,電子科技,買入,532.57,USD,半導體
ASML,ASML Holding NV Sponsored ADR,4.448112913199117,2199731,0.9487239547201488,674146913217.2069,USD,61.39067459788205,29.9912,USD,26.402744587321447,0.423641087606438,電子科技,買入,1841.18,USD,半導體
INTC,Intel Corporation,0.9266995822255973,123118103,0.8525764683787139,667804589039.7256,USD,,-0.6263,USD,85.99601994499474,0,電子科技,中立,132.87,USD,半導體
AMAT,"Applied Materials, Inc.",13.418340492724582,16508245,1.4258016960207052,530364860581.24524,USD,62.764258197876536,10.643,USD,29.538345443701996,0.324294955600455,生產製造,強力買入,668,USD,工業機械
LRCX,Lam Research Corporation,7.209178228388469,16845230,1.2019268811754003,502504440904.25616,USD,75.84228308261453,5.2981,USD,47.59583240472476,0.269477054429029,生產製造,買入,401.82,USD,工業機械
BAC,Bank of America Corp,0.7968127490039856,33759457,0.8960952866570123,412950588146.8526,USD,14.438489404992309,4.0302,USD,20.322436184505147,1.90542179109648,金融,強力買入,58.19,USD,主要銀行
GE,GE Aerospace,1.4977588280310534,7592286,1.446759530317068,387453737573.20264,USD,45.76780872565935,8.114,USD,26.528193612774466,0.423636164862796,電子科技,買入,371.36,USD,航空與國防
ARM,ARM Holdings PLC Sponsored ADR,-3.1664253091233165,8379838,0.6210367933913531,382061105713,USD,410.8104914933837,0.8464,USD,13.595490538182803,0,電子科技,買入,347.71,USD,半導體
UNH,UnitedHealth Group Incorporated,2.3977328733366092,6018521,0.8929220540444065,377361209632.6323,USD,31.38254486133768,13.2408,USD,-44.64988148934658,2.17841301133563,健康服務,買入,415.53,USD,管理醫療保健
