Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency,Industry
NVDA,NVIDIA Corporation,-1.639930520077658,179302023,1.2003013221721364,4659226130754.958,USD,29.484823424913476,6.5298,USD,110.33338701884364,0.0204352712782262,Electronic technology,Strong buy,192.53,USD,Semiconductors
AAPL,Apple Inc.,3.136471015809557,261774949,4.734617737632885,4167977919594.3657,USD,34.328917921732284,8.2665,USD,29.004822172630675,0.381610030892241,Electronic technology,Buy,283.78,USD,Telecommunications equipment
GOOGL,Alphabet Inc.,-1.8387594192778776,114706326,3.201665893154842,4079715023113.3525,USD,25.73708340008086,13.1091,USD,46.187815730487436,0.244392074714149,Technology services,Strong buy,337.39,USD,Internet software/Services
GOOG,Alphabet Inc.,-2.1917648090242263,82484198,3.5684037991962163,4065043637714.5107,USD,25.53111960393925,13.1091,USD,46.187815730487436,0.245477658610713,Technology services,Strong buy,334.69,USD,Internet software/Services
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,-0.6069105036897369,17974035,1.266465392022769,1947546076859.0117,USD,35.93304576923397,12.0321,USD,54.805465493283926,0.605982436377848,Electronic technology,Strong buy,432.35,USD,Semiconductors
AVGO,Broadcom Inc.,-3.6657781531234437,34839053,1.0728180643133605,1736611896901.1677,USD,60.76577326452472,6.007,USD,125.81008946695735,0.654508986302816,Electronic technology,Strong buy,365.02,USD,Semiconductors
MU,"Micron Technology, Inc.",-6.693529780150962,86403448,1.5237153810360036,1276967111827.1174,USD,25.634506849346078,44.1721,USD,697.287150515315,0.040789083358054,Electronic technology,Strong buy,1132.33,USD,Semiconductors
AMD,"Advanced Micro Devices, Inc.",-2.063578496723437,52705094,1.7296791718161901,850488665310.0883,USD,171.1838261839903,3.0469,USD,123.34701656648583,0,Electronic technology,Buy,521.58,USD,Semiconductors
ASML,ASML Holding N.V. - New York Registry Shares,-2.528813043808871,2839950,1.2456146683709663,692337384951.3468,USD,59.838219210968546,29.9912,USD,26.402744587321447,0.405599561151001,Electronic technology,Buy,1794.62,USD,Semiconductors
INTC,Intel Corporation,-3.424399789267714,99475199,0.6886309342527437,644936296299.3818,USD,,-0.6263,USD,85.99601994499474,0,Electronic technology,Neutral,128.32,USD,Semiconductors
