Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency,Industry
NVDA,NVIDIA Corporation,2.6260450325691154,166475021,1.0733675206213051,4842178030316.76,USD,30.642592422432543,6.5298,USD,110.33338701884364,0.0205159768169462,Electronic technology,Strong buy,200.09,USD,Semiconductors
GOOGL,Alphabet Inc.,1.051887459352475,35237227,0.788442736816957,4316868594218.6987,USD,27.261215491528787,13.1091,USD,46.187815730487436,0.237522974692493,Technology services,Strong buy,357.37,USD,Internet software/Services
GOOG,Alphabet Inc.,0.5835800501024857,21278439,0.7267911524446972,4296862817006.033,USD,26.953032626190964,13.1091,USD,46.187815730487436,0.239125483944432,Technology services,Strong buy,353.33,USD,Internet software/Services
AAPL,Apple Inc.,2.7046212820330817,65099793,0.8140088609535234,4249933313705.007,USD,35.00393153087764,8.2665,USD,29.004822172630675,0.372684034925818,Electronic technology,Buy,289.36,USD,Telecommunications equipment
AMZN,"Amazon.com, Inc.",-0.7495627550595415,66227343,0.8275132419863181,2563849441921.213,USD,28.48333472758345,8.3677,USD,36.47513577870922,0,Retail trade,Strong buy,238.34,USD,Internet retail
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,4.937376400791028,15074218,1.001014779496547,1928790231554.3477,USD,39.691325703742486,12.0321,USD,54.805465493283926,0.579205229619864,Electronic technology,Strong buy,477.57,USD,Semiconductors
AVGO,Broadcom Inc.,1.4230097999731537,28517168,0.8882453516497996,1797175933414.4946,USD,62.884967537872484,6.007,USD,125.81008946695735,0.665861189421399,Electronic technology,Strong buy,377.75,USD,Semiconductors
TSLA,"Tesla, Inc.",2.127039627039639,43384423,0.9340910518336488,1579657345914.8953,USD,384.24995432121324,1.0946,USD,-39.80422349318082,0,Consumer durables,Neutral,420.6,USD,Motor vehicles
MU,"Micron Technology, Inc.",0.7867071807767525,42150406,0.6867725298645942,1303647155969.6199,USD,26.13165323812995,44.1721,USD,697.287150515315,0.043220871751886,Electronic technology,Strong buy,1154.29,USD,Semiconductors
AMD,"Advanced Micro Devices, Inc.",7.677621457302259,34488150,1.0710442904421598,947232169230.9912,USD,190.65607666808887,3.0469,USD,123.34701656648583,0,Electronic technology,Buy,580.91,USD,Semiconductors
ASML,ASML Holding N.V. - New York Registry Shares,5.646510294141083,2712557,1.2384359902526976,703320502294.6262,USD,66.3341246765718,29.9912,USD,26.402744587321447,0.396568336422195,Electronic technology,Buy,1989.44,USD,Semiconductors
INTC,Intel Corporation,6.00516246583662,116994106,0.8924978781529456,701780386503.4167,USD,,-0.6263,USD,85.99601994499474,0,Electronic technology,Neutral,139.63,USD,Semiconductors
AMAT,"Applied Materials, Inc.",4.082690314407465,16460718,1.1534512415068157,574032666707.4125,USD,67.93197406746218,10.643,USD,29.538345443701996,0.274962570540136,Producer manufacturing,Strong buy,723,USD,Industrial machinery
LRCX,Lam Research Corporation,5.456182619064992,16885085,1.1075714191548474,541909955726.04987,USD,81.78969819369208,5.2981,USD,47.59583240472476,0.245795916380716,Producer manufacturing,Buy,433.33,USD,Industrial machinery
KLAC,KLA Corporation,8.376737670174933,19909169,1.230760246124985,394116332013.5891,USD,85.2938682045628,3.5373,USD,28.554295682512006,0.287366643916807,Electronic technology,Buy,301.71,USD,Semiconductors
GE,GE Aerospace,0.0053517433304002176,4887485,0.7896237099871772,389926432841.1285,USD,46.059896475228,8.114,USD,26.528193612774466,0.414760108105215,Electronic technology,Buy,373.73,USD,Aerospace & defense
UNH,UnitedHealth Group Incorporated,-0.9980467819541703,5779798,0.8203406514061697,377452042003.8947,USD,31.39009727508912,13.2408,USD,-44.64988148934658,2.1056643323329,Health services,Buy,415.63,USD,Managed health care
ARM,Arm Holdings plc,3.1986727981838317,6267801,0.49745281863787266,365569105713,USD,418.91540642722117,0.8464,USD,13.595490538182803,0,Electronic technology,Buy,354.57,USD,Semiconductors
SNDK,Sandisk Corporation,10.892561902857514,11453341,0.9829405124056307,336716129316.8226,USD,79.03924969844023,28.7671,USD,,0,Electronic technology,Buy,2273.73,USD,Computer peripherals
MS,Morgan Stanley,-1.2658227848101298,5599401,0.7768820510281857,329715639928.1772,USD,18.932896178822762,11.0411,USD,29.550841292563295,1.88928773852258,Finance,Buy,209.04,USD,Investment managers
HSBC,"HSBC Holdings, plc.",0.010517458981915351,1080487,0.8093735650394355,324320751497.8696,USD,15.714498190411662,6.0511,USD,11.526623292847004,3.92301220025242,Finance,Neutral,95.09,USD,Major banks
GS,"Goldman Sachs Group, Inc. (The)",-0.86648827202243,3162833,1.2779070567062714,298361656514.41626,USD,18.482166026454,54.7214,USD,26.993564617230493,1.51929504709815,Finance,Neutral,1011.37,USD,Investment banks/Brokers
