Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency,Industry
NVDA,NVIDIA Corporation,4.033928395305261,148418266,1.0264437723621889,5105231969267.338,USD,32.307268216484424,6.5298,USD,110.33338701884364,0.138080678567906,Electronic technology,Strong buy,210.96,USD,Semiconductors
AAPL,Apple Inc.,-0.28461197900197144,34132321,0.4205309763515805,4631217252214.189,USD,38.14431742575455,8.2665,USD,29.004822172630675,0.332047308835621,Electronic technology,Buy,315.32,USD,Telecommunications equipment
GOOG,Alphabet Inc.,-0.33965865708512133,11618450,0.4415308640370753,4329644994886.418,USD,27.08271353487272,13.1091,USD,46.187815730487436,0.238603188861442,Technology services,Strong buy,355.03,USD,Internet software/Services
GOOGL,Alphabet Inc.,-0.4764691130987154,18146146,0.47848906004452,4323701399890.1978,USD,27.246721742911415,13.1091,USD,46.187815730487436,0.236841372008136,Technology services,Strong buy,357.18,USD,Internet software/Services
AMZN,"Amazon.com, Inc.",-0.6881476683937778,31653994,0.43928927772025,2639149142337.494,USD,29.31988479510499,8.3677,USD,36.47513577870922,0,Retail trade,Strong buy,245.34,USD,Internet retail
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,-0.6522336140607758,9595082,0.6385852952187535,1947501602845.916,USD,36.079321149259066,12.0321,USD,54.805465493283926,0.63200041193702,Electronic technology,Strong buy,434.11,USD,Semiconductors
AVGO,Broadcom Inc.,-0.2842113136047434,14595859,0.5407639578422184,1902889234355.0066,USD,66.58398535042451,6.007,USD,125.81008946695735,0.633242751364962,Electronic technology,Strong buy,399.97,USD,Semiconductors
META,"Meta Platforms, Inc.",5.974852726927221,40608860,1.909522605147974,1698738087714.654,USD,24.329070114081713,27.5066,USD,7.29342195593833,0.332552099828973,Technology services,Strong buy,669.21,USD,Internet software/Services
MU,"Micron Technology, Inc.",-1.2444032108426477,31766966,0.5682488369525714,1106014646269.6738,USD,22.170102847725147,44.1721,USD,697.287150515315,0.0499173087007382,Electronic technology,Strong buy,979.3,USD,Semiconductors
AMD,"Advanced Micro Devices, Inc.",2.0430933567456755,20703071,0.6720584202348289,909695712140.9004,USD,183.10085660835603,3.0469,USD,123.34701656648583,0,Electronic technology,Buy,557.89,USD,Semiconductors
ASML,ASML Holding N.V. - New York Registry Shares,-0.38409311348205977,1218431,0.564635913637742,699765719564.9713,USD,59.928245618714826,29.9912,USD,26.402744587321447,0.413901510322849,Electronic technology,Buy,1797.32,USD,Semiconductors
INTC,Intel Corporation,-2.3991469699662367,70844285,0.6344031561105881,552055844490.6152,USD,,-0.6263,USD,85.99601994499474,0,Electronic technology,Neutral,109.84,USD,Semiconductors
