Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency,Industry
NVDA,NVIDIA Corporation,-2.2131147540983624,143699998,1.1079524553831865,4908001855563.881,USD,31.05914423106374,6.5298,USD,110.33338701884364,0.135004821600771,Electronic technology,Strong buy,202.81,USD,Semiconductors
AAPL,Apple Inc.,0.1440316869711391,63313971,1.2698792584834153,4901758483696.337,USD,40.372588157019294,8.2665,USD,29.004822172630675,0.315069315249355,Electronic technology,Buy,333.74,USD,Telecommunications equipment
GOOGL,Alphabet Inc.,-2.169497263442983,29389293,1.1969539668165514,4218206236315.859,USD,26.452616884454308,13.1091,USD,46.187815730487436,0.239801388026858,Technology services,Strong buy,346.77,USD,Internet software/Services
GOOG,Alphabet Inc.,-2.1734829428224183,21821853,1.3314655714528918,4218034383804.1777,USD,26.403033007605405,13.1091,USD,46.187815730487436,0.240241937763206,Technology services,Strong buy,346.12,USD,Internet software/Services
AMZN,"Amazon.com, Inc.",-1.0644683660810743,42092236,1.0971561599135566,2659480144285.3906,USD,29.545753313335805,8.3677,USD,36.47513577870922,0,Retail trade,Strong buy,247.23,USD,Internet retail
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,-2.7749304436960034,20858093,1.3990770353355098,1984808816724.5586,USD,28.751759229186966,13.8555,USD,57.78415496566567,0.673985698247669,Electronic technology,Strong buy,398.37,USD,Semiconductors
AVGO,Broadcom Inc.,-0.9680865269061291,22893284,0.9915410466415979,1764229689984.57,USD,61.73214582986516,6.007,USD,125.81008946695735,0.678328214714915,Electronic technology,Strong buy,370.825,USD,Semiconductors
META,"Meta Platforms, Inc.",-2.788394979986152,21972259,1.0453592105120866,1639846669507.5767,USD,23.485636174590827,27.5066,USD,7.29342195593833,0.316008065729678,Technology services,Strong buy,646.01,USD,Internet software/Services
MU,"Micron Technology, Inc.",-0.4981247069854665,62763078,1.4426578821109382,958798257443.1011,USD,19.219145116487557,44.1721,USD,697.287150515315,0.0580168776371308,Electronic technology,Strong buy,848.95,USD,Semiconductors
AMD,"Advanced Micro Devices, Inc.",-1.0340559747674385,31415195,1.2151385574462015,808386550423.6833,USD,162.70963930552364,3.0469,USD,123.34701656648583,0,Electronic technology,Buy,495.76,USD,Semiconductors
ASML,ASML Holding N.V. - New York Registry Shares,-2.089227786897643,2194782,1.024650401943285,698583498040.742,USD,54.40615173873789,32.121,USD,23.100094276713666,0.418395625451714,Electronic technology,Strong buy,1747.58,USD,Semiconductors
INTC,Intel Corporation,-2.000412456176529,123966578,1.1822658158241603,477671056534.49036,USD,,-0.6263,USD,85.99601994499474,0,Electronic technology,Neutral,95.04,USD,Semiconductors
AMAT,"Applied Materials, Inc.",-5.574670636264772,10274517,1.0797761741037073,420528536467.81006,USD,49.766043408813296,10.643,USD,29.538345443701996,0.340505945483394,Producer manufacturing,Strong buy,529.66,USD,Industrial machinery
LRCX,Lam Research Corporation,-2.386590229312054,12788430,1.0977797241700582,391803897942.93256,USD,59.13440667409072,5.2981,USD,47.59583240472476,0.324027916251246,Producer manufacturing,Buy,313.3,USD,Industrial machinery
UNH,UnitedHealth Group Incorporated,0.6400869195521706,9746880,1.6695242083476758,386951229763.85675,USD,27.399524146357145,15.551,USD,-32.64203819448956,2.11394019556899,Health services,Buy,426.09,USD,Managed health care
HSBC,"HSBC Holdings, plc.",0.08953442101074753,1794186,1.4536275265502578,345835851640.43134,USD,16.62672902447489,6.0511,USD,11.526623292847004,3.71070433744529,Finance,Buy,100.61,USD,Major banks
MS,Morgan Stanley,-1.3142830974950792,7850451,1.3405368334964822,339904890959.4633,USD,17.41864562957694,12.3718,USD,40.177660948582584,1.83175344598617,Finance,Buy,215.5,USD,Investment managers
GS,"Goldman Sachs Group, Inc. (The)",-2.7604841801617592,2153654,1.1010361422820405,314247788222.18933,USD,16.441041328717414,64.7903,USD,42.76022386744228,1.5518594928158,Finance,Neutral,1065.22,USD,Investment banks/Brokers
PANW,"Palo Alto Networks, Inc.",1.324896183508008,7659796,1.0658745254714366,292324191935.5515,USD,295.0398947108662,1.2157,USD,-30.432045779685268,0,Technology services,Buy,358.68,USD,Packaged software
ARM,Arm Holdings plc,1.9770237777184105,7993199,1.2218104597425463,278778650391,USD,315.67816635160676,0.8464,USD,13.595490538182803,0,Electronic technology,Buy,267.19,USD,Semiconductors
KLAC,KLA Corporation,-3.0177325978939713,13050820,0.9913240742494122,277910057199.63416,USD,60.144743165691345,3.5373,USD,28.554295682512006,0.364680676482655,Electronic technology,Buy,212.75,USD,Semiconductors
TXN,Texas Instruments Incorporated,-2.4723576677426156,7493592,1.0919126338401655,258484567930.33212,USD,48.58946504028878,5.8453,USD,10.750487883438492,1.92981251287686,Electronic technology,Buy,284.02,USD,Semiconductors
DELL,Dell Technologies Inc.,1.2673105421840616,7278708,0.9700095245723171,256939711745.86642,USD,31.49529962412886,12.5841,USD,100.63934948979589,0.563391077724973,Electronic technology,Buy,396.34,USD,Computer processing hardware
MUFG,"Mitsubishi UFJ Financial Group, Inc.",-3.660189787618612,5059882,1.4206905435846013,249807266568,USD,15.084194141785765,1.4134,USD,34.72500238299496,2.19553999096249,Finance,Buy,21.32,USD,Major banks
AXP,American Express Company,-1.7202754653317394,2615437,0.8766466597818109,242464696842.41675,USD,22.165044910179642,16.032,USD,11.993629104931163,0.943109218132035,Finance,Buy,355.35,USD,Finance/Rental/Leasing
NVO,Novo Nordisk A/S,-2.253302253302247,9466881,1.032357626611934,227301785495.1,USD,11.809434405069233,4.261,USD,26.379167160991816,2.39048951048951,Health technology,Buy,50.32,USD,Pharmaceuticals: major
C,"Citigroup, Inc.",-1.7842229139776737,15381094,1.095373169445068,221840441718.41772,USD,13.963881302691094,9.2639,USD,36.96699982257968,1.82218510363678,Finance,Buy,129.36,USD,Major banks
ANET,"Arista Networks, Inc.",0.02966302800190518,7551166,0.8590021072106392,212314153501.92398,USD,57.7352417477058,2.9204,USD,23.546831373212623,0,Electronic technology,Strong buy,168.61,USD,Computer peripherals
BHP,BHP Group Limited,-0.08673026886382502,1876320,0.7580039197793729,210186173463.78372,USD,19.99950398055604,4.0321,USD,-9.901233464426177,3.25858010159832,Non-energy minerals,Neutral,80.64,USD,Steel
SFTBY,Softbank Group Corp,-2.3648648648648742,5336220,1.3319727602831684,209478797747.35095,USD,5.99792459356624,2.891,USD,343.9496314496314,0.122933558558559,Communications,Buy,17.34,USD,Specialty telecommunications
CRWD,"CrowdStrike Holdings, Inc.",-0.3337259521004998,8866771,0.9601085025342235,206788088468.07346,USD,,-0.0471,USD,73.039496279336,0,Technology services,Buy,203.08,USD,Packaged software
