Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency,Industry
NVDA,NVIDIA Corporation,2.301124029137928,135635570,1.0738144265908551,5131851833785.226,USD,32.47572666850439,6.5298,USD,110.33338701884364,0.135076462926335,Electronic technology,Strong buy,212.06,USD,Semiconductors
AAPL,Apple Inc.,-0.5644718374321177,38591170,0.7951742320424143,4786462449341.797,USD,39.42297223734349,8.2665,USD,29.004822172630675,0.320375907731739,Electronic technology,Buy,325.89,USD,Telecommunications equipment
GOOG,Alphabet Inc.,-1.2363153181778714,20497439,1.2661361025340596,4168869190948.656,USD,26.08188205139941,13.1091,USD,46.187815730487436,0.245529911320373,Technology services,Strong buy,341.91,USD,Internet software/Services
GOOGL,Alphabet Inc.,-1.4575831773008794,33234956,1.3475095007350484,4159529353499.1245,USD,26.09561297114218,13.1091,USD,46.187815730487436,0.244850928993231,Technology services,Strong buy,342.09,USD,Internet software/Services
AMZN,"Amazon.com, Inc.",-1.0906887497475326,33113869,0.9238389630777478,2633878262938.451,USD,29.26132629037848,8.3677,USD,36.47513577870922,0,Retail trade,Strong buy,244.85,USD,Internet retail
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,-0.8007347919267173,10166492,0.6609149694143667,1929970154350.246,USD,30.400202085814296,13.8555,USD,57.78415496566567,0.650382468618262,Electronic technology,Strong buy,421.21,USD,Semiconductors
AVGO,Broadcom Inc.,2.6675291073738685,16493377,0.7838232557881362,1887855350800.4604,USD,66.05793241218579,6.007,USD,125.81008946695735,0.657179818887451,Electronic technology,Strong buy,396.81,USD,Semiconductors
MU,"Micron Technology, Inc.",-1.168084711893042,30208507,0.6958138378741718,1083630067530.3351,USD,21.721403329250816,44.1721,USD,697.287150515315,0.0509878247254898,Electronic technology,Strong buy,959.48,USD,Semiconductors
AMD,"Advanced Micro Devices, Inc.",1.4510589056444523,24535503,0.961974283157322,900629609514.6072,USD,181.27605106829895,3.0469,USD,123.34701656648583,0,Electronic technology,Buy,552.33,USD,Semiconductors
ASML,ASML Holding N.V. - New York Registry Shares,0.019428146388302536,1000413,0.4894508661611944,693878409368.3645,USD,56.09601195479592,32.121,USD,23.100094276713666,0.414531032300681,Electronic technology,Strong buy,1801.86,USD,Semiconductors
INTC,Intel Corporation,-2.6837363679468926,77196344,0.7582236294253313,515768105073.63153,USD,,-0.6263,USD,85.99601994499474,0,Electronic technology,Neutral,102.62,USD,Semiconductors
AMAT,"Applied Materials, Inc.",-1.882915596492781,4930992,0.5912176519580804,439789987775.95416,USD,52.045475899652345,10.643,USD,29.538345443701996,0.33832255778939,Producer manufacturing,Strong buy,553.92,USD,Industrial machinery
LRCX,Lam Research Corporation,-0.8416149068322918,6315173,0.6238765590065358,399294828933.26044,USD,60.26500066061419,5.2981,USD,47.59583240472476,0.322981366459627,Producer manufacturing,Buy,319.29,USD,Industrial machinery
UNH,UnitedHealth Group Incorporated,-1.1550360948779697,4227296,0.65396850954475,391691744277.32635,USD,27.735193878207188,15.551,USD,-32.64203819448956,2.05110576372178,Health services,Buy,431.31,USD,Managed health care
