Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency,Industry
NVDA,NVIDIA Corporation,-1.5561633499952896,109970250,0.8774172337045308,5051991941837.413,USD,31.970351312444485,6.5298,USD,110.33338701884364,0.132038102423842,Electronic technology,Strong buy,208.76,USD,Semiconductors
AAPL,Apple Inc.,-1.2979839823253128,39864154,0.8257730700848234,4724335286553.754,USD,38.911268372346214,8.2665,USD,29.004822172630675,0.322194605541747,Electronic technology,Buy,321.66,USD,Telecommunications equipment
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,-1.336625436243203,10990610,0.7198809221910797,1918974570510.9373,USD,29.993865252065966,13.8555,USD,57.78415496566567,0.65563234491109,Electronic technology,Strong buy,415.58,USD,Semiconductors
AVGO,Broadcom Inc.,-1.0937224364305271,16281666,0.8316977603302127,1867207441773.971,USD,65.3354419843516,6.007,USD,125.81008946695735,0.640104836067639,Electronic technology,Strong buy,392.47,USD,Semiconductors
MU,"Micron Technology, Inc.",3.202776503939636,39755138,0.9403859182808113,1118336285521.1804,USD,22.417091331406024,44.1721,USD,697.287150515315,0.0515904448242798,Electronic technology,Strong buy,990.21,USD,Semiconductors
AMD,"Advanced Micro Devices, Inc.",-2.28848695526225,26673773,1.0416938931958573,880018857454.0142,USD,177.1275722865864,3.0469,USD,123.34701656648583,0,Electronic technology,Buy,539.69,USD,Semiconductors
ASML,ASML Holding N.V. - New York Registry Shares,0.06326795644501239,1100036,0.5494040958632823,692654715064.0973,USD,56.13150275520687,32.121,USD,23.100094276713666,0.414450512248454,Electronic technology,Strong buy,1803,USD,Semiconductors
INTC,Intel Corporation,-2.3289807055154945,121328757,1.2242282209349176,503755993482.5075,USD,,-0.6263,USD,85.99601994499474,0,Electronic technology,Neutral,100.23,USD,Semiconductors
AMAT,"Applied Materials, Inc.",1.6031195840554586,5664214,0.7007409189251367,446840343074.6816,USD,52.87982711641454,10.643,USD,29.538345443701996,0.344815135759677,Producer manufacturing,Strong buy,562.8,USD,Industrial machinery
LRCX,Lam Research Corporation,0.15346550158161928,8041915,0.8079105059574445,399907619447.41077,USD,60.35748664615617,5.2981,USD,47.59583240472476,0.325722697234489,Producer manufacturing,Buy,319.78,USD,Industrial machinery
UNH,UnitedHealth Group Incorporated,-1.796851452551529,4863126,0.7479937698024605,384653617922.72,USD,27.236833644138642,15.551,USD,-32.64203819448956,2.0750736129466,Health services,Buy,423.56,USD,Managed health care
GE,GE Aerospace,2.289047158474751,3737867,0.8815584545819998,362109315090.98157,USD,41.13577161985361,8.4841,USD,18.431815961025716,0.454292329786922,Electronic technology,Buy,349,USD,Aerospace & defense
HSBC,"HSBC Holdings, plc.",-1.3189797303850253,1223495,0.8893745152852738,354035896128.537,USD,16.815124522814035,6.0511,USD,11.526623292847004,3.61749587818834,Finance,Buy,101.75,USD,Major banks
MS,Morgan Stanley,-1.5194508009153287,4959495,0.7505476907669572,339400167387.7953,USD,17.392780355324206,12.3718,USD,40.177660948582584,1.83066361556064,Finance,Buy,215.18,USD,Investment managers
GS,"Goldman Sachs Group, Inc. (The)",-2.138044072118013,1779825,0.8746984328089378,317050355781.65466,USD,16.587668215766865,64.7903,USD,42.76022386744228,1.54798761609907,Finance,Neutral,1074.72,USD,Investment banks/Brokers
ARM,Arm Holdings plc,-0.12702893436836868,3509893,0.5999805812330952,301537593506,USD,334.4045368620038,0.8464,USD,13.595490538182803,0,Electronic technology,Buy,283.04,USD,Semiconductors
KLAC,KLA Corporation,1.8817830360053995,8644432,0.8191233572335027,285721592739.9708,USD,61.83529810872699,3.5373,USD,28.554295682512006,0.372630304159486,Electronic technology,Buy,218.73,USD,Semiconductors
