Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency,Industry
NVDA,NVIDIA Corporation,-0.9197164207702566,114351446,0.9283222873930285,5005527868287.625,USD,31.676314741645992,6.5298,USD,110.33338701884364,0.13412531136233,Electronic technology,Strong buy,206.84,USD,Semiconductors
AAPL,Apple Inc.,3.5316794130448166,47390611,0.9967197385708014,4891183499104.326,USD,40.285489626806985,8.2665,USD,29.004822172630675,0.326431635888827,Electronic technology,Buy,333.02,USD,Telecommunications equipment
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,-2.9284373646469897,11459696,0.7526115657373335,1927338148544.3223,USD,29.115513694922598,13.8555,USD,57.78415496566567,0.664514413590645,Electronic technology,Strong buy,403.41,USD,Semiconductors
AVGO,Broadcom Inc.,-2.688103549315874,14887241,0.8089180502557484,1817014989088.6755,USD,63.57915764940903,6.007,USD,125.81008946695735,0.64718322419548,Electronic technology,Strong buy,381.92,USD,Semiconductors
MU,"Micron Technology, Inc.",-6.994475919249451,40224653,0.9535570766474202,1040114567586.9631,USD,20.849133276434674,44.1721,USD,697.287150515315,0.0499893961886872,Electronic technology,Strong buy,920.95,USD,Semiconductors
AMD,"Advanced Micro Devices, Inc.",-3.287072208119477,27072494,1.0562178508194964,851091979680.5977,USD,171.30526108503727,3.0469,USD,123.34701656648583,0,Electronic technology,Buy,521.95,USD,Semiconductors
ASML,ASML Holding N.V. - New York Registry Shares,-2.546311702717697,1312820,0.6704328060939003,686210752272.9258,USD,54.70221973163973,32.121,USD,23.100094276713666,0.414188463671658,Electronic technology,Strong buy,1757.09,USD,Semiconductors
INTC,Intel Corporation,-7.891848747879887,179614758,1.7396308276906152,464000335540.48724,USD,,-2.1201,USD,55.48626858150668,0,Electronic technology,Neutral,92.32,USD,Semiconductors
AMAT,"Applied Materials, Inc.",-4.7174840085287775,6245210,0.8659449194910451,425760725246.6951,USD,50.38522972846002,10.643,USD,29.538345443701996,0.339374555792466,Producer manufacturing,Strong buy,536.25,USD,Industrial machinery
UNH,UnitedHealth Group Incorporated,-0.6657852488431375,3708761,0.5766255455421198,382092650835.9935,USD,27.055494823484022,15.551,USD,-32.64203819448956,2.11304183586741,Health services,Buy,420.74,USD,Managed health care
LRCX,Lam Research Corporation,-4.556257426981047,9242992,0.967580173895549,381686787164.0221,USD,57.60744417810158,5.2981,USD,47.59583240472476,0.325223591218963,Producer manufacturing,Buy,305.21,USD,Industrial machinery
GE,GE Aerospace,1.355300859598859,2955516,0.6844840771175781,367016983125,USD,41.69328508622011,8.4841,USD,18.431815961025716,0.444126074498567,Electronic technology,Buy,353.73,USD,Aerospace & defense
HSBC,"HSBC Holdings, plc.",1.6216216216216273,1085028,0.7741774184767621,349350089548.34094,USD,17.087802217778588,6.0511,USD,11.526623292847004,3.66584766584767,Finance,Buy,103.4,USD,Major banks
MS,Morgan Stanley,-0.32530904359141977,4091151,0.610918090585132,338296056434.1054,USD,17.336200067896343,12.3718,USD,40.177660948582584,1.85890882052235,Finance,Buy,214.48,USD,Investment managers
