Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency,Industry
AAPL,Apple Inc.,0.9409040990175297,51114561,1.0322656332631392,4994876234214.722,USD,41.13953910361096,8.2665,USD,29.004822172630675,0.311655931851236,Electronic technology,Buy,340.08,USD,Telecommunications equipment
NVDA,NVIDIA Corporation,0.254439977609282,132433298,1.075677468199221,4767641866726.761,USD,30.170908756776623,6.5298,USD,110.33338701884364,0.142486387461198,Electronic technology,Strong buy,197.01,USD,Semiconductors
GOOGL,Alphabet Inc.,2.1894904458598656,28898347,0.8631561791413531,4081329804775.3867,USD,16.764881714920147,19.9053,USD,112.01789423230548,0.260289073983342,Technology services,Strong buy,333.71,USD,Internet software/Services
GOOG,Alphabet Inc.,1.846464770187105,20230111,0.9160795993181283,4067629756875.9585,USD,16.70911767217776,19.9053,USD,112.01789423230548,0.260281103591879,Technology services,Strong buy,332.6,USD,Internet software/Services
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,-1.698864917687733,18071259,1.1452144436068898,1886735449195.3206,USD,28.31438778824294,13.8555,USD,57.78415496566567,0.691971485128668,Electronic technology,Strong buy,392.31,USD,Semiconductors
AVGO,Broadcom Inc.,-0.6027869109127922,19650340,1.0808767460608515,1812209833331.5217,USD,63.41102047611121,6.007,USD,125.81008946695735,0.66280465528939,Electronic technology,Strong buy,380.91,USD,Semiconductors
MU,"Micron Technology, Inc.",-8.850255498778056,58435182,1.3193059022656535,926700905344.3094,USD,18.57575256779732,44.1721,USD,697.287150515315,0.0549877804932237,Electronic technology,Strong buy,820.53,USD,Semiconductors
AMD,"Advanced Micro Devices, Inc.",-8.148297807859377,35928199,1.3225676693409505,741303656662.2029,USD,149.2073911188421,3.0469,USD,123.34701656648583,0,Electronic technology,Buy,454.62,USD,Semiconductors
ASML,ASML Holding N.V. - New York Registry Shares,-4.368498000314147,2971600,1.3764175430891274,620931451493.8208,USD,49.2808443074624,32.121,USD,23.100094276713666,0.451156797119486,Electronic technology,Strong buy,1582.95,USD,Semiconductors
INTC,Intel Corporation,-5.857968801134509,149586183,1.2730470295376293,435297191305.042,USD,,-2.1201,USD,55.48626858150668,0,Electronic technology,Buy,86.3,USD,Semiconductors
UNH,UnitedHealth Group Incorporated,2.6697634326214046,5906337,0.9083168161156783,389403228698.96796,USD,27.573146421451998,15.551,USD,-32.64203819448956,2.1429939660952,Health services,Buy,428.79,USD,Managed health care
AMAT,"Applied Materials, Inc.",-7.821780262725146,9820602,1.3535826999910245,378289911981.4726,USD,44.76745278586864,10.643,USD,29.538345443701996,0.369517692352338,Producer manufacturing,Strong buy,476.46,USD,Industrial machinery
HSBC,"HSBC Holdings, plc.",-0.25969029527748005,1014511,0.7461275700304287,354193571063.9832,USD,17.137379980499414,6.0511,USD,11.526623292847004,3.58757333846302,Finance,Buy,103.7,USD,Major banks
LRCX,Lam Research Corporation,-7.544322897019992,16000240,1.5646408213067653,337166442484.7382,USD,50.888054208112344,5.2981,USD,47.59583240472476,0.356640718768218,Producer manufacturing,Buy,269.61,USD,Industrial machinery
