Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency,Industry
AAPL,Apple Inc.,-0.5557515878616757,55395584,1.0847208918618954,4967116880118.401,USD,40.910905461803665,8.2665,USD,29.004822172630675,0.308750882145378,Electronic technology,Buy,338.19,USD,Telecommunications equipment
GOOG,Alphabet Inc.,0.9500901984365508,20053583,0.869750229985062,4113855796080.391,USD,16.867869361426354,19.9053,USD,112.01789423230548,0.255562236921227,Technology services,Strong buy,335.76,USD,Internet software/Services
GOOGL,Alphabet Inc.,0.8989841479128586,26946641,0.7786909935513086,4111773153838.582,USD,16.91559534395362,19.9053,USD,112.01789423230548,0.254712175241977,Technology services,Strong buy,336.71,USD,Internet software/Services
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,-4.496444138563888,21413006,1.3234627707332145,1825982132067.4219,USD,27.04124715816824,13.8555,USD,57.78415496566567,0.703930310213862,Electronic technology,Strong buy,374.67,USD,Semiconductors
AVGO,Broadcom Inc.,-2.780184295502883,21059522,1.1570573228273586,1761827071469.2812,USD,61.64807724321625,6.007,USD,125.81008946695735,0.666824184190491,Electronic technology,Strong buy,370.32,USD,Semiconductors
MU,"Micron Technology, Inc.",-9.93626070954139,67073403,1.4176631622889773,834621505874.2205,USD,16.73001736390165,44.1721,USD,697.287150515315,0.0603268619063288,Electronic technology,Strong buy,739,USD,Semiconductors
AMD,"Advanced Micro Devices, Inc.",-5.5122959834587135,31898381,1.1123410562233913,700440780172.29,USD,140.98263809117464,3.0469,USD,123.34701656648583,0,Electronic technology,Buy,429.56,USD,Semiconductors
ASML,ASML Holding N.V. - New York Registry Shares,-2.0379670867683752,2510205,1.1373683292168644,604018308988.4072,USD,48.276516920394755,32.121,USD,23.100094276713666,0.47176588016046,Electronic technology,Strong buy,1550.69,USD,Semiconductors
INTC,Intel Corporation,-5.121668597914255,147781505,1.1934907104541055,413002734604.6215,USD,,-2.1201,USD,55.48626858150668,0,Electronic technology,Buy,81.88,USD,Semiconductors
UNH,UnitedHealth Group Incorporated,-1.9170223186175113,5245484,0.7970747427266461,381938276110.48895,USD,27.044563050607678,15.551,USD,-32.64203819448956,2.08726882623195,Health services,Buy,420.57,USD,Managed health care
