Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency,Industry
NVDA,NVIDIA Corporation,3.434934415400585,156264688,1.173665456342372,5305124061111.428,USD,33.572238047107106,6.5298,USD,110.33338701884364,0.132112862130792,Electronic technology,Strong buy,219.22,USD,Semiconductors
AAPL,Apple Inc.,0.5236279009632182,49071800,0.7727932407100492,4538789954445.889,USD,35.651645592837575,8.7233,USD,32.60922440789274,0.339388454328011,Electronic technology,Buy,311,USD,Telecommunications equipment
GOOGL,Alphabet Inc.,-4.0301866807890825,46513501,1.2335007690116764,4420319114472.335,USD,18.207713523533933,19.9053,USD,112.01789423230548,0.225076128690587,Technology services,Strong buy,362.43,USD,Internet software/Services
GOOG,Alphabet Inc.,-4.054882110030645,29133334,1.1687088060743624,4419181655993.038,USD,18.0921664079416,19.9053,USD,112.01789423230548,0.226455308378846,Technology services,Strong buy,360.13,USD,Internet software/Services
MSFT,Microsoft Corporation,-1.0856110874373537,33107674,0.6871567546037346,3619656347702.475,USD,27.163507082594982,17.9454,USD,31.54908515130189,0.722387938556442,Technology services,Strong buy,487.46,USD,Packaged software
AMZN,"Amazon.com, Inc.",-1.719414606012558,44762576,0.707665200961263,2940888777990.2607,USD,21.93024789665878,12.4326,USD,89.7295812477109,0,Retail trade,Strong buy,272.65,USD,Internet retail
AVGO,Broadcom Inc.,0.028697149416478787,16646588,0.8340922706959613,1990000612506.3745,USD,69.63209588813051,6.007,USD,125.81008946695735,0.607422995982399,Electronic technology,Strong buy,418.28,USD,Semiconductors
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,-0.7598820624685418,12736054,0.8677260587638683,1853985978854.9998,USD,29.87983111399805,13.8555,USD,57.78415496566567,0.661981686123163,Electronic technology,Strong buy,414,USD,Semiconductors
MU,"Micron Technology, Inc.",0.0582522096631561,33600091,0.6874712316575193,1008762573671.2881,USD,20.220682285877285,44.1721,USD,697.287150515315,0.0593724444643597,Electronic technology,Strong buy,893.19,USD,Semiconductors
AMD,"Advanced Micro Devices, Inc.",-7.04423618342397,48655411,1.5398188993322537,786031038354.7189,USD,158.20998391808067,3.0469,USD,123.34701656648583,0,Electronic technology,Buy,482.05,USD,Semiconductors
ASML,ASML Holding N.V. - New York Registry Shares,-1.9668319810268224,1214239,0.637193537568416,648535588705.9537,USD,52.246816724261386,32.121,USD,23.100094276713666,0.450679482910701,Electronic technology,Strong buy,1678.22,USD,Semiconductors
INTC,Intel Corporation,0.19829466587349084,84556909,0.6451336271915068,509746643085.1055,USD,,-2.1201,USD,55.48626858150668,0,Electronic technology,Buy,101.06,USD,Semiconductors
AMAT,"Applied Materials, Inc.",-2.2648274852731323,5060474,0.644400676277185,424164872275.9229,USD,50.19637320304425,10.643,USD,29.538345443701996,0.349420072445209,Producer manufacturing,Strong buy,534.24,USD,Industrial machinery
GE,GE Aerospace,1.0443172179813547,3139574,0.8704006839948829,395539574969.76855,USD,44.93346377341145,8.4841,USD,18.431815961025716,0.439991518235793,Electronic technology,Buy,381.22,USD,Aerospace & defense
LRCX,Lam Research Corporation,-3.247938566123243,8655951,0.6632777853433973,384450538814.06,USD,53.36226349592085,5.761,USD,38.53886110042323,0.327311638446529,Producer manufacturing,Strong buy,307.42,USD,Industrial machinery
PLTR,Palantir Technologies Inc.,-2.6005164146071498,61210296,1.2091709195029714,379986646280.8599,USD,135.39868387317324,1.1701,USD,288.8667331339315,0,Technology services,Buy,158.43,USD,Packaged software
HSBC,"HSBC Holdings, plc.",-3.1686156167483963,2758911,1.9345588926701696,366122152499.54034,USD,16.9688155872486,6.0511,USD,11.526623292847004,3.51754055073557,Finance,Buy,102.68,USD,Major banks
MS,Morgan Stanley,0.5667158127534179,4304988,0.7698032574087645,344273967116.8838,USD,17.642541909827187,12.3718,USD,40.177660948582584,1.91208993733874,Finance,Buy,218.27,USD,Investment managers
GS,"Goldman Sachs Group, Inc. (The)",0.702767383995906,1643050,0.7848796369007933,308752341682.58594,USD,16.36535368906476,64.7942,USD,42.76881720430108,1.61446561188247,Finance,Neutral,1060.38,USD,Investment banks/Brokers
DELL,Dell Technologies Inc.,-0.978021272497698,6936210,1.1340276251948787,299959631494.6298,USD,36.768620719797205,12.5841,USD,100.63934948979589,0.494360862028378,Electronic technology,Buy,462.7,USD,Computer processing hardware
ARM,Arm Holdings plc,-2.1314513829483954,4411365,0.6546697539313221,299638077393,USD,281.678292983176,0.9748,USD,48.43916552459267,0,Electronic technology,Buy,274.58,USD,Semiconductors
PANW,"Palo Alto Networks, Inc.",-1.0045313097122757,5528850,0.8793594005497684,295567897044.98535,USD,298.31372871596614,1.2157,USD,-30.432045779685268,0,Technology services,Buy,362.66,USD,Packaged software
TXN,Texas Instruments Incorporated,-2.0837005958466905,5409222,0.5617955857765426,253627150240.35794,USD,42.24970714861638,6.5733,USD,20.161231354197135,2.00260903289497,Electronic technology,Buy,277.72,USD,Semiconductors
KLAC,KLA Corporation,-1.3558454847787043,9988548,0.737321012834816,251849867845.3743,USD,52.51831876004468,3.6711,USD,20.77178668947594,0.409311844461499,Electronic technology,Buy,192.8,USD,Semiconductors
ANET,"Arista Networks, Inc.",3.5693664374573575,20177318,2.749600536093474,248453265086.78412,USD,67.5626626489522,2.9204,USD,23.546831373212623,0,Electronic technology,Strong buy,197.31,USD,Computer peripherals
C,"Citigroup, Inc.",0.5625776284065038,11770674,1.0968713615216672,236039855847.336,USD,14.857673334124936,9.2639,USD,36.96699982257968,1.75348871191642,Finance,Buy,137.64,USD,Major banks
AXP,American Express Company,0.6576101064290126,1881830,0.5416986296290954,235676366338.00876,USD,21.174008008736806,16.482,USD,15.718377892608398,1.02102621787661,Finance,Buy,348.99,USD,Finance/Rental/Leasing
BHP,BHP Group Limited,2.1952892750971893,3147593,1.2871584193090222,216606651247.23102,USD,22.167108950670865,4.0321,USD,-9.901233464426177,3.00708895495084,Non-energy minerals,Neutral,89.38,USD,Steel
SAN,"Banco Santander, S.A. Sponsored",1.1748445058742218,28893394,2.6001882246745787,213875497818.54407,USD,11.535733984713579,1.2691,USD,38.608562691131496,1.38472702142363,Finance,Buy,14.64,USD,Major banks
CRWD,"CrowdStrike Holdings, Inc.",-0.6438784206041025,6954694,0.8784599519075381,213691893178.80618,USD,,-0.0471,USD,73.039496279336,0,Technology services,Buy,209.86,USD,Packaged software
APH,Amphenol Corporation,0.5311387381077433,6138882,0.755785126810786,212369083841.652,USD,43.11928902240581,3.9945,USD,59.36564931178935,0.534057082822623,Electronic technology,Strong buy,172.24,USD,Electronic components
SNDK,Sandisk Corporation,-5.401997730488498,14827067,0.8023927550133303,199995230265.82462,USD,46.94599038484936,28.7671,USD,,0,Electronic technology,Buy,1350.5,USD,Computer peripherals
