Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency,Industry
NVDA,NVIDIA Corporation,-0.022983222247764362,100631605,0.7695180467196302,5263500073836.025,USD,33.308830285766795,6.5298,USD,110.33338701884364,0.128706044587451,Electronic technology,Strong buy,217.5,USD,Semiconductors
GOOG,Alphabet Inc.,-3.6083633093525114,18176964,0.8678125427429071,4205744610269.992,USD,17.23159158616047,19.9053,USD,112.01789423230548,0.238871402877698,Technology services,Strong buy,343,USD,Internet software/Services
GOOGL,Alphabet Inc.,-3.8375475497874163,28801076,0.9026707522149815,4195744879825.9355,USD,17.271781887236063,19.9053,USD,112.01789423230548,0.237748937122399,Technology services,Strong buy,343.8,USD,Internet software/Services
MSFT,Microsoft Corporation,-0.4446113109117496,22978406,0.4617108990437608,3741064015042.7505,USD,28.074604076810772,17.9454,USD,31.54908515130189,0.703473896375924,Technology services,Strong buy,503.81,USD,Packaged software
AMZN,"Amazon.com, Inc.",-2.0928476392534767,31498885,0.5029128481949738,2936789797478.4985,USD,21.8996830912279,12.4326,USD,89.7295812477109,0,Retail trade,Strong buy,272.27,USD,Internet retail
AVGO,Broadcom Inc.,-1.4962121212121198,12811149,0.6674183210288445,1979533890302.72,USD,69.26585650074912,6.007,USD,125.81008946695735,0.601325757575758,Electronic technology,Strong buy,416.08,USD,Semiconductors
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,0.8578870647836104,9674451,0.6892426499000284,1913475352310.9922,USD,30.461549565154634,13.8555,USD,57.78415496566567,0.659925203718307,Electronic technology,Strong buy,422.06,USD,Semiconductors
MU,"Micron Technology, Inc.",0.8734030197444811,29243617,0.6337259516824139,980900466035.3767,USD,19.66218495385096,44.1721,USD,697.287150515315,0.0615563298490128,Electronic technology,Strong buy,868.52,USD,Semiconductors
AMD,"Advanced Micro Devices, Inc.",1.0137149672033374,17970377,0.5518964984762924,774315526394.3911,USD,121.72975747465674,3.8965,USD,124.2848097622748,0,Electronic technology,Buy,474.32,USD,Semiconductors
ASML,ASML Holding N.V. - New York Registry Shares,3.8016014029582164,1474130,0.879476312672673,667339375987.8284,USD,56.018803897761586,32.121,USD,23.100094276713666,0.445066398227842,Electronic technology,Strong buy,1799.38,USD,Semiconductors
INTC,Intel Corporation,0.19483182936833238,163554303,1.4623213020084773,492849223035.011,USD,,-2.1201,USD,55.48626858150668,0,Electronic technology,Buy,97.71,USD,Semiconductors
PLTR,Palantir Technologies Inc.,-0.16549677566626267,42855741,0.6909664684889897,420397102745.9095,USD,149.50858900948637,1.1701,USD,288.8667331339315,0,Technology services,Buy,174.94,USD,Packaged software
AMAT,"Applied Materials, Inc.",0.6684287137056633,6383082,0.8545847016710311,417313002439.64526,USD,49.38551160387109,10.643,USD,29.538345443701996,0.3658162874435,Producer manufacturing,Strong buy,525.61,USD,Industrial machinery
LRCX,Lam Research Corporation,1.6351174934726005,6861933,0.5573172658274274,389673878837.18365,USD,54.025780260578415,5.7641,USD,38.61340900346286,0.339425587467363,Producer manufacturing,Strong buy,311.41,USD,Industrial machinery
