Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency,Industry
NVDA,NVIDIA Corporation,3.0298850574712657,108783636,0.8532826503412896,5422978000000,USD,34.3180495574137,6.5298,USD,110.33338701884364,0.128735632183908,Electronic technology,Strong buy,224.09,USD,Semiconductors
GOOGL,Alphabet Inc.,-0.07562536358347612,25011569,0.7849600333844123,4197075862088.9565,USD,17.258720039386496,19.9053,USD,112.01789423230548,0.247236765561373,Technology services,Strong buy,343.54,USD,Internet software/Services
GOOG,Alphabet Inc.,-0.18367346938775378,15608821,0.7545602119680571,4192537569020.167,USD,17.19994172406344,19.9053,USD,112.01789423230548,0.247813411078717,Technology services,Strong buy,342.37,USD,Internet software/Services
MSFT,Microsoft Corporation,-2.258788035171989,29000933,0.5938414115213568,3656561308603.913,USD,27.440458279001863,17.9454,USD,31.54908515130189,0.706615589210218,Technology services,Strong buy,492.43,USD,Packaged software
AMZN,"Amazon.com, Inc.",-1.832739559995596,29940668,0.4878690498738988,2882966010700.7456,USD,21.4983189357013,12.4326,USD,89.7295812477109,0,Retail trade,Strong buy,267.28,USD,Internet retail
AVGO,Broadcom Inc.,-0.0072101518938600066,15858933,0.8595392654956361,1979391127625.2622,USD,69.26086232728484,6.007,USD,125.81008946695735,0.610459527014036,Electronic technology,Strong buy,416.05,USD,Semiconductors
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,1.679855944652413,9534228,0.7234369105712227,1924665558580.6973,USD,30.973259716358125,13.8555,USD,57.78415496566567,0.654311946168791,Electronic technology,Strong buy,429.15,USD,Semiconductors
MU,"Micron Technology, Inc.",4.924469211992814,36801963,0.8561520024615663,1029204630630.4763,USD,20.630443198308434,44.1721,USD,697.287150515315,0.0610233500667803,Electronic technology,Strong buy,911.29,USD,Semiconductors
AMD,"Advanced Micro Devices, Inc.",1.8152302243211362,18628269,0.6060962491607609,788371152133.8435,USD,123.93943282432953,3.8965,USD,124.2848097622748,0,Electronic technology,Buy,482.93,USD,Semiconductors
ASML,ASML Holding N.V. - New York Registry Shares,0.5940935211017031,1388751,0.9117841957563642,685019457624.26,USD,56.35160798231686,32.121,USD,23.100094276713666,0.42876640842957,Electronic technology,Strong buy,1810.07,USD,Semiconductors
INTC,Intel Corporation,3.315934909425861,162445592,1.439898914137402,509191795228.8701,USD,,-2.1201,USD,55.48626858150668,0,Electronic technology,Buy,100.95,USD,Semiconductors
AMAT,"Applied Materials, Inc.",4.2883506782595395,7495022,1.044242145820889,435208839351.19727,USD,51.503335525697636,10.643,USD,29.538345443701996,0.363387302372481,Producer manufacturing,Strong buy,548.15,USD,Industrial machinery
PLTR,Palantir Technologies Inc.,-2.22933577226478,35218032,0.5682216529039468,411025055506.61664,USD,146.17554055208956,1.1701,USD,288.8667331339315,0,Technology services,Buy,171.04,USD,Packaged software
LRCX,Lam Research Corporation,4.720464981856712,8075438,0.7040726497302574,408068310758.68475,USD,56.57604829895387,5.7641,USD,38.61340900346286,0.333964869464693,Producer manufacturing,Strong buy,326.11,USD,Industrial machinery
HSBC,"HSBC Holdings, plc.",0.8816975099312188,893563,0.5823276697189521,353764380328.92975,USD,14.917974066910238,6.9795,USD,38.945293836598175,3.61399089235539,Finance,Buy,104.12,USD,Major banks
MS,Morgan Stanley,1.1949597805365664,3742647,0.7063820284445331,341818057729.8037,USD,17.585081283733555,12.3764,USD,40.22978086972287,1.92960431487423,Finance,Buy,217.64,USD,Investment managers
PANW,"Palo Alto Networks, Inc.",0.8363731109953048,5492061,0.8901584545490808,315413139967.78925,USD,318.3433412848565,1.2157,USD,-30.432045779685268,0,Technology services,Buy,387.01,USD,Packaged software
DELL,Dell Technologies Inc.,9.871419824477849,6243946,1.0786441332895054,314092166152.36066,USD,38.5009655040885,12.5841,USD,100.63934948979589,0.523845159534662,Electronic technology,Buy,484.5,USD,Computer processing hardware
GS,"Goldman Sachs Group, Inc. (The)",0.27068570489457316,1737824,0.8733185031714522,302005915651.2019,USD,16.007759953823026,64.7942,USD,42.76881720430108,1.64344892257422,Finance,Neutral,1037.21,USD,Investment banks/Brokers
ARM,Arm Holdings plc,1.0932212843490863,3368726,0.5230985830810227,287217232178,USD,278.89823553549445,0.9748,USD,48.43916552459267,0,Electronic technology,Buy,271.87,USD,Semiconductors
KLAC,KLA Corporation,3.8808799321594254,11951856,0.9515467617980741,272088362954.7002,USD,56.779453063227635,3.6677,USD,20.65993354607363,0.336708734473986,Electronic technology,Buy,208.25,USD,Semiconductors
ANET,"Arista Networks, Inc.",6.393732625726564,10008571,1.0726786302165225,265487788463.79327,USD,66.36610126741913,3.1718,USD,24.726700747149035,0,Electronic technology,Strong buy,210.5,USD,Computer peripherals
TXN,Texas Instruments Incorporated,-1.653392120608745,5904607,0.8212815058573439,252595167224.36093,USD,42.07779958316218,6.5733,USD,20.161231354197135,2.01962736452852,Electronic technology,Buy,276.59,USD,Semiconductors
SAP,SAP SE,-2.637352155665777,1744745,0.5310326994118342,243468497179.30798,USD,25.66504073217339,7.9544,USD,31.651770936775904,1.01827022128958,Technology services,Strong buy,204.15,USD,Packaged software
AXP,American Express Company,0.9594788885302608,2113105,0.8408689767992578,232360599292.4421,USD,20.87610726853537,16.482,USD,15.718377892608398,1.03870191602359,Finance,Buy,344.08,USD,Finance/Rental/Leasing
C,"Citigroup, Inc.",1.3331369227369831,6060365,0.6282163895163966,230781757745.86124,USD,14.85119658027397,9.2639,USD,36.96699982257968,1.76769536716506,Finance,Buy,137.58,USD,Major banks
BHP,BHP Group Limited,0.11108642523884528,2340233,0.9380679079917553,229262838349.00922,USD,22.350636144936885,4.0321,USD,-9.901233464426177,2.92157298378138,Non-energy minerals,Neutral,90.12,USD,Steel
CRWD,"CrowdStrike Holdings, Inc.",-0.05407841369986685,6919387,0.8951885356450632,225829536318.0795,USD,,-0.0471,USD,73.039496279336,0,Technology services,Buy,221.78,USD,Packaged software
SAN,"Banco Santander, S.A. Sponsored",0.7477906186267806,9219153,0.6595700473085375,217562290768.56198,USD,11.677566779607597,1.2691,USD,38.608562691131496,1.36213460231135,Finance,Buy,14.82,USD,Major banks
APH,Amphenol Corporation,1.6324822101297722,5223165,0.6994547518695378,209557873791.99503,USD,42.54850419326574,3.9945,USD,59.36564931178935,0.547150630867667,Electronic technology,Strong buy,169.96,USD,Electronic components
SNDK,Sandisk Corporation,5.7621651390582596,12054454,0.7121309111743428,199075601141.14255,USD,18.441558085235396,72.8946,USD,,0,Electronic technology,Buy,1344.29,USD,Computer peripherals
STX,Seagate Technology Holdings PLC,7.030907229561747,4731988,0.8424780654261721,199041485126.7836,USD,63.298976502811016,13.874,USD,104.84275800974459,0.358309364793058,Electronic technology,Buy,878.21,USD,Computer peripherals
SFTBY,Softbank Group Corp,2.045587375803632,2532725,0.4680783493362481,196472929513.1461,USD,6.176376950015919,2.8269,USD,182.3229801258364,0.12760374050263,Miscellaneous,Buy,17.46,USD,Miscellaneous
SHOP,Shopify Inc.,-1.4415831203722016,5878720,0.38406348472607904,193524131269.31534,USD,103.61327263909709,1.4516479999999998,USD,-19.900471515478106,0,Commercial services,Buy,150.41,USD,Miscellaneous commercial services
MRVL,"Marvell Technology, Inc.",2.2467147096227262,25133878,1.106918081776082,190111371933.01398,USD,74.17987971569164,2.9264,USD,,0.113042249540766,Electronic technology,Strong buy,217.08,USD,Semiconductors
ADI,"Analog Devices, Inc.",-0.225798079418636,2764382,0.715799160631722,187250863367.99036,USD,57.12863341853416,6.7292,USD,83.19222497481829,1.08486893329873,Electronic technology,Buy,384.43,USD,Semiconductors
BA,Boeing Company (The),-0.8746355685131282,3372839,0.5172308905768593,182733547174.9854,USD,105.29192093997631,2.1958,USD,,0,Electronic technology,Strong buy,231.2,USD,Aerospace & defense
BX,Blackstone Inc.,-0.5164095943466678,4182363,0.7951428554915457,181817333299.5275,USD,32.84429189941001,4.4577,USD,20.325532431775855,3.37704695250391,Finance,Buy,146.41,USD,Investment managers
RYCEY,Rolls Royce Holdings plc,1.2603005332040795,1364488,0.4792604663222518,172479647801.70673,USD,43.04553884195343,0.4853,USD,-45.126639529624605,0.680254961610894,Electronic technology,Strong buy,20.89,USD,Aerospace & defense
SCCO,Southern Copper Corporation,0.21081859317153262,865309,0.793475401690781,164554137926.86948,USD,29.1895696976051,6.6767,USD,55.917519032273155,1.83878403948992,Non-energy minerals,Sell,194.89,USD,Other metals/Minerals
UBS,UBS Group AG Registered,0.44701061650214563,1273777,0.6929966252663798,163295885093.18738,USD,18.715446242990073,2.8815770300000003,USD,40.501481459897725,1.9623596792669,Finance,Neutral,53.93,USD,Investment managers
BKNG,Booking Holdings Inc. Common Stock,-0.28655987222248963,3998222,0.5755696790548018,159488019820.68335,USD,23.47645276174044,9.0414,USD,57.21166385561022,0.755390613989759,Consumer services,Strong buy,212.26,USD,Other consumer services
BBVA,Banco Bilbao Vizcaya Argentaria S.A.,0,1861511,0.8937159346329034,159318833336.462,USD,12.650361755958986,2.2529,USD,14.331387972595788,3.04715789473684,Finance,Neutral,28.5,USD,Major banks
SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored,3.578528827037782,1559934,0.8898774045034151,158861442176.45462,USD,14.969543730605679,1.7402,USD,42.091940883481676,1.9149662027833,Finance,Buy,26.05,USD,Major banks
