Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency,Industry
NVDA,NVIDIA Corporation,-0.9920815509238221,95780117,0.8909418252478557,5264952131616.177,USD,33.318018928604246,6.5298,USD,110.33338701884364,0.12742331846728,Electronic technology,Strong buy,217.56,USD,Semiconductors
GOOGL,Alphabet Inc.,0.15107495642069688,19611707,0.8229298554944305,4199762453444.927,USD,17.318000733472996,19.9053,USD,112.01789423230548,0.246949447995352,Technology services,Strong buy,344.72,USD,Internet software/Services
GOOG,Alphabet Inc.,0.12306610407876697,13184176,0.8237114367432415,4198587922602.5874,USD,17.16628234691263,19.9053,USD,112.01789423230548,0.249062353492733,Technology services,Strong buy,341.7,USD,Internet software/Services
MSFT,Microsoft Corporation,0.5564437431223151,19797348,0.7201363405070692,3596265934051.971,USD,26.98797463416809,17.9454,USD,31.54908515130189,0.739156613998297,Technology services,Strong buy,484.31,USD,Packaged software
AMZN,"Amazon.com, Inc.",2.462902293312772,35278571,1.02640739566492,2867433969130.3403,USD,21.38249440985795,12.4326,USD,89.7295812477109,0,Retail trade,Strong buy,265.84,USD,Internet retail
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,-0.3192956145231247,8392429,0.825874291156702,1931620749646.07,USD,29.743053049440633,13.855,USD,57.778461047908635,0.668002467284294,Electronic technology,Strong buy,412.09,USD,Semiconductors
MU,"Micron Technology, Inc.",-0.3885156681831682,26486011,0.7919433566083334,1058359900481.4333,USD,21.21486186982281,44.1721,USD,697.287150515315,0.0563374293124708,Electronic technology,Strong buy,937.105,USD,Semiconductors
AMD,"Advanced Micro Devices, Inc.",-3.7098205991040216,18987503,0.7738777312504739,761419001138.5941,USD,119.70229693314513,3.8965,USD,124.2848097622748,0,Electronic technology,Buy,466.42,USD,Semiconductors
ASML,ASML Holding N.V. - New York Registry Shares,-2.84251627860542,1290705,1.049738477300337,681608665099.0317,USD,54.535350705146165,32.121,USD,23.100094276713666,0.427910292959434,Electronic technology,Strong buy,1751.73,USD,Semiconductors
INTC,Intel Corporation,-4.018203444174386,109040163,0.9997245040638107,487620034561.95276,USD,,-2.1201,USD,55.48626858150668,0,Electronic technology,Buy,92.8,USD,Semiconductors
PLTR,Palantir Technologies Inc.,2.127783607321911,35917356,0.8316668246378799,420997869802.60443,USD,149.7222459618836,1.1701,USD,288.8667331339315,0,Technology services,Buy,175.19,USD,Packaged software
AMAT,"Applied Materials, Inc.",-3.5308070693912517,6542768,0.8188137867200415,393938854353.86847,USD,42.79245868837755,11.5948,USD,38.24069437489568,0.37135691093267,Producer manufacturing,Strong buy,496.17,USD,Industrial machinery
LRCX,Lam Research Corporation,-6.327762868992437,9945279,1.2239798657083782,384368301107.66656,USD,53.290192744747664,5.7641,USD,38.61340900346286,0.317150524518175,Producer manufacturing,Strong buy,307.17,USD,Industrial machinery
GE,GE Aerospace,-5.028126582953414,4735464,1.4372244976299964,369610885766.06885,USD,41.98795393736519,8.4841,USD,18.431815961025716,0.442560452158149,Electronic technology,Buy,356.23,USD,Aerospace & defense
HSBC,"HSBC Holdings, plc.",-0.8528784648187727,1251592,1.1037217601599754,352077592708.848,USD,14.657210401891254,6.9795,USD,38.945293836598175,3.61504167474317,Finance,Buy,102.3,USD,Major banks
MS,Morgan Stanley,-1.5260859572512164,4865266,1.2899446714251754,336462419779.38257,USD,17.30955689861349,12.3764,USD,40.22978086972287,1.90760744656401,Finance,Buy,214.23,USD,Investment managers
GS,"Goldman Sachs Group, Inc. (The)",-1.8087979470816122,2648906,1.5991037939706516,297475270042.9187,USD,15.76761500257739,64.7942,USD,42.76881720430108,1.63387699789518,Finance,Neutral,1021.65,USD,Investment banks/Brokers
PANW,"Palo Alto Networks, Inc.",-3.8434810498743777,5263555,1.0036454439425289,293204411479.1652,USD,295.9282717775767,1.2157,USD,-30.432045779685268,0,Technology services,Buy,359.76,USD,Packaged software
DELL,Dell Technologies Inc.,-6.636082364237697,7003754,1.224983331665916,283655366624.5382,USD,34.77006698929602,12.5841,USD,100.63934948979589,0.492905153099328,Electronic technology,Buy,437.55,USD,Computer processing hardware
ARM,Arm Holdings plc,-1.5711353229117282,4302487,1.0931564995013388,270545767822.00003,USD,255.78580221583914,0.9748,USD,48.43916552459267,0,Electronic technology,Buy,249.34,USD,Semiconductors
SAP,SAP SE,2.4374020050363447,2473366,0.9316819576634493,246605440326.76663,USD,27.10449562506286,7.9544,USD,31.651770936775904,1.01444813987742,Technology services,Strong buy,215.6,USD,Packaged software
KLAC,KLA Corporation,-3.8605677909543523,9638688,0.9493716106932312,244677001987.62448,USD,51.05924693949887,3.6677,USD,20.65993354607363,0.34652702910827,Electronic technology,Buy,187.27,USD,Semiconductors
TXN,Texas Instruments Incorporated,-1.7594769321187265,6564783,1.161385481554112,244248083432.52896,USD,40.68732600063895,6.5733,USD,20.161231354197135,2.08639435791948,Electronic technology,Buy,267.45,USD,Semiconductors
ANET,"Arista Networks, Inc.",-3.483797494564664,5723997,0.6804903932098817,235155319502.7068,USD,58.78365596821993,3.1718,USD,24.726700747149035,0,Electronic technology,Strong buy,186.45,USD,Computer peripherals
BHP,BHP Group Limited,3.5918733864631305,4246350,1.5943465811011912,229829116825.40082,USD,23.82415199545666,3.8738,USD,9.349065657991304,2.95207093949938,Non-energy minerals,Neutral,92.29,USD,Steel
SNDK,Sandisk Corporation,-3.500473618816819,15966460,0.9880349604049868,229712390628.5808,USD,21.52300573308438,72.8927,USD,,0,Electronic technology,Buy,1568.87,USD,Computer peripherals
AXP,American Express Company,0.40765685926976114,2445281,1.1319047513243383,229537798482.6985,USD,20.622497269748816,16.482,USD,15.718377892608398,1.0457284650833,Finance,Buy,339.9,USD,Finance/Rental/Leasing
C,"Citigroup, Inc.",-3.458045768252829,10118900,1.2394070164554678,222914562159.36728,USD,14.344930320923153,9.2639,USD,36.96699982257968,1.7435524881947,Finance,Buy,132.89,USD,Major banks
SAN,"Banco Santander, S.A. Sponsored",-0.49157303370786715,73490592,3.8614471992727126,211500862129.76593,USD,11.16539279804586,1.2691,USD,38.608562691131496,1.40709269662921,Finance,Buy,14.17,USD,Major banks
SFTBY,Softbank Group Corp,-5.067277411966799,3603594,1.0068633402587668,208436276423.7928,USD,5.865081891824966,2.8269,USD,182.3229801258364,0.12501002004008,Miscellaneous,Buy,16.58,USD,Miscellaneous
MRVL,"Marvell Technology, Inc.",9.847222222222227,43207190,2.209185063606298,207793098107.60876,USD,81.07914160743576,2.9264,USD,,0.111111111111111,Electronic technology,Strong buy,237.27,USD,Semiconductors
BCDRF,Banco Santander S.A.,-0.9663865546218481,3507658,1.4981575520930657,207516746614.78207,USD,11.38342256272012,1.242332868,USD,25.44556856360393,1.56094427493175,Finance,Buy,14.142,USD,Major banks
CRWD,"CrowdStrike Holdings, Inc.",-5.302461018222803,10667599,1.5820094912570148,205311616325.6286,USD,,-0.0471,USD,73.039496279336,0,Technology services,Buy,201.63,USD,Packaged software
NVO,Novo Nordisk A/S,1.6845329249617065,19453819,1.58397082496287,202831485166.6816,USD,11.35930397380126,4.0918,USD,12.752824469550845,2.69224239772479,Health technology,Buy,46.48,USD,Pharmaceuticals: major
APH,Amphenol Corporation,-2.2121952748010285,6020175,1.097693184601085,192394757370.83362,USD,39.06371260483164,3.9945,USD,59.36564931178935,0.573416055649558,Electronic technology,Strong buy,156.04,USD,Electronic components
STX,Seagate Technology Holdings PLC,-7.870042492917848,5804524,1.2476603107365276,188695156704.34286,USD,60.008649272019596,13.874,USD,104.84275800974459,0.325336402266289,Electronic technology,Buy,832.56,USD,Computer peripherals
SHOP,Shopify Inc.,0,6042218,0.4812813787403143,188596275081.1929,USD,100.9748919848338,1.4516479999999998,USD,-19.900471515478106,0,Commercial services,Buy,146.58,USD,Miscellaneous commercial services
DIS,Walt Disney Company (The),2.866762866762871,7815475,0.8058958042840074,184634623690.10388,USD,22.055608266985686,4.8482,USD,-23.99034240561896,1.44300144300144,Consumer services,Strong buy,106.93,USD,Movies/Entertainment
ADI,"Analog Devices, Inc.",-0.8947773677083622,5866902,1.8876220950259057,181810109463.95193,USD,55.46870356060156,6.7292,USD,83.19222497481829,1.10984255104479,Electronic technology,Buy,373.26,USD,Semiconductors
BX,Blackstone Inc.,3.2007966427199657,3050856,0.698578599079779,180178106204.74976,USD,32.54817506786011,4.4577,USD,20.325532431775855,3.5351020698485,Finance,Buy,145.09,USD,Investment managers
BA,Boeing Company (The),-0.38554648973371003,5663792,1.3156643161776391,175620210992.63965,USD,101.19318699335093,2.1958,USD,,0,Electronic technology,Buy,222.2,USD,Aerospace & defense
RYCEY,Rolls Royce Holdings plc,-1.2244897959183625,2003702,1.2880103945812724,173304427930.68347,USD,42.386152895116425,0.4853,USD,-45.126639529624605,0.676433304523192,Electronic technology,Strong buy,20.57,USD,Aerospace & defense
WDC,Western Digital Corporation,-6.866736536601106,6724978,0.7143844612829868,166602356834.196,USD,19.11429528729974,24.1751,USD,370.6348433819378,0.100773943889068,Electronic technology,Buy,462.09,USD,Computer peripherals
SCCO,Southern Copper Corporation,3.66347177848775,1491850,1.3898529474913675,164376832038.4639,USD,29.158117033864034,6.6767,USD,55.917519032273155,1.90418913738019,Non-energy minerals,Sell,194.68,USD,Other metals/Minerals
UBS,UBS Group AG Registered,0.30205776854824185,3092091,2.3149314674676353,160873539963.94452,USD,18.437820487484938,2.8815770300000003,USD,40.501481459897725,1.98878569770142,Finance,Neutral,53.13,USD,Investment managers
BBVA,Banco Bilbao Vizcaya Argentaria S.A.,-0.9030913511635916,1731348,0.866927794322539,160295365478.02002,USD,12.663677926228418,2.2529,USD,14.331387972595788,3.01646405001737,Finance,Neutral,28.53,USD,Major banks
BKNG,Booking Holdings Inc. Common Stock,2.2809123649459786,5144360,0.9317689308105656,160044045043.51984,USD,23.558298493596126,9.0414,USD,57.21166385561022,0.772148859543818,Consumer services,Strong buy,213,USD,Other consumer services
UBER,"Uber Technologies, Inc.",4.527189927672127,18795549,0.7920777129310514,159401404317.26123,USD,17.153533355313773,4.5495,USD,-22.807404516687306,0,Transportation,Strong buy,78.04,USD,Other transportation
IBKR,"Interactive Brokers Group, Inc.",-0.022084805653705852,3222052,0.7260641394529022,154036534877.46,USD,36.04586352416594,2.5118,USD,31.735459170294224,0.361638692579505,Finance,Buy,90.54,USD,Investment banks/Brokers
