Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency,Industry
NVDA,NVIDIA Corporation,-2.906110283159468,131869920,1.3382618325101625,5045216028682.506,USD,31.927470979203036,6.5298,USD,110.33338701884364,0.130402384500745,Electronic technology,Strong buy,208.48,USD,Semiconductors
GOOGL,Alphabet Inc.,0.939620671654779,25494068,1.2408655849106405,4239646525753.3135,USD,17.485795240463595,19.9053,USD,112.01789423230548,0.246505423119309,Technology services,Strong buy,348.06,USD,Internet software/Services
GOOG,Alphabet Inc.,0.8310168251645867,15949829,1.1192422456486992,4235084967889.397,USD,17.31146980954821,19.9053,USD,112.01789423230548,0.248719824433065,Technology services,Strong buy,344.59,USD,Internet software/Services
MSFT,Microsoft Corporation,0.8422316033440926,15672738,0.6565021748458928,3618542460697.593,USD,27.155148394574656,17.9454,USD,31.54908515130189,0.736693982286235,Technology services,Strong buy,487.31,USD,Packaged software
AMZN,"Amazon.com, Inc.",1.330085450257123,27769041,0.8316131020404379,2826769482098.27,USD,21.07925936650419,12.4326,USD,89.7295812477109,0,Retail trade,Strong buy,262.07,USD,Internet retail
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,-2.107650077574886,10619580,1.096362106013612,1960593689068.4104,USD,29.600866113316492,13.855,USD,57.778461047908635,0.659169113259339,Electronic technology,Strong buy,410.12,USD,Semiconductors
MU,"Micron Technology, Inc.",-5.828626988559964,28541151,0.9409532212860829,1028233360607.4456,USD,20.610973895286843,44.1721,USD,697.287150515315,0.0548211588986119,Electronic technology,Strong buy,910.43,USD,Semiconductors
AMD,"Advanced Micro Devices, Inc.",-3.487585842577918,15975729,0.8269742433581431,745624782723.9556,USD,117.21929937123059,3.8965,USD,124.2848097622748,0,Electronic technology,Buy,456.745,USD,Semiconductors
ASML,ASML Holding N.V. - New York Registry Shares,-1.339751440105223,1000623,0.8202291768960703,671799269207.3074,USD,54.17421624482426,32.121,USD,23.100094276713666,0.437425556765093,Electronic technology,Strong buy,1740.13,USD,Semiconductors
INTC,Intel Corporation,-3.119795714444308,95427876,0.8385072710518616,458509969247.23157,USD,,-2.1201,USD,55.48626858150668,0,Electronic technology,Buy,87.26,USD,Semiconductors
