Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency,Industry
NVDA,NVIDIA Corporation,2.1920567920184295,119249670,1.1868923344500022,5155809894339.546,USD,32.62733927532237,6.5298,USD,110.33338701884364,0.134305448963929,Electronic technology,Strong buy,213.05,USD,Semiconductors
GOOGL,Alphabet Inc.,-0.3160374648049252,20512260,0.9639198272853509,4224202685356.3438,USD,17.430533576484653,19.9053,USD,112.01789423230548,0.244210768258346,Technology services,Strong buy,346.96,USD,Internet software/Services
GOOG,Alphabet Inc.,-0.3627499347050118,13917565,0.9521706543462674,4222223200033.1963,USD,17.248672464117597,19.9053,USD,112.01789423230548,0.246669955599408,Technology services,Strong buy,343.34,USD,Internet software/Services
MSFT,Microsoft Corporation,0.902916008290406,18887463,0.8403559831000532,3651214915334.995,USD,27.400336576504284,17.9454,USD,31.54908515130189,0.730541133980423,Technology services,Strong buy,491.71,USD,Packaged software
AMZN,"Amazon.com, Inc.",-0.3853932155530931,25438015,0.7796961253382838,2815875329829.8774,USD,20.99802133101684,12.4326,USD,89.7295812477109,0,Retail trade,Strong buy,261.06,USD,Internet retail
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,1.7775285282356432,6891658,0.7198945041067408,1932181926114.246,USD,30.12702995308553,13.855,USD,57.778461047908635,0.673361211352775,Electronic technology,Strong buy,417.41,USD,Semiconductors
MU,"Micron Technology, Inc.",2.4757532155135573,18959817,0.6205852754326745,1053689840687.9967,USD,21.121250744248066,44.1721,USD,697.287150515315,0.0582142504091473,Electronic technology,Strong buy,932.97,USD,Semiconductors
AMD,"Advanced Micro Devices, Inc.",4.91193116509212,18900286,0.9940799646967048,782249350438.7405,USD,122.9770306685487,3.8965,USD,124.2848097622748,0,Electronic technology,Buy,479.18,USD,Semiconductors
ASML,ASML Holding N.V. - New York Registry Shares,0.23159189255974968,791334,0.6435616308011481,663702071090.1083,USD,54.299679337505054,32.121,USD,23.100094276713666,0.443365553148328,Electronic technology,Strong buy,1744.16,USD,Semiconductors
INTC,Intel Corporation,0.25212010084803904,81079805,0.715106810856548,459665977855.0823,USD,,-2.1201,USD,55.48626858150668,0,Electronic technology,Buy,87.48,USD,Semiconductors
PLTR,Palantir Technologies Inc.,-1.796577406333502,24466623,0.739228340194311,415086275727.495,USD,147.61986155029484,1.1701,USD,288.8667331339315,0,Technology services,Buy,172.73,USD,Packaged software
LRCX,Lam Research Corporation,1.4475932553116062,5014494,0.6040838575168014,393740697040.9323,USD,54.58961503096754,5.7641,USD,38.61340900346286,0.335299996775962,Producer manufacturing,Strong buy,314.66,USD,Industrial machinery
AMAT,"Applied Materials, Inc.",-0.857101551044007,5015629,0.5779845487863109,380958503630.1375,USD,41.39274997413168,11.5972,USD,38.26930872499227,0.394473243974473,Producer manufacturing,Strong buy,480.04,USD,Industrial machinery
