Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency,Industry
NVDA,NVIDIA Corporation,8.7379566917867,294843485,2.6880317990366303,5517116096366.84,USD,28.819558566986068,7.9106,USD,125.14871211043119,0.133549556424688,Electronic technology,Strong buy,227.98,USD,Semiconductors
GOOGL,Alphabet Inc.,-0.3947368421052698,21626974,1.0825563565691347,4150184503206.1025,USD,17.113532576750913,19.9053,USD,112.01789423230548,0.248538011695906,Technology services,Strong buy,340.65,USD,Internet software/Services
GOOG,Alphabet Inc.,-0.40990858153938164,15372235,1.0797001128912727,4149552352696.281,USD,16.96583322029811,19.9053,USD,112.01789423230548,0.250663521085226,Technology services,Strong buy,337.71,USD,Internet software/Services
MSFT,Microsoft Corporation,1.750710155730604,27392349,1.2861345043381203,3750345927961.4985,USD,28.144259810313507,17.9454,USD,31.54908515130189,0.717206922255575,Technology services,Strong buy,505.06,USD,Packaged software
AMZN,"Amazon.com, Inc.",-1.5444905486399194,35673855,1.1452402961500538,2764100928793.8066,USD,20.611939578205682,12.4326,USD,89.7295812477109,0,Retail trade,Strong buy,256.26,USD,Internet retail
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,2.300749359572892,12719743,1.3978852492157197,1963220897386.0432,USD,30.840851678094552,13.855,USD,57.778461047908635,0.66115755703991,Electronic technology,Strong buy,427.3,USD,Semiconductors
AVGO,Broadcom Inc.,4.4855029669000945,20415066,0.947780398334263,1767631284022.6084,USD,61.851173630764116,6.007,USD,125.81008946695735,0.714305801625468,Electronic technology,Strong buy,371.54,USD,Semiconductors
MU,"Micron Technology, Inc.",-0.3207587382779189,28328184,1.0221042278243402,1056423007870.6731,USD,21.176036457401842,44.1721,USD,697.287150515315,0.0564791133844842,Electronic technology,Strong buy,935.39,USD,Semiconductors
AMD,"Advanced Micro Devices, Inc.",-0.8857837938993183,16360344,0.8758343960676804,778151834761.9131,USD,122.33286282561274,3.8965,USD,124.2848097622748,0,Electronic technology,Buy,476.67,USD,Semiconductors
ASML,ASML Holding N.V. - New York Registry Shares,-0.6089457161843284,933421,0.8397098810956538,666541931222.3529,USD,54.01481896578562,32.121,USD,23.100094276713666,0.441966098393712,Electronic technology,Strong buy,1735.01,USD,Semiconductors
INTC,Intel Corporation,4.363100634632829,99841889,1.0347306063196664,483889321439.93024,USD,,-2.1201,USD,55.48626858150668,0,Electronic technology,Buy,92.09,USD,Semiconductors
PLTR,Palantir Technologies Inc.,4.749295774647891,39582241,1.2974645388976547,446807106547.07904,USD,158.90094863686866,1.1701,USD,288.8667331339315,0,Technology services,Buy,185.93,USD,Packaged software
LRCX,Lam Research Corporation,1.8217847097928883,6311950,0.8261533857531298,398645864712.3628,USD,55.26968650786766,5.7641,USD,38.61340900346286,0.332395806699054,Producer manufacturing,Strong buy,318.58,USD,Industrial machinery
AMAT,"Applied Materials, Inc.",0.5419376354844135,5993692,0.724785898138889,382799655497.48676,USD,41.592798261649364,11.5972,USD,38.26930872499227,0.398115724528931,Producer manufacturing,Strong buy,482.36,USD,Industrial machinery
GE,GE Aerospace,-3.290160557577801,4783630,1.2105457215008186,355603810323.9285,USD,40.39674214118174,8.4841,USD,18.431815961025716,0.468410508197184,Electronic technology,Buy,342.73,USD,Aerospace & defense
HSBC,"HSBC Holdings, plc.",-0.7718282682103341,1033160,1.0497142029229352,355210561460.2394,USD,14.736012608353034,6.9795,USD,38.945293836598175,3.59864930053063,Finance,Buy,102.85,USD,Major banks
MS,Morgan Stanley,0.3643497757847539,3619290,0.9426374868167644,337451874705.1382,USD,17.360460230761774,12.3764,USD,40.22978086972287,1.93852765321375,Finance,Buy,214.86,USD,Investment managers
