Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency,Industry
NVDA,NVIDIA Corporation,-4.574962716027713,193727754,1.4937562754316722,5242954901744.656,USD,27.501074507622686,7.9106,USD,125.14871211043119,0.122817791034301,Electronic technology,Strong buy,217.55,USD,Semiconductors
GOOGL,Alphabet Inc.,1.743725231175693,24974916,1.2164964724333114,4222262885784.111,USD,17.411945562237193,19.9053,USD,112.01789423230548,0.249522970791135,Technology services,Strong buy,346.59,USD,Internet software/Services
GOOG,Alphabet Inc.,1.5308992922922082,17401774,1.1975388982917445,4213430822078.579,USD,17.22556304099913,19.9053,USD,112.01789423230548,0.251695241479376,Technology services,Strong buy,342.88,USD,Internet software/Services
MSFT,Microsoft Corporation,1.6770284718647233,28913932,1.3224945364641862,3813240316045.0034,USD,28.616247060528046,17.9454,USD,31.54908515130189,0.704866748505128,Technology services,Strong buy,513.53,USD,Packaged software
AMZN,"Amazon.com, Inc.",3.9686256146101684,47995705,1.5224456870602134,2873797869261.6406,USD,21.429950291974325,12.4326,USD,89.7295812477109,0,Retail trade,Strong buy,266.43,USD,Internet retail
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,-2.28879007722912,8856105,0.9269757314196785,1970093234532.004,USD,30.13496932515337,13.855,USD,57.778461047908635,0.646288087994383,Electronic technology,Strong buy,417.52,USD,Semiconductors
MU,"Micron Technology, Inc.",-0.27047541667111824,22751063,0.8448589517066243,1053565632427.2439,USD,21.118760484559257,44.1721,USD,697.287150515315,0.0566608580378238,Electronic technology,Strong buy,932.86,USD,Semiconductors
AMD,"Advanced Micro Devices, Inc.",-2.326557156942965,15239819,0.826122478654685,760047720543.7601,USD,119.48671885025021,3.8965,USD,124.2848097622748,0,Electronic technology,Buy,465.58,USD,Semiconductors
ASML,ASML Holding N.V. - New York Registry Shares,-2.2391801776358586,1242090,1.1388776211542286,661596875492.8185,USD,52.80532984651785,32.121,USD,23.100094276713666,0.444673921187774,Electronic technology,Strong buy,1696.16,USD,Semiconductors
INTC,Intel Corporation,-2.845042892822244,84993594,0.8959677564590768,470122455377.4203,USD,,-2.1201,USD,55.48626858150668,0,Electronic technology,Buy,89.47,USD,Semiconductors
PLTR,Palantir Technologies Inc.,0.19362125531113064,24900356,0.8050505055762901,447672202440.4364,USD,159.20861464832066,1.1701,USD,288.8667331339315,0,Technology services,Buy,186.29,USD,Packaged software
LRCX,Lam Research Corporation,-5.235733567706701,8034217,1.08479812342825,377773807539.4221,USD,52.37591297860897,5.7641,USD,38.61340900346286,0.326448615732312,Producer manufacturing,Strong buy,301.9,USD,Industrial machinery
AMAT,"Applied Materials, Inc.",-4.289327473256488,6389450,0.8404577687482249,366380106122.0948,USD,39.808746938916286,11.5972,USD,38.26930872499227,0.395969815075877,Producer manufacturing,Strong buy,461.67,USD,Industrial machinery
GE,GE Aerospace,-0.04376622997695973,2534633,0.6052930090116942,355448172644.0111,USD,40.37906201011303,8.4841,USD,18.431815961025716,0.484346278411578,Electronic technology,Buy,342.58,USD,Aerospace & defense
HSBC,"HSBC Holdings, plc.",0.6611570247933951,1268624,1.2577930185380668,350902203092.727,USD,14.8334407908876,6.9795,USD,38.945293836598175,3.6266407389402,Finance,Buy,103.53,USD,Major banks
MS,Morgan Stanley,-0.041887740854511496,3541910,0.9148984852750037,337310521811.02246,USD,17.35318832616916,12.3764,USD,40.22978086972287,1.93149027273574,Finance,Buy,214.77,USD,Investment managers
PANW,"Palo Alto Networks, Inc.",-2.941099647381493,5836256,1.1301135005538825,302845854827.70966,USD,305.65929094348934,1.2157,USD,-30.432045779685268,0,Technology services,Buy,371.59,USD,Packaged software
GS,"Goldman Sachs Group, Inc. (The)",-0.6609855217270055,1043444,0.5246357218721335,301068332295.8119,USD,15.958064147716925,64.7942,USD,42.76881720430108,1.6332491089185,Finance,Neutral,1033.99,USD,Investment banks/Brokers
DELL,Dell Technologies Inc.,-3.3921992122983067,3934628,0.8450252974238713,295771749126.0821,USD,36.255274513076024,12.5841,USD,100.63934948979589,0.489137339601067,Electronic technology,Buy,456.24,USD,Computer processing hardware
ARM,Arm Holdings plc,-6.332040280553268,3836335,0.9886403393121437,272564287170.00003,USD,245.22979072630284,0.9748,USD,48.43916552459267,0,Electronic technology,Buy,239.05,USD,Semiconductors
SAP,SAP SE,0.16729212822715764,2317784,0.966733631096688,258326947789.20413,USD,27.851252137181937,7.9544,USD,31.651770936775904,0.965370077316092,Technology services,Strong buy,221.54,USD,Packaged software
ANET,"Arista Networks, Inc.",-2.8395245909791678,3060972,0.5152208071259409,246418059691.63257,USD,61.599091998234435,3.1718,USD,24.726700747149035,0,Electronic technology,Strong buy,195.38,USD,Computer peripherals
BHP,BHP Group Limited,-1.2659541351042845,1656414,0.5343432649671787,242818410998.5985,USD,24.562445144302753,3.8738,USD,9.349065657991304,2.72906506174121,Non-energy minerals,Neutral,95.15,USD,Steel
TXN,Texas Instruments Incorporated,-2.9639078562317227,5667766,1.0032444118457187,236202387699.45642,USD,39.34705551245189,6.5733,USD,20.161231354197135,2.13101223080963,Electronic technology,Buy,258.64,USD,Semiconductors
KLAC,KLA Corporation,-4.47842411710291,9920140,1.1323444384734664,229351222341.39804,USD,47.86105733838645,3.6677,USD,20.65993354607363,0.36730695978669,Electronic technology,Buy,175.54,USD,Semiconductors
C,"Citigroup, Inc.",0.16581248115767172,10667351,1.2617332332354179,222931334104.495,USD,14.346009779898317,9.2639,USD,36.96699982257968,1.80886343081097,Finance,Buy,132.9,USD,Major banks
CRWD,"CrowdStrike Holdings, Inc.",-4.1937181961747685,14697119,1.4614581979106438,222387832721.88104,USD,6117.647058823529,0.0357,USD,,0,Technology services,Buy,218.4,USD,Packaged software
SAN,"Banco Santander, S.A. Sponsored",0.8247422680412317,8747137,0.320847607487281,219267850578.86313,USD,11.55937278386258,1.2691,USD,38.608562691131496,1.37711340206186,Finance,Buy,14.67,USD,Major banks
SNDK,Sandisk Corporation,0.002020270042760545,8101741,0.6050971918955462,217429288897.046,USD,20.372136030082572,72.8927,USD,,0,Electronic technology,Buy,1484.98,USD,Computer peripherals
SHOP,Shopify Inc.,-0.9265858873841811,4923109,0.8024839057290231,196727870435.16547,USD,105.32856450048499,1.4516479999999998,USD,-19.900471515478106,0,Commercial services,Buy,152.9,USD,Miscellaneous commercial services
APH,Amphenol Corporation,-2.255545916470434,4126463,0.7138182456970096,194490826409.5576,USD,39.489297784453626,3.9945,USD,59.36564931178935,0.5669847564754,Electronic technology,Strong buy,157.74,USD,Electronic components
