Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency,Industry
NVDA,NVIDIA Corporation,1.4847161572052354,121705104,0.8592856135752789,5320798074638.964,USD,27.90938740424241,7.9106,USD,125.14871211043119,0.128706044587451,Electronic technology,Strong buy,220.78,USD,Semiconductors
GOOGL,Alphabet Inc.,-2.0889235119305094,31835070,1.4957395829848692,4130173669706.3223,USD,17.048223337503078,19.9053,USD,112.01789423230548,0.24524654490897,Technology services,Strong buy,339.35,USD,Internet software/Services
GOOG,Alphabet Inc.,-2.1786047596826794,21451983,1.4093879542685424,4126390654123.0186,USD,16.850286104705784,19.9053,USD,112.01789423230548,0.247900139990667,Technology services,Strong buy,335.41,USD,Internet software/Services
MSFT,Microsoft Corporation,-1.2151188830253252,25638264,1.1069037668862391,3766905146020.1895,USD,28.26852563888239,17.9454,USD,31.54908515130189,0.693240901213172,Technology services,Strong buy,507.29,USD,Packaged software
AMZN,"Amazon.com, Inc.",-2.499718500168909,45172576,1.3382501777272378,2801960828461.992,USD,20.89426185994884,12.4326,USD,89.7295812477109,0,Retail trade,Strong buy,259.77,USD,Internet retail
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,-0.5269208660662935,6628535,0.6755489633132423,1980840904922.3281,USD,29.97618188379646,13.855,USD,57.778461047908635,0.661426757999617,Electronic technology,Strong buy,415.32,USD,Semiconductors
AVGO,Broadcom Inc.,0.42029339190323883,21412125,1.0165725617728731,1761922246956.9565,USD,61.65140669219244,6.007,USD,125.81008946695735,0.688738848667263,Electronic technology,Strong buy,370.34,USD,Semiconductors
MU,"Micron Technology, Inc.",2.7731921188602797,22319903,0.8445004754951837,1082782997553.1401,USD,21.704424285918034,44.1721,USD,697.287150515315,0.0568145273674506,Electronic technology,Strong buy,958.73,USD,Semiconductors
AMD,"Advanced Micro Devices, Inc.",1.103999312685262,12245332,0.7026333784198089,768438598345.5118,USD,120.80585140510715,3.8965,USD,124.2848097622748,0,Electronic technology,Buy,470.72,USD,Semiconductors
ASML,ASML Holding N.V. - New York Registry Shares,-0.008843505329691241,1169508,1.040808306047344,661201768684.0568,USD,52.80066000435851,32.121,USD,23.100094276713666,0.454859034525045,Electronic technology,Strong buy,1696.01,USD,Semiconductors
INTC,Intel Corporation,0.04470772325920002,64481955,0.6864103063784247,470332661543.555,USD,,-2.1201,USD,55.48626858150668,0,Electronic technology,Buy,89.51,USD,Semiconductors
PLTR,Palantir Technologies Inc.,0.04831177196843814,25599904,0.8250151965307491,447888482315.33405,USD,159.28553115118368,1.1701,USD,288.8667331339315,0,Technology services,Buy,186.38,USD,Packaged software
LRCX,Lam Research Corporation,-0.13580655846305673,6946153,0.9298921228412662,377260774205.95483,USD,52.30478305372912,5.7641,USD,38.61340900346286,0.344484928784366,Producer manufacturing,Strong buy,301.49,USD,Industrial machinery
