Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency,Industry
NVDA,NVIDIA Corporation,-1.5128181900534485,106869341,0.7383670355929709,5240303971026.056,USD,27.487169114858546,7.9106,USD,125.14871211043119,0.126823081800888,Electronic technology,Strong buy,217.44,USD,Semiconductors
MSFT,Microsoft Corporation,-1.2359794200555971,19112275,0.8338890695845547,3720346824063.0806,USD,27.919132479632662,17.9454,USD,31.54908515130189,0.717538291706913,Technology services,Strong buy,501.02,USD,Packaged software
AMZN,"Amazon.com, Inc.",-1.8670362243523098,31393945,0.9240528753435853,2749647164100.824,USD,20.50415842221257,12.4326,USD,89.7295812477109,0,Retail trade,Strong buy,254.92,USD,Internet retail
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,-0.31782721756717547,7901589,0.828353041043547,1964321985779.7617,USD,29.880909418982316,13.855,USD,57.778461047908635,0.664930415101609,Electronic technology,Strong buy,414,USD,Semiconductors
AVGO,Broadcom Inc.,-0.17821461359830648,18679107,0.8788687860888633,1758782185889.4875,USD,61.54153487597803,6.007,USD,125.81008946695735,0.685856240211697,Electronic technology,Strong buy,369.68,USD,Semiconductors
MU,"Micron Technology, Inc.",-2.6378646751431543,27543840,1.0868179864323655,1054220642429.4636,USD,21.13189094473661,44.1721,USD,697.287150515315,0.055281466106203,Electronic technology,Strong buy,933.44,USD,Semiconductors
AMD,"Advanced Micro Devices, Inc.",-2.360214140040791,16047772,0.9627717604087798,750301825475.1967,USD,117.95457461824715,3.8965,USD,124.2848097622748,0,Electronic technology,Buy,459.61,USD,Semiconductors
ASML,ASML Holding N.V. - New York Registry Shares,-1.8201543622973857,905144,0.8107871096222075,644321989556.2412,USD,51.83960648796737,32.121,USD,23.100094276713666,0.454899263565663,Electronic technology,Strong buy,1665.14,USD,Semiconductors
INTC,Intel Corporation,-0.6032845492123855,73320203,0.8004566385051036,467495222045.99976,USD,,-2.1201,USD,55.48626858150668,0,Electronic technology,Buy,88.97,USD,Semiconductors
PLTR,Palantir Technologies Inc.,-3.4660371284472626,24348127,0.7812816582794468,432364528133.7306,USD,153.7646355012392,1.1701,USD,288.8667331339315,0,Technology services,Buy,179.92,USD,Packaged software
LRCX,Lam Research Corporation,-3.74473448538924,8153399,1.1146704783532937,363133355474.41974,USD,50.3461078052081,5.7641,USD,38.61340900346286,0.344953398122657,Producer manufacturing,Strong buy,290.2,USD,Industrial machinery
HSBC,"HSBC Holdings, plc.",0.2520845452782675,1174745,1.126231453892142,355571573391.3728,USD,14.814814814814817,6.9795,USD,38.945293836598175,3.61644366879969,Finance,Buy,103.4,USD,Major banks
AMAT,"Applied Materials, Inc.",-3.6082811579659166,7102420,1.0765137773034783,350651027746.2417,USD,38.09971372400234,11.5972,USD,38.26930872499227,0.431946595693623,Producer manufacturing,Strong buy,441.85,USD,Industrial machinery
GE,GE Aerospace,-1.3761877811206116,3023054,0.7481423608060591,343526559381.0129,USD,39.024763970250234,8.4841,USD,18.431815961025716,0.494474397545501,Electronic technology,Buy,331.09,USD,Aerospace & defense
MS,Morgan Stanley,-1.0688168010500663,3404618,0.8542987679729939,331452319993.1266,USD,17.051808280275363,12.3764,USD,40.22978086972287,1.9454340896306,Finance,Buy,211.04,USD,Investment managers
PANW,"Palo Alto Networks, Inc.",-5.2442885928872425,8603388,1.5133573311230646,295103353770.3297,USD,297.84486304186885,1.2157,USD,-30.432045779685268,0,Technology services,Buy,362.09,USD,Packaged software
GS,"Goldman Sachs Group, Inc. (The)",-2.275075543425299,1809489,0.9395301334249937,291916823010.98596,USD,15.472989866376928,64.7942,USD,42.76881720430108,1.65708158689931,Finance,Neutral,1002.56,USD,Investment banks/Brokers
DELL,Dell Technologies Inc.,-6.80028946733624,13874317,2.8351368790752214,275519449130.33704,USD,33.772776757972366,12.5841,USD,100.63934948979589,0.506567838424596,Electronic technology,Buy,425,USD,Computer processing hardware
SAP,SAP SE,-4.006519081895964,2552193,1.0655328728981794,258961259009.7105,USD,26.656944584129537,7.9544,USD,31.651770936775904,0.966593779709358,Technology services,Strong buy,212.04,USD,Packaged software
ARM,Arm Holdings plc,-2.930842048695798,2943902,0.7543291968376361,258359883911,USD,240.89043906442348,0.9748,USD,48.43916552459267,0,Electronic technology,Buy,234.82,USD,Semiconductors
BHP,BHP Group Limited,-1.1712095400340805,2678648,0.928415092890449,241250676185.95944,USD,23.960968558005057,3.8738,USD,9.349065657991304,2.80025553662692,Non-energy minerals,Neutral,92.82,USD,Steel
ANET,"Arista Networks, Inc.",-3.2858091880014344,4277967,0.7490646731283653,238699372548.53534,USD,59.66958824642158,3.1718,USD,24.726700747149035,0,Electronic technology,Strong buy,189.26,USD,Computer peripherals
TXN,Texas Instruments Incorporated,-2.9013836188724165,7042735,1.2278267210670915,231362170666.35254,USD,38.54076339129509,6.5733,USD,20.161231354197135,2.17699589896899,Electronic technology,Buy,253.34,USD,Semiconductors
SNDK,Sandisk Corporation,-1.9040020425097437,11568696,0.9154360412248401,225026971272.76407,USD,21.084004296726555,72.8927,USD,,0,Electronic technology,Buy,1536.87,USD,Computer peripherals
KLAC,KLA Corporation,-2.5990310629809077,10214818,1.156224385961753,223275770724.2773,USD,46.59323281620634,3.6677,USD,20.65993354607363,0.384724992875463,Electronic technology,Buy,170.89,USD,Semiconductors
C,"Citigroup, Inc.",0.6989819176416863,6930104,0.7838278007966715,222327460926.9208,USD,14.307149256792496,9.2639,USD,36.96699982257968,1.87661449627716,Finance,Buy,132.54,USD,Major banks
SAN,"Banco Santander, S.A. Sponsored",-1.2362637362637343,8630574,0.3353218330981579,220758513391.34003,USD,11.330864392088884,1.2691,USD,38.608562691131496,1.37616758241758,Finance,Buy,14.38,USD,Major banks
CRWD,"CrowdStrike Holdings, Inc.",-6.896103896103899,13464232,1.122448052366935,220217660544.73907,USD,6024.369747899159,0.0357,USD,,0,Technology services,Buy,215.07,USD,Packaged software
APH,Amphenol Corporation,2.9202144433932484,7649656,1.3472808237458733,201198254748.82382,USD,40.851170359243966,3.9945,USD,59.36564931178935,0.577105014191107,Electronic technology,Strong buy,163.18,USD,Electronic components
STX,Seagate Technology Holdings PLC,-1.4172239793331574,2345164,0.6564273401985513,185086978629.58582,USD,58.86117918408534,13.874,USD,104.84275800974459,0.354909582558729,Electronic technology,Buy,816.64,USD,Computer peripherals
MRVL,"Marvell Technology, Inc.",-0.6000188982330201,21039787,0.711987491308944,184490999328.7244,USD,69.27788205077546,3.0369,USD,,0.113389398091278,Electronic technology,Strong buy,210.39,USD,Semiconductors
DIS,Walt Disney Company (The),-1.2366341236634109,6634655,0.8308795959673883,183408686622.6055,USD,21.90916216327709,4.8482,USD,-23.99034240561896,1.39470013947001,Consumer services,Strong buy,106.22,USD,Movies/Entertainment
SHOP,Shopify Inc.,-5.123159394720778,9104058,1.514374447489309,179898571976.91748,USD,96.31811568644741,1.4516479999999998,USD,-19.900471515478106,0,Commercial services,Buy,139.82,USD,Miscellaneous commercial services
RYCEY,Rolls Royce Holdings plc,-3.3973412112259864,1418996,1.0694921638939936,172488038923.4464,USD,40.428600865444054,0.4853,USD,-45.126639529624605,0.679009013351328,Electronic technology,Strong buy,19.62,USD,Aerospace & defense
ADI,"Analog Devices, Inc.",-2.1041586126912257,2907732,0.6969705497049323,171788153900.8771,USD,42.070536858594004,8.4268,USD,114.37875241681084,1.15424973767051,Electronic technology,Strong buy,354.52,USD,Semiconductors
KXIAY,KIOXIA HLDGS CORP,-0.7341206511330893,1120994,0.9142195667032765,171576316922.48477,USD,19.65865992414665,1.582,USD,480.3374908290536,0,Electronic technology,No rating,31.1,USD,Computer peripherals
SCCO,Southern Copper Corporation,-3.475846220136923,965549,0.7925945626914175,170228127152.42743,USD,30.196054937319335,6.6767,USD,55.917519032273155,1.86774994566662,Non-energy minerals,Sell,201.61,USD,Other metals/Minerals
