Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency,Industry
NVDA,NVIDIA Corporation,3.2054819720382626,153247409,1.0539675197990455,5408280970097.302,USD,28.368265365459006,7.9106,USD,125.14871211043119,0.126823081800888,Electronic technology,Strong buy,224.41,USD,Semiconductors
GOOGL,Alphabet Inc.,0.6268282490597644,20905640,0.9005733721921688,4101344381759.135,USD,16.93619287325486,19.9053,USD,112.01789423230548,0.25047885663769,Technology services,Strong buy,337.12,USD,Internet software/Services
MSFT,Microsoft Corporation,-0.8382898886271982,14722848,0.6510100098100435,3689159532815.0967,USD,27.68508921506347,17.9454,USD,31.54908515130189,0.717538291706913,Technology services,Strong buy,496.82,USD,Packaged software
AMZN,"Amazon.com, Inc.",0.02353679585752482,23460945,0.6935500594896259,2750294342940.641,USD,20.508984444122706,12.4326,USD,89.7295812477109,0,Retail trade,Strong buy,254.98,USD,Internet retail
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,0.36231884057971014,6258341,0.7009183994673576,1964321985779.7617,USD,29.989173583543845,13.855,USD,57.778461047908635,0.664930415101609,Electronic technology,Strong buy,415.5,USD,Semiconductors
MU,"Micron Technology, Inc.",2.4254370929036666,21110880,0.8655713939816455,1079790100931.9952,USD,21.644431666142204,44.1721,USD,697.287150515315,0.055281466106203,Electronic technology,Strong buy,956.08,USD,Semiconductors
AMD,"Advanced Micro Devices, Inc.",-0.5548182154435307,11718063,0.7361774706139832,746139014276.6549,USD,117.30014115231619,3.8965,USD,124.2848097622748,0,Electronic technology,Buy,457.06,USD,Semiconductors
ASML,ASML Holding N.V. - New York Registry Shares,1.0305439782840995,852332,0.7995048752676641,644321989556.2412,USD,52.3738364309953,32.121,USD,23.100094276713666,0.454899263565663,Electronic technology,Strong buy,1682.3,USD,Semiconductors
INTC,Intel Corporation,1.2138923232550278,54720804,0.6304363303247784,473170110658.0002,USD,,-2.1201,USD,55.48626858150668,0,Electronic technology,Buy,90.05,USD,Semiconductors
PLTR,Palantir Technologies Inc.,-5.813694975544675,39429786,1.2796340456537287,407228173285.58246,USD,144.82522861293907,1.1701,USD,288.8667331339315,0,Technology services,Buy,169.46,USD,Packaged software
LRCX,Lam Research Corporation,-0.6478290833907634,4827929,0.6781693826546539,360780871986.16364,USD,50.01995107649069,5.7641,USD,38.61340900346286,0.344953398122657,Producer manufacturing,Strong buy,288.32,USD,Industrial machinery
HSBC,"HSBC Holdings, plc.",1.4893617021276517,1387340,1.2931768130845251,355571573391.3728,USD,15.035460992907801,6.9795,USD,38.945293836598175,3.61644366879969,Finance,Buy,104.94,USD,Major banks
AMAT,"Applied Materials, Inc.",-0.7672286975217931,6176101,0.9573207770118304,347960732433.2174,USD,37.80740178663815,11.5972,USD,38.26930872499227,0.431946595693623,Producer manufacturing,Strong buy,438.46,USD,Industrial machinery
GE,GE Aerospace,-0.4802319610981833,2684996,0.6972673752212207,341876835048.00433,USD,38.83735458092196,8.4841,USD,18.431815961025716,0.494474397545501,Electronic technology,Buy,329.5,USD,Aerospace & defense
MS,Morgan Stanley,0.36959818043972764,3613491,0.8900667636715002,332677361736.84644,USD,17.11483145341133,12.3764,USD,40.22978086972287,1.9454340896306,Finance,Buy,211.82,USD,Investment managers
DELL,Dell Technologies Inc.,15.81176470588235,36390497,6.130951941709471,319083936145.76917,USD,28.570931022272788,17.2273,USD,153.33519602364635,0.506567838424596,Electronic technology,Buy,492.2,USD,Computer processing hardware
GS,"Goldman Sachs Group, Inc. (The)",0.18552505585700743,1998910,1.0412752158568508,292458401859.9331,USD,15.501696139469272,64.7942,USD,42.76881720430108,1.65708158689931,Finance,Neutral,1004.42,USD,Investment banks/Brokers
PANW,"Palo Alto Networks, Inc.",-9.282222651826883,13165042,2.1516325560040115,267711203420.35934,USD,646.9962576324601,0.5077,USD,-68.27073307918255,0,Technology services,Buy,328.48,USD,Packaged software
SAP,SAP SE,-1.1082814563289918,1506364,0.6387091863916584,258961259009.7105,USD,26.361510610479737,7.9544,USD,31.651770936775904,0.966593779709358,Technology services,Strong buy,209.69,USD,Packaged software
ARM,Arm Holdings plc,0.017034324163197542,2422646,0.6801745926119045,258359883911,USD,240.93147312269184,0.9748,USD,48.43916552459267,0,Electronic technology,Buy,234.86,USD,Semiconductors
BHP,BHP Group Limited,0.6571859513036131,2119927,0.7519636059783591,241250676185.95944,USD,24.118436677164542,3.8738,USD,9.349065657991304,2.80025553662692,Non-energy minerals,Neutral,93.43,USD,Steel
ANET,"Arista Networks, Inc.",-1.6696607841065185,4227041,0.8036155313972604,234713902733.1841,USD,58.67330853143325,3.1718,USD,24.726700747149035,0,Electronic technology,Strong buy,186.1,USD,Computer peripherals
TXN,Texas Instruments Incorporated,0.5763006236678013,3859415,0.6813486965562683,232695512298.83408,USD,38.762874051085454,6.5733,USD,20.161231354197135,2.17699589896899,Electronic technology,Buy,254.8,USD,Semiconductors
SNDK,Sandisk Corporation,1.0755626695816953,8475597,0.7095282573018458,227447277372.26425,USD,21.310775976195146,72.8927,USD,,0,Electronic technology,Buy,1553.4,USD,Computer peripherals
C,"Citigroup, Inc.",1.3580805794477224,7611940,0.86221452893452,225346846996.54852,USD,14.501451872321594,9.2639,USD,36.96699982257968,1.87661449627716,Finance,Buy,134.34,USD,Major banks
KLAC,KLA Corporation,0.8016852946339779,6370554,0.7468801881383511,225065739744.6545,USD,46.96676391198844,3.6677,USD,20.65993354607363,0.384724992875463,Electronic technology,Buy,172.26,USD,Semiconductors
SAN,"Banco Santander, S.A. Sponsored",2.5730180806675884,8226321,0.3822427522671775,220758513391.34003,USD,11.622409581593256,1.2691,USD,38.608562691131496,1.37616758241758,Finance,Buy,14.75,USD,Major banks
CRWD,"CrowdStrike Holdings, Inc.",-5.416841028502351,12123170,0.9560264819170674,208288819956.3436,USD,5698.039215686274,0.0357,USD,,0,Technology services,Buy,203.42,USD,Packaged software
APH,Amphenol Corporation,-1.8997426155166037,6340317,1.113116688701709,197376005761.68475,USD,40.075103266992116,3.9945,USD,59.36564931178935,0.577105014191107,Electronic technology,Strong buy,160.08,USD,Electronic components
DIS,Walt Disney Company (The),1.6569384296742657,7453808,0.9232320573452112,186447655634.6163,USD,22.272183490780083,4.8482,USD,-23.99034240561896,1.39470013947001,Consumer services,Strong buy,107.98,USD,Movies/Entertainment
STX,Seagate Technology Holdings PLC,-0.9918691222570561,2655978,0.7916843127884784,183251158039.24045,USD,58.277353322761996,13.874,USD,104.84275800974459,0.354909582558729,Electronic technology,Buy,808.54,USD,Computer peripherals
SHOP,Shopify Inc.,1.46617079101703,6032175,0.9643382027802444,182536192292.6998,USD,97.73030376510009,1.4516479999999998,USD,-19.900471515478106,0,Commercial services,Buy,141.87,USD,Miscellaneous commercial services
MRVL,"Marvell Technology, Inc.",-1.8584533485431802,14973936,0.512911655580468,181062320173.93893,USD,67.99038493200302,3.0369,USD,,0.113389398091278,Electronic technology,Strong buy,206.48,USD,Semiconductors
QCOM,QUALCOMM Incorporated,2.0106836324350246,7508081,0.7358515276982238,178497746913.59198,USD,19.670385630294895,8.6404,USD,-16.66602368735774,2.10581886438292,Electronic technology,Neutral,169.96,USD,Semiconductors
RYCEY,Rolls Royce Holdings plc,0.7262996941895937,4454695,3.302569270851018,172488038923.4464,USD,40.722233669894905,0.4853,USD,-45.126639529624605,0.679009013351328,Electronic technology,Strong buy,19.7625,USD,Aerospace & defense
SCCO,Southern Copper Corporation,1.3144189276325464,784872,0.6329302052826599,172465637875.87332,USD,30.592957598813783,6.6767,USD,55.917519032273155,1.86774994566662,Non-energy minerals,Sell,204.26,USD,Other metals/Minerals
ADI,"Analog Devices, Inc.",0.3356651246756171,3097588,0.7839516061883217,172364786821.84644,USD,42.21175297859211,8.4268,USD,114.37875241681084,1.15424973767051,Electronic technology,Strong buy,355.71,USD,Semiconductors
KXIAY,KIOXIA HLDGS CORP,5.369774919614153,1079233,0.9476802038890229,171576316922.48477,USD,20.714285714285715,1.582,USD,480.3374908290536,0,Electronic technology,No rating,32.77,USD,Computer peripherals
BX,Blackstone Inc.,0.11707888189667538,2329843,0.7553272476438848,169908126532.0634,USD,30.69295825201337,4.4577,USD,20.325532431775855,3.65121474448478,Finance,Buy,136.82,USD,Investment managers
UBS,UBS Group AG Registered,1.4037680088658995,1692471,0.9304174878165447,166232959968.10974,USD,19.052067471540052,2.8815770300000003,USD,40.501481459897725,1.93443992773261,Finance,Neutral,54.9,USD,Investment managers
SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored,2.6507875528236564,1601167,1.3270832931009062,165450795268.46756,USD,15.3545569474773,1.7402,USD,42.091940883481676,1.86383126934985,Finance,Buy,26.72,USD,Major banks
BBVA,Banco Bilbao Vizcaya Argentaria S.A.,1.815642458100557,974170,0.7559251786395752,161890202033.2192,USD,12.943317501886458,2.2529,USD,14.331387972595788,2.99875690607735,Finance,Neutral,29.16,USD,Major banks
WDC,Western Digital Corporation,-0.3418879318000223,3937373,0.6827055069244524,161846816431.3972,USD,18.568692580382294,24.1751,USD,370.6348433819378,0.110975474420153,Electronic technology,Buy,448.9,USD,Computer peripherals
IBKR,"Interactive Brokers Group, Inc.",-1.4050226794999403,4308010,1.0474252278588303,151620675814.87997,USD,35.48053188948165,2.5118,USD,31.735459170294224,0.33662246890739,Finance,Buy,89.12,USD,Investment banks/Brokers
BKNG,Booking Holdings Inc. Common Stock,1.9980581532014905,4845189,1.0237567593042707,149975543676.46387,USD,22.076227132966135,9.0414,USD,57.21166385561022,0.80767492089005,Consumer services,Buy,199.6,USD,Other consumer services
NOW,"ServiceNow, Inc.",-4.324702589223238,14474715,0.7765317933048294,141368485247.44647,USD,85.42330521711965,1.6005,USD,0.7237256135934592,0,Technology services,Strong buy,136.72,USD,Packaged software
COF,Capital One Financial Corporation,2.4888804769565587,4044144,1.3001894563212177,132880804763.86182,USD,76.35363790186125,2.8368,USD,-76.17936014778739,1.49177194536385,Finance,Buy,216.6,USD,Major banks
NEM,Newmont Corporation,2.063116692489604,6334755,0.6792578018912127,131880120800.69585,USD,15.804427158966071,7.9193,USD,42.18029048995494,0.809138505473584,Non-energy minerals,Buy,125.16,USD,Precious metals
MFG,"Mizuho Financial Group, Inc. Sponosred",3.072625698324023,3618891,1.3057371068287849,131587705275.1375,USD,15.218586747319218,0.7274,USD,53.97967823878071,1.31020676691729,Finance,Buy,11.07,USD,Major banks
GLW,Corning Incorporated,-0.9824127507557068,7703943,0.8989204963114,124151892928.77516,USD,66.10861388863407,2.1802,USD,130.83112758073054,0.753042425872386,Electronic technology,Buy,144.13,USD,Electronic components
ABNB,"Airbnb, Inc.",0.39168424224164095,3411432,0.6861100363437407,109733467661.06088,USD,41.654733492442325,4.3995,USD,6.145049218297618,0,Consumer services,Buy,183.26,USD,Hotels/Resorts/Cruise lines
FCX,"Freeport-McMoRan, Inc.",2.0146267421001904,11954239,0.6699440026222004,106164767531.84872,USD,36.50503653960103,2.0252,USD,53.400999848507794,0.7921837866385,Non-energy minerals,Buy,73.93,USD,Other metals/Minerals
SNOW,Snowflake Inc.,-4.365228267667303,10480726,2.8089270738335372,106004143523.8408,USD,,-3.5146,USD,16.45828381269312,0,Technology services,Strong buy,305.84,USD,Packaged software
