Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency,Industry
NVDA,NVIDIA Corporation,0.8360691617421865,132001371,0.8480537537143431,5551675925838.097,USD,29.120420701337448,7.9106,USD,125.14871211043119,0.12256511271613,Electronic technology,Strong buy,230.36,USD,Semiconductors
GOOG,Alphabet Inc.,-1.1118320160434063,12163869,0.7454742335093741,4123378110692.2617,USD,16.84526231707133,19.9053,USD,112.01789423230548,0.250678306004483,Technology services,Strong buy,335.31,USD,Internet software/Services
GOOGL,Alphabet Inc.,-1.1737911702873272,20813530,0.8776820594227538,4120794575921.875,USD,17.003511627556477,19.9053,USD,112.01789423230548,0.248189675309507,Technology services,Strong buy,338.46,USD,Internet software/Services
MSFT,Microsoft Corporation,-2.0426566298125963,17399694,0.7711499265074548,3710545005937.796,USD,27.845576025053774,17.9454,USD,31.54908515130189,0.713557594291539,Technology services,Strong buy,499.7,USD,Packaged software
AMZN,"Amazon.com, Inc.",-0.15063731170335512,29948610,0.9213783512309025,2788370083542.4517,USD,20.792915399835913,12.4326,USD,89.7295812477109,0,Retail trade,Strong buy,258.51,USD,Internet retail
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,2.853648593558916,12166923,1.4391252041055451,1951016865144.7932,USD,30.957055214723926,13.855,USD,57.778461047908635,0.662235677801492,Electronic technology,Strong buy,428.91,USD,Semiconductors
MU,"Micron Technology, Inc.",6.0981464473574425,34824493,1.4669341118499353,1148129665197.5,USD,23.01430088223109,44.1721,USD,697.287150515315,0.0553143525089755,Electronic technology,Strong buy,1016.59,USD,Semiconductors
AMD,"Advanced Micro Devices, Inc.",4.693528586460884,19337466,1.2756103848476628,779621080349.9078,USD,122.56383934300013,3.8965,USD,124.2848097622748,0,Electronic technology,Buy,477.57,USD,Semiconductors
ASML,ASML Holding N.V. - New York Registry Shares,4.17266536669522,1247641,1.1676994764524329,632065780908.219,USD,53.38812614800286,32.121,USD,23.100094276713666,0.468666253591627,Electronic technology,Strong buy,1714.88,USD,Semiconductors
INTC,Intel Corporation,4.505290716701206,94893450,1.166425180321191,503383615922.0268,USD,,-2.1201,USD,55.48626858150668,0,Electronic technology,Buy,95.8,USD,Semiconductors
PLTR,Palantir Technologies Inc.,-4.492412206212671,27482449,0.8509499312671456,418931223381.71893,USD,148.98726604563714,1.1701,USD,288.8667331339315,0,Technology services,Buy,174.33,USD,Packaged software
LRCX,Lam Research Corporation,5.1219845554568275,8338815,1.2715147733426244,384968924287.0766,USD,53.37346680314359,5.7641,USD,38.61340900346286,0.355361169958313,Producer manufacturing,Strong buy,307.65,USD,Industrial machinery
HSBC,"HSBC Holdings, plc.",0.6105579560398325,1173797,1.0367310931888325,363022602134.52,USD,15.346371516584282,6.9795,USD,38.945293836598175,3.50366334773624,Finance,Buy,107.11,USD,Major banks
AMAT,"Applied Materials, Inc.",4.312816865866797,5984698,0.9370679884882473,360856682292.00397,USD,39.208602076363256,11.5972,USD,38.26930872499227,0.454222201830653,Producer manufacturing,Strong buy,454.71,USD,Industrial machinery
GE,GE Aerospace,1.091519731318216,2447144,0.7444116892831408,349783081523.4223,USD,39.73550523921217,8.4841,USD,18.431815961025716,0.497780976370397,Electronic technology,Buy,337.12,USD,Aerospace & defense
MS,Morgan Stanley,0.2624913654156082,2928159,0.7645828624036297,341943681780.8209,USD,17.59154519892699,12.3764,USD,40.22978086972287,1.91112134469261,Finance,Buy,217.72,USD,Investment managers
DELL,Dell Technologies Inc.,1.5008036561513585,10942025,1.035379583273444,339790035461.95935,USD,30.424965026440592,17.2273,USD,153.33519602364635,0.447336315575437,Electronic technology,Buy,524.14,USD,Computer processing hardware
GS,"Goldman Sachs Group, Inc. (The)",0.06551501546345478,1366985,0.7362629307259465,302413561304.9665,USD,16.02936682604307,64.7942,USD,42.76881720430108,1.63787538658676,Finance,Neutral,1038.61,USD,Investment banks/Brokers
PANW,"Palo Alto Networks, Inc.",0.3976622281135125,5600082,0.7855224827690471,271606901997.91348,USD,656.4112664959621,0.5077,USD,-68.27073307918255,0,Technology services,Buy,333.26,USD,Packaged software
ARM,Arm Holdings plc,3.9160723855064097,4107798,1.1769112353849402,259086116089,USD,258.6068937217891,0.9748,USD,48.43916552459267,0,Electronic technology,Buy,252.09,USD,Semiconductors
SNDK,Sandisk Corporation,11.897825709490093,16191398,1.4807999448483942,254769069445.2955,USD,23.87070310195671,72.8927,USD,,0,Electronic technology,Buy,1740,USD,Computer peripherals
SAP,SAP SE,-0.8846703220752834,2297928,0.9793533653029631,251883211184.19824,USD,27.042894498642262,7.9544,USD,31.651770936775904,0.983785190987421,Technology services,Strong buy,215.11,USD,Packaged software
ANET,"Arista Networks, Inc.",1.222315085666529,4190262,0.8194710256096649,244400107921.57565,USD,61.09464657292389,3.1718,USD,24.726700747149035,0,Electronic technology,Strong buy,193.78,USD,Computer peripherals
KLAC,KLA Corporation,7.320457962299061,12669513,1.5526963547330117,242495080766.56412,USD,50.60392071325354,3.6677,USD,20.65993354607363,0.390308777610732,Electronic technology,Buy,185.6,USD,Semiconductors
TXN,Texas Instruments Incorporated,1.8161761809084762,4231516,0.8013514391045183,236019732293.22852,USD,39.31662939467239,6.5733,USD,20.161231354197135,2.23771815782216,Electronic technology,Buy,258.44,USD,Semiconductors
BHP,BHP Group Limited,-2.4700679538345294,1781319,0.6822579698145146,233386456498.91025,USD,23.34142185967267,3.8738,USD,9.349065657991304,2.83680293387984,Non-energy minerals,Neutral,90.42,USD,Steel
C,"Citigroup, Inc.",-0.3040393803387777,5702106,0.6312997117830499,231016590609.7313,USD,14.86630900592623,9.2639,USD,36.96699982257968,1.78804111770667,Finance,Buy,137.72,USD,Major banks
SAN,"Banco Santander, S.A. Sponsored",-0.7973421926910365,7939431,0.5817714100132858,225031227634.70245,USD,11.764242376487275,1.2691,USD,38.608562691131496,1.33136212624585,Finance,Buy,14.93,USD,Major banks
CRWD,"CrowdStrike Holdings, Inc.",-0.8698888216960527,8338989,0.6336128560772751,218200510199.09894,USD,5969.187675070028,0.0357,USD,,0,Technology services,Buy,213.1,USD,Packaged software
APH,Amphenol Corporation,0.8651151456074181,11054124,0.9656242159414111,204132750896.61414,USD,41.445952035247586,1.9973,USD,59.36328093832282,0.557450956500548,Electronic technology,Strong buy,82.78,USD,Electronic components
MRVL,"Marvell Technology, Inc.",7.0487956711200495,20837106,0.824595121086589,196031002176.55127,USD,73.61124831242385,3.0369,USD,,0.114926016376957,Electronic technology,Strong buy,223.55,USD,Semiconductors
STX,Seagate Technology Holdings PLC,6.344774044903014,2542145,0.8482218020875744,192484651010.6446,USD,61.2137811734179,13.874,USD,104.84275800974459,0.368139642629068,Electronic technology,Buy,849.28,USD,Computer peripherals
SHOP,Shopify Inc.,-0.5415409925966493,6873654,1.0982677652794488,186679188487.2556,USD,99.94847235693503,1.4516479999999998,USD,-19.900471515478106,0,Commercial services,Buy,145.09,USD,Miscellaneous commercial services
SFTBY,Softbank Group Corp,7.755474452554735,4583562,1.7543472469732322,183079802049.32806,USD,6.266581768014432,2.8269,USD,182.3229801258364,0.132804136253041,Miscellaneous,Buy,17.715,USD,Miscellaneous
DIS,Walt Disney Company (The),-1.7263904441955902,5941460,0.7567043161066926,181837402562.986,USD,21.721463635988613,4.8482,USD,-23.99034240561896,1.39977603583427,Consumer services,Strong buy,105.31,USD,Movies/Entertainment
KXIAY,KIOXIA HLDGS CORP,10.40886113589056,1722743,1.5759902546642273,181734904405.94632,USD,23.470606826801514,1.582,USD,480.3374908290536,0,Electronic technology,No rating,37.1305,USD,Computer peripherals
QCOM,QUALCOMM Incorporated,0.10084831227384228,8494480,0.8498805552073783,177216473744.49927,USD,19.52918846349706,8.6404,USD,-16.66602368735774,2.12967906507682,Electronic technology,Neutral,168.74,USD,Semiconductors
ADI,"Analog Devices, Inc.",1.6129032258064515,3485457,0.9465209474418174,175533837959.1774,USD,42.987848293539656,8.4268,USD,114.37875241681084,1.17251051893408,Electronic technology,Strong buy,362.25,USD,Semiconductors
SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored,-0.9433962264150872,1199788,0.9419202018075189,172319848657.13168,USD,15.687851971037812,1.7402,USD,42.091940883481676,1.74751088534107,Finance,Buy,27.3,USD,Major banks
BX,Blackstone Inc.,-1.1112725159790826,2777150,0.915672653332265,169076080320.9889,USD,30.542656526908498,4.4577,USD,20.325532431775855,3.7986635676932,Finance,Buy,136.15,USD,Investment managers
WDC,Western Digital Corporation,5.863170052313333,5756766,1.0486273953193432,168538463162.04266,USD,19.33642466835711,24.1751,USD,370.6348433819378,0.113232330094889,Electronic technology,Buy,467.46,USD,Computer peripherals
SCCO,Southern Copper Corporation,-0.3859068811707564,787687,0.6644968578236706,167821750591.47638,USD,29.769197357976243,6.6767,USD,55.917519032273155,1.9551793271758,Non-energy minerals,Sell,198.76,USD,Other metals/Minerals
UBS,UBS Group AG Registered,-0.5387931034482708,1145205,0.6599808265226764,167686366371.24973,USD,19.218642924843135,2.8815770300000003,USD,40.501481459897725,0,Finance,Neutral,55.38,USD,Investment managers
RYCEY,Rolls Royce Holdings plc,0.22423022783709276,806080,0.5031554578584833,166466623760.20502,USD,41.448588501957545,0.4853,USD,-45.126639529624605,0.703947631421147,Electronic technology,Strong buy,20.115,USD,Aerospace & defense
BBVA,Banco Bilbao Vizcaya Argentaria S.A.,-0.43859649122806676,743146,0.6347728228814989,164373793062.87436,USD,13.098672821696482,2.2529,USD,14.331387972595788,2.92995951417004,Finance,Neutral,29.51,USD,Major banks
IBKR,"Interactive Brokers Group, Inc.",-0.3550295857988147,2358396,0.5347196889841549,157575258011.37997,USD,36.873954932717574,2.5118,USD,31.735459170294224,0.352339967724583,Finance,Buy,92.62,USD,Investment banks/Brokers
NOW,"ServiceNow, Inc.",-2.9741053643794304,12288586,0.6837010798011695,146062836325.62936,USD,88.21582464247798,1.6013,USD,0.7740717432347375,0,Technology services,Strong buy,141.26,USD,Packaged software
BKNG,Booking Holdings Inc. Common Stock,-0.9429611028545091,5113885,1.0116000935820364,145234339157.98187,USD,21.37832636538589,9.0414,USD,57.21166385561022,0.8240660072772,Consumer services,Buy,193.29,USD,Other consumer services
MFG,"Mizuho Financial Group, Inc. Sponosred",-0.7950530035335677,3698463,1.3248736637842868,136535818028.75461,USD,15.43854825405554,0.7274,USD,53.97967823878071,1.23150176678445,Finance,Buy,11.23,USD,Major banks
NEM,Newmont Corporation,-1.7940657824120243,5634315,0.6359076930348795,134967434099.32216,USD,16.17440935436213,7.9193,USD,42.18029048995494,0.782028674384727,Non-energy minerals,Buy,128.09,USD,Precious metals
COF,Capital One Financial Corporation,-0.408163265306125,1877281,0.5908789190189933,134721262572.97957,USD,77.41116751269034,2.8368,USD,-76.17936014778739,1.45124716553288,Finance,Buy,219.6,USD,Major banks
GLW,Corning Incorporated,5.684931506849323,7889485,0.9740341712751018,132912215564.01439,USD,70.77332354829832,2.1802,USD,130.83112758073054,0.767123287671233,Electronic technology,Buy,154.3,USD,Electronic components
SNOW,Snowflake Inc.,-5.411395068308699,8406588,1.3189949810620725,116866590458.35783,USD,,-3.1745,USD,23.458070116217392,0,Technology services,Strong buy,337.18,USD,Packaged software
HOOD,"Robinhood Markets, Inc.",-2.0926876202694027,23617806,0.9515144033301811,109786939265.28705,USD,54.074041271809406,2.2582,USD,14.69930922389272,0,Finance,Buy,122.11,USD,Investment banks/Brokers
ABNB,"Airbnb, Inc.",-1.7867746288798934,3405119,0.7146809263720932,108943069809.16556,USD,41.35469939765883,4.3995,USD,6.145049218297618,0,Consumer services,Buy,181.94,USD,Hotels/Resorts/Cruise lines
VRT,"Vertiv Holdings, LLC",4.35219283562102,3295466,0.8418757158923327,108000731461.4794,USD,63.47694257138977,4.4194,USD,111.13128224727693,0.0836960160696351,Electronic technology,Strong buy,280.53,USD,Electronic production equipment
FCX,"Freeport-McMoRan, Inc.",0.23428886438809493,7262023,0.4339651534017439,104441546064.31435,USD,35.912502468891965,2.0252,USD,53.400999848507794,0.826901874310915,Non-energy minerals,Buy,72.73,USD,Other metals/Minerals
AEM,Agnico Eagle Mines Limited,-1.1586926085067375,1640107,0.4565720695281605,104305245526.90797,USD,17.989969693407968,11.380230399999999,USD,88.58597700083142,0.822153803092856,Non-energy minerals,Buy,204.73,USD,Precious metals
ING,"ING Group, N.V.",0.2426530062011224,1337929,0.8936446935293952,102891711197.67245,USD,13.833903854740287,2.6876,USD,,3.02894580749528,Finance,Buy,37.18,USD,Major banks
KKR,KKR & Co. Inc.,-1.8494897959183683,3695085,1.1733276591518056,96702287237.69005,USD,34.342822531798916,3.1369,USD,50.4364089775561,0.692419825072886,Finance,Buy,107.73,USD,Investment managers
DASH,"DoorDash, Inc.",-4.626126126126131,4137409,1.1255423703320147,91747673565.38643,USD,111.1793740810754,1.9044,USD,5.953043284744631,0,Transportation,Strong buy,211.73,USD,Air freight/Couriers
BCS,Barclays PLC,0.3717472118959161,2261895,0.7806029454116827,89561982491.00002,USD,9.963834969370433,2.7098,USD,22.921297346337045,2.18723420074349,Finance,Buy,27,USD,Investment banks/Brokers
LYG,Lloyds Banking Group Plc,-0.32786885245900943,7970707,0.7241560961443908,88070675832.56999,USD,14.212248714352501,0.4278,USD,,3.50208196721312,Finance,Buy,6.08,USD,Major banks
EMR,Emerson Electric Company,1.7375674056321053,2036733,0.9387909635816126,85242997944.20491,USD,33.393789742805325,4.5763,USD,-1.699102117970537,1.47793089674456,Electronic technology,Buy,152.82,USD,Electronic equipment/Instruments
BAM,Brookfield Asset Management Inc,0.6164247365281413,2185553,1.3207121314997343,82894543663.63245,USD,30.015451432389547,1.6857984,USD,10.931106900430727,3.87199509521062,Finance,Buy,50.6,USD,Investment managers
CVNA,Carvana Co.,1.579735802805388,3696846,0.5257174945549995,82083595024.84354,USD,34.59968457185268,2.1558,USD,169.87981972959443,0,Retail trade,Buy,74.59,USD,Specialty stores
ASX,"ASE Technology Holding Co., Ltd.",0.21373230029387738,6721326,1.2833819700242786,81537058906.61584,USD,43.886743886743886,0.8547,USD,81.04215208642236,0.800764092973551,Electronic technology,Strong buy,37.51,USD,Semiconductors
LITE,Lumentum Holdings Inc.,3.9988434804158737,3550493,0.9844426697361486,79048570355.07497,USD,,-82.2281,USD,-34971.96776929601,0,Producer manufacturing,Strong buy,881.255,USD,Electrical products
APO,"Apollo Global Management, Inc. (New)",-0.6097107591642661,1687739,0.8358718364750152,78937914491.64859,USD,50.559800287465,2.6438,USD,-50.116981132075466,1.59491412000892,Finance,Buy,133.67,USD,Investment managers
DB,Deutsche Bank AG,-0.5534167468720018,1092272,0.5748737066457382,77422621588.5142,USD,10.95142739349242,3.7739372700000002,USD,5.9743008571097045,2.81293952180028,Finance,Buy,41.33,USD,Investment banks/Brokers
GM,General Motors Company,0.6191240541160355,5340391,0.8909486461933761,77005148060.19812,USD,44.26510642590538,1.9826,USD,-68.57106623125456,0.756707177252924,Consumer durables,Buy,87.76,USD,Motor vehicles
NWG,NatWest Group plc,-0.05277044854880217,1915775,0.7356873664993985,74893389048.60501,USD,9.47,2,USD,29.483361388061635,4.85564643799472,Finance,Buy,18.94,USD,Major banks
BE,Bloom Energy Corporation,7.35300360857567,14746391,1.2257678700928651,74477130378.83052,USD,344.55647908434395,0.7339,USD,15514.893617021275,0,Electronic technology,Buy,252.87,USD,Electronic production equipment
NU,Nu Holdings Ltd.,-1.9770408163265338,48563106,0.7119447403898578,74244548010.87181,USD,20.91725639629831,0.7348,USD,56.40698169433802,0,Finance,Buy,15.37,USD,Regional banks
B,Barrick Mining Corporation,-2.207167832167828,6134674,0.5445414940655049,73653325447.3822,USD,11.818414224986691,3.7864639999999996,USD,132.02622249078243,2.06322227510709,Non-energy minerals,Buy,44.75,USD,Precious metals
WBD,"Warner Bros. Discovery, Inc. - Series A",-0.4229820232640148,11413184,0.658313565690992,70927372276.78886,USD,,-1.2732,USD,-521.58940397351,0,Consumer services,Neutral,28.25,USD,Cable/Satellite TV
WPM,Wheaton Precious Metals Corp,-1.0534380386899098,2105467,0.8316947051521995,70385714623.7613,USD,35.329563873881895,4.3866944,USD,146.00875424842607,0.482086896232956,Non-energy minerals,Strong buy,154.98,USD,Precious metals
SE,Sea Limited,-0.8930150309460575,3574629,1.0414004750444352,69271998504,USD,42.43101033425446,2.6417,USD,34.17136472141805,0,Retail trade,Strong buy,112.09,USD,Internet retail
HPE,Hewlett Packard Enterprise Company,-4.481998530492281,30085458,1.196459025149333,68858579805.9515,USD,27.11440191886537,1.9178,USD,142.2076281889366,1.02406318883174,Electronic technology,Buy,52,USD,Computer processing hardware
NBIS,Nebius Group N.V.,7.482314959882254,14751315,1.1063572324592685,61545306947.17262,USD,,-0.13,USD,-114.14427157001417,0,Technology services,Buy,226.39,USD,Packaged software
F,Ford Motor Company,1.4573213046495426,38838397,0.9023075211441925,58300808010.85912,USD,,-1.7311,USD,-320.88809493428613,4.16377515614157,Consumer durables,Buy,14.62,USD,Motor vehicles
MT,Arcelor Mittal NY Registry Shares NEW,3.5099250690153827,1611305,1.2805712285235964,56774550927.82754,USD,33.16485553028388,2.3742,USD,-27.529684686059642,0.642500328644669,Non-energy minerals,Buy,78.74,USD,Steel
TER,"Teradyne, Inc.",5.446114770075903,2223726,1.0425906205636675,55818335233.53717,USD,48.98404379381782,7.2887,USD,152.82528009989946,0.147671224785138,Electronic technology,Buy,357.03,USD,Electronic production equipment
KEYS,Keysight Technologies Inc.,1.4227264273758524,605787,0.49335387254045643,55705784124.15873,USD,45.06962714012203,7.2601,USD,131.29440249769027,0,Electronic technology,Buy,327.21,USD,Electronic equipment/Instruments
COHR,Coherent Corp.,6.599599107446763,4998327,0.9563522816712899,55197277304.361565,USD,68.54071930549814,4.1123,USD,,0,Electronic technology,Buy,281.86,USD,Semiconductors
AU,AngloGold Ashanti PLC,-2.328288707799775,2207376,0.672055039330444,55081164591.83934,USD,14.59696738534013,7.4721,USD,9056.985294117647,4.04764036894421,Non-energy minerals,Buy,109.07,USD,Precious metals
MSTR,Strategy Inc,-1.3948349675459066,26348330,0.8267631489394813,54867405639.03605,USD,,-97.2071,USD,-955.7415004313606,0,Technology services,Strong buy,142.8,USD,Internet software/Services
NOK,Nokia Corporation Sponsored,2.661207778915044,45515318,0.8304689955630421,54567900480.35515,USD,69.26795580110496,0.1448,USD,-24.544033350703483,1.22197543500512,Electronic technology,Buy,10.03,USD,Telecommunications equipment
ALAB,"Astera Labs, Inc.",9.7517855880065,6287375,2.3051672409626116,53849778738.63517,USD,152.83111767602165,2.031,USD,256.1283534981589,0,Electronic technology,Buy,310.4,USD,Semiconductors
GRMN,Garmin Ltd.,-0.054116458618960285,569462,0.634829930031388,53425933257.19405,USD,28.568040259043844,9.6972,USD,19.64318762260799,0,Electronic technology,Neutral,277.03,USD,Telecommunications equipment
XYZ,"Block, Inc.",-0.731678061652872,2456043,0.525104696260901,49721959620.731674,USD,147.33843688801852,0.5617,USD,-87.9842556741609,0,Commercial services,Buy,82.76,USD,Miscellaneous commercial services
UMC,United Microelectronics Corporation (NEW),4.582074521651562,9970561,0.9088739004133347,49461747644.53125,USD,19.84142147497134,1.0468,USD,104.81314811191547,1.54411883182276,Electronic technology,Sell,20.77,USD,Semiconductors
HUM,Humana Inc.,-1.2250319787464237,769206,0.7619510827654488,48217045172.269264,USD,38.02678182472489,10.5594,USD,-18.957127726526167,0.870805864410115,Health services,Buy,401.54,USD,Managed health care
TEAM,Atlassian Corporation,-2.6196835833162084,2469562,0.6156779149199109,47990055737.301,USD,,-0.187,USD,80.95723014256619,0,Technology services,Buy,189.58,USD,Packaged software
NTRA,"Natera, Inc.",0.1556443983275829,968029,0.8714882349461895,47305234021.182655,USD,,-1.3686,USD,28.01767211907642,0,Health technology,Buy,328.18,USD,Biotechnology
STM,STMicroelectronics N.V.,1.8720748829953213,7182215,1.0892083956193417,45642200335.55693,USD,103.96019900497514,0.5025,USD,-26.866540532673568,0.596723868954758,Electronic technology,Buy,52.24,USD,Semiconductors
RVMD,"Revolution Medicines, Inc.",-0.4030919523877244,884251,0.4302921014615219,45014935100.30426,USD,,-8.8145,USD,-95.67340777410264,0,Health technology,Strong buy,210.02,USD,Pharmaceuticals: other
GFI,Gold Fields Limited,-1.5780730897009927,4314940,0.9981890078083062,42302837911.422,USD,9.716101260633392,4.8785,USD,133.92471829297529,2.4921407807309,Non-energy minerals,Buy,47.4,USD,Precious metals
FLEX,Flex Ltd.,1.5015293354342427,4328624,1.5708389799902212,40453317275.26583,USD,42.28511854197236,2.5898,USD,13.732378902990646,0,Electronic technology,Strong buy,109.51,USD,Electronic production equipment
VIK,Viking Holdings Ltd,0.26875438186492634,2133299,0.5274576147813013,38284742456.57152,USD,28.453478347370517,3.0158,USD,62.43671226974038,0,Consumer services,Buy,85.81,USD,Hotels/Resorts/Cruise lines
EL,"Estee Lauder Companies, Inc. (The)",2.97441998810232,3878651,1.0514885364153024,37576398460.547295,USD,208.72186495176848,0.4976,USD,,1.38806266111442,Consumer non-durables,Buy,103.86,USD,Household/Personal care
KGC,Kinross Gold Corporation,-2.2792022792022757,5161438,0.5598321795705927,36619250081.365265,USD,12.030352497512093,2.5660095999999997,USD,101.79910384546176,0.491343900758098,Non-energy minerals,Strong buy,30.87,USD,Precious metals
NTAP,"NetApp, Inc.",0.1132808285683504,2247241,0.8443649157448376,36453404348.419685,USD,26.194777699364856,7.085,USD,25.18552547883242,1.12201963534362,Electronic technology,Buy,185.59,USD,Computer peripherals
UAL,"United Airlines Holdings, Inc.",2.503221056506533,2926479,0.8850594005686921,36152141605.21093,USD,10.40992952875862,10.6994,USD,7.196601576980504,0,Transportation,Strong buy,111.38,USD,Airlines
TWLO,Twilio Inc.,-3.1187624750499006,1455953,0.8880296328464464,35779955477.75275,USD,32.418668076698296,7.1866,USD,5800.328407224959,0,Technology services,Buy,232.98,USD,Packaged software
TECK,Teck Resources Ltd,0.40685847137460207,2054856,0.6335327698597075,33898966496.20577,USD,19.284714048157866,3.5831487999999996,USD,1046.4984693457184,0.52653748946925,Non-energy minerals,Neutral,69.1,USD,Other metals/Minerals
CNC,Centene Corporation,-1.4407527197882826,2776862,0.6528105655529364,33117422838.670982,USD,,-10.4394,USD,-358.10710577065714,0,Health services,Buy,67.04,USD,Managed health care
P,"Everpure, Inc.",1.3856342333163518,1920054,0.5323402730900882,33077615869.362915,USD,136.63325552656875,0.7283,USD,78.85559921414537,0,Electronic technology,Strong buy,99.51,USD,Computer peripherals
JBL,Jabil Inc.,1.5200052301255156,695965,0.7880375767894052,32543726878.549454,USD,38.759718946172946,8.0127,USD,55.77091312039503,0.104602510460251,Producer manufacturing,Buy,310.57,USD,Industrial machinery
ARES,Ares Management Corporation,-0.9680610514414955,1004644,0.536042504185281,31387677249.314228,USD,63.90497469335644,2.1931,USD,25.463386727688775,3.49067269643867,Finance,Buy,140.15,USD,Investment managers
OKTA,"Okta, Inc.",0.10562140593827418,2310215,0.4467691943288722,29824420524.60627,USD,103.06288890231377,1.6553,USD,95.17745548873954,0,Technology services,Buy,170.6,USD,Packaged software
MDB,"MongoDB, Inc.",-4.086357133567429,2053903,0.8960993926742028,29704346890.048637,USD,520.3782105560259,0.7086,USD,,0,Technology services,Buy,368.74,USD,Packaged software
ZM,"Zoom Communications, Inc.",3.250458528632563,3492027,0.8765668605616567,29566444598.705116,USD,9.385101279070843,10.7969,USD,184.39837741017806,0,Technology services,Buy,101.33,USD,Packaged software
HPQ,HP Inc.,2.2236141559661786,13135912,0.7383290354250522,29434459031.210777,USD,12.444241107171452,2.6229,USD,-4.5489282724989994,3.72502348888193,Technology services,Neutral,32.64,USD,Information technology services
ATI,ATI Inc.,2.987190769531639,1789768,0.753310323103428,28684292743.510803,USD,61.584563660283585,3.4205,USD,18.23775450240244,0,Non-energy minerals,Strong buy,210.65,USD,Other metals/Minerals
SMCI,"Super Micro Computer, Inc.",4.54185371006075,53296880,1.5381217066612303,26009259178.216534,USD,12.04221924808371,3.2876,USD,98.09592672933236,0,Electronic technology,Neutral,39.59,USD,Computer processing hardware
CRCL,"Circle Internet Group, Inc.",-1.1430785624334077,14100609,0.8168300291890583,25908033545.69602,USD,61.416706788637455,1.6616,USD,,0,Technology services,Buy,102.05,USD,Packaged software
BNTX,BioNTech SE,0.8553654743390452,585599,0.363354878196486,25843904484,USD,,-7.8474,USD,-390.40119985001877,0,Health technology,Buy,103.76,USD,Biotechnology
NVT,nVent Electric plc,2.5905713722138195,1610470,0.5312308536446744,25254693874.890656,USD,43.1034006464267,3.6199,USD,3.016591251885366,0.545729502268394,Electronic technology,Strong buy,156.03,USD,Electronic components
TSEM,Tower Semiconductor Ltd.,7.845847885137763,1720961,1.3714386215111796,25084934268.22512,USD,87.69573620478839,2.5353,USD,45.74040009197516,0,Electronic technology,Strong buy,222.335,USD,Semiconductors
GPN,Global Payments Inc.,0.8390541571319715,2504549,0.9453406037643409,24487783775.365376,USD,29.034889558232937,3.1872,USD,-44.26120564523181,1.089680723548,Finance,Buy,92.54,USD,Finance/Rental/Leasing
SN,"SharkNinja, Inc.",-1.0444609325951786,1338890,0.9175565606332332,24424310537.846355,USD,35.425605819132855,4.8942,USD,33.76882499248366,0,Consumer durables,Strong buy,173.38,USD,Electronics/Appliances
AFRM,"Affirm Holdings, Inc.",-2.624495289367433,3859765,0.4955256763339128,24412428585.5572,USD,13.105222163856032,5.5207,USD,4209.679937548791,0,Finance,Buy,72.35,USD,Finance/Rental/Leasing
IOT,Samsara Inc.,3.741935483870975,25489723,4.147981169946165,23497441046.35355,USD,261.0389610389611,0.154,USD,,0,Technology services,Buy,40.2,USD,Packaged software
