Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency,Industry
NVDA,NVIDIA Corporation,-2.0098975516582844,118922282,0.7465286718784521,5440093014413.363,USD,28.535130078628676,7.9106,USD,125.14871211043119,0.121548880013891,Electronic technology,Strong buy,225.73,USD,Semiconductors
GOOG,Alphabet Inc.,0.020876204109627858,13848674,0.8628138429176552,4122816187110.904,USD,16.848778968415445,19.9053,USD,112.01789423230548,0.253496764188363,Technology services,Strong buy,335.38,USD,Internet software/Services
GOOGL,Alphabet Inc.,-0.029545588843575575,22251921,0.929170701181208,4120737823152.7,USD,16.99848783992203,19.9053,USD,112.01789423230548,0.251137505170478,Technology services,Strong buy,338.36,USD,Internet software/Services
MSFT,Microsoft Corporation,-1.1506904142485492,18678627,0.8443306710115585,3667848244947.571,USD,27.525159650941188,17.9454,USD,31.54908515130189,0.728437062237343,Technology services,Strong buy,493.95,USD,Packaged software
AMZN,"Amazon.com, Inc.",-0.595721635526658,28779363,0.8991633527847921,2771759329726.687,USD,20.669047504142338,12.4326,USD,89.7295812477109,0,Retail trade,Strong buy,256.97,USD,Internet retail
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,2.3524748781795655,13008644,1.4802648127282898,2023597676514.0393,USD,31.685312161674485,13.855,USD,57.778461047908635,0.643862115595346,Electronic technology,Strong buy,439,USD,Semiconductors
MU,"Micron Technology, Inc.",-1.6063506428353653,26325640,1.0495758080527566,1129686738446.3787,USD,22.64461051206531,44.1721,USD,697.287150515315,0.0521350790387472,Electronic technology,Strong buy,1000.26,USD,Semiconductors
AMD,"Advanced Micro Devices, Inc.",5.898611721841827,27971113,1.782410766744758,825607906814.5189,USD,129.79340433722572,3.8965,USD,124.2848097622748,0,Electronic technology,Buy,505.74,USD,Semiconductors
ASML,ASML Holding N.V. - New York Registry Shares,2.9139065124090195,1348655,1.2259291902507063,666097424989.1814,USD,54.94380623268266,32.121,USD,23.100094276713666,0.449893695185669,Electronic technology,Strong buy,1764.85,USD,Semiconductors
INTC,Intel Corporation,9.050104384133615,138584943,1.6910420335005711,552239455912.0027,USD,,-2.1201,USD,55.48626858150668,0,Electronic technology,Buy,104.47,USD,Semiconductors
PLTR,Palantir Technologies Inc.,-2.3117076808351977,24380038,0.7868366398553199,409246765149.1723,USD,145.54311597299377,1.1701,USD,288.8667331339315,0,Technology services,Buy,170.3,USD,Packaged software
LRCX,Lam Research Corporation,4.150820737851467,8673584,1.2756376641127611,400948281259.6453,USD,55.588903731718744,5.7641,USD,38.61340900346286,0.338046481391191,Producer manufacturing,Strong buy,320.42,USD,Industrial machinery
AMAT,"Applied Materials, Inc.",3.9761606298520027,6267902,0.9740396352061967,375204913420.304,USD,40.76759907563895,11.5972,USD,38.26930872499227,0.43544236986211,Producer manufacturing,Strong buy,472.79,USD,Industrial machinery
HSBC,"HSBC Holdings, plc.",-0.7935766968536965,827885,0.7023204310403259,366903187879.6361,USD,15.224586288416077,6.9795,USD,38.945293836598175,3.48240126972272,Finance,Buy,106.26,USD,Major banks
GE,GE Aerospace,-0.6555529188419493,3060585,0.9613540741324288,347490051842.2104,USD,39.475017974799925,8.4841,USD,18.431815961025716,0.492406264831514,Electronic technology,Buy,334.91,USD,Aerospace & defense
DELL,Dell Technologies Inc.,1.8582821383599817,6567392,0.580608870731964,346104292853.2601,USD,30.990346717129206,17.2273,USD,153.33519602364635,0.44072194451864,Electronic technology,Buy,533.88,USD,Computer processing hardware
MS,Morgan Stanley,-0.6797721844570961,3452075,0.9365993278499329,339619255195.3801,USD,17.471962767848485,12.3764,USD,40.22978086972287,1.90611794966011,Finance,Buy,216.24,USD,Investment managers
GS,"Goldman Sachs Group, Inc. (The)",-0.2002676654374527,1248702,0.7238883227672976,301807904851.6896,USD,15.997265187316147,64.7942,USD,42.76881720430108,1.63680303482539,Finance,Neutral,1036.53,USD,Investment banks/Brokers
PANW,"Palo Alto Networks, Inc.",1.116245574026294,6051208,0.8428666901229357,274638708047.84198,USD,663.7384282056332,0.5077,USD,-68.27073307918255,0,Technology services,Buy,336.98,USD,Packaged software
ARM,Arm Holdings plc,3.7446943551905942,5073938,1.4356851864396096,269232116089.00003,USD,268.29093147312267,0.9748,USD,48.43916552459267,0,Electronic technology,Buy,261.53,USD,Semiconductors
