Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency,Industry
NVDA,NVIDIA Corporation,-0.03205715332479465,85683319,0.5839472270693739,5260789014704.283,USD,27.594619877126892,7.9106,USD,125.14871211043119,0.128228613299139,Electronic technology,Strong buy,218.29,USD,Semiconductors
GOOGL,Alphabet Inc.,1.7739025856885078,22421586,0.8908137492294882,4127423777688.9624,USD,17.00552114261026,19.9053,USD,112.01789423230548,0.255562236921227,Technology services,Strong buy,338.5,USD,Internet software/Services
MSFT,Microsoft Corporation,0.6477946551864182,13785145,0.6516992580393349,3680323089881.835,USD,27.618776956768865,17.9454,USD,31.54908515130189,0.739176346356917,Technology services,Strong buy,495.63,USD,Packaged software
AMZN,"Amazon.com, Inc.",1.9413235936321358,25957899,0.7798510238405564,2769709818561.971,USD,20.65376510142689,12.4326,USD,89.7295812477109,0,Retail trade,Strong buy,256.78,USD,Internet retail
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,1.217204401560647,10475920,1.1425223294694413,2006032126952.9214,USD,31.26957776975821,13.855,USD,57.778461047908635,0.64518585145901,Electronic technology,Strong buy,433.24,USD,Semiconductors
META,"Meta Platforms, Inc.",0.5664359539402181,15538517,0.8219624769210291,1650860412505.4463,USD,24.410024220553947,26.5477,USD,-3.857269092594742,0.32589465843136,Technology services,Strong buy,648.03,USD,Internet software/Services
MU,"Micron Technology, Inc.",-0.21996910201450542,21323138,0.8214806028931293,1101451851679.9436,USD,22.07864240097256,44.1721,USD,697.287150515315,0.0542249414268321,Electronic technology,Strong buy,975.26,USD,Semiconductors
AMD,"Advanced Micro Devices, Inc.",2.4880857823669524,18766372,1.082877374692882,842569319361.0026,USD,132.4598999101758,3.8965,USD,124.2848097622748,0,Electronic technology,Buy,516.13,USD,Semiconductors
ASML,ASML Holding N.V. - New York Registry Shares,0.6441748694760606,879125,0.7574925958949222,653705778011.2653,USD,52.87195292799103,32.121,USD,23.100094276713666,0.457212269545996,Electronic technology,Strong buy,1698.3,USD,Semiconductors
INTC,Intel Corporation,2.6116427432216955,85137408,0.9469664027669542,544151695297.9992,USD,,-2.1201,USD,55.48626858150668,0,Electronic technology,Buy,102.94,USD,Semiconductors
PLTR,Palantir Technologies Inc.,0.8259978294947401,15331684,0.5313881473676733,401869266405.7444,USD,142.50532594801874,1.1735,USD,289.99667663675643,0,Technology services,Buy,167.23,USD,Packaged software
LRCX,Lam Research Corporation,0.07046743397873775,8810296,1.1689744644979871,373168974245.0446,USD,51.73747853090683,5.7641,USD,38.61340900346286,0.348981577799403,Producer manufacturing,Strong buy,298.22,USD,Industrial machinery
AMAT,"Applied Materials, Inc.",0.5462434748133341,4264714,0.7131995738309144,362269290446.3664,USD,39.36208740040699,11.5972,USD,38.26930872499227,0.436113741988062,Producer manufacturing,Strong buy,456.49,USD,Industrial machinery
DELL,Dell Technologies Inc.,11.975445106786143,14343476,1.1926077006542428,360690216589.06,USD,32.931621996598224,17.2263,USD,153.3204905738066,0.455963049228218,Electronic technology,Buy,567.29,USD,Computer processing hardware
