Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency,Industry
NVDA,NVIDIA Corporation,-3.3579183654771105,130976363,1.0415922391910113,5084135843629.247,USD,26.668015068389252,7.9106,USD,125.14871211043119,0.128269732924092,Electronic technology,Strong buy,210.96,USD,Semiconductors
GOOGL,Alphabet Inc.,3.2171344165435705,35070197,1.3860936092250418,4255640096029.9688,USD,17.552611616001766,19.9053,USD,112.01789423230548,0.251107828655835,Technology services,Strong buy,349.39,USD,Internet software/Services
GOOG,Alphabet Inc.,3.058578029512592,22191935,1.373023755991481,4249102819811.782,USD,17.36773623105404,19.9053,USD,112.01789423230548,0.253390967357281,Technology services,Strong buy,345.71,USD,Internet software/Services
MSFT,Microsoft Corporation,1.9732461715392593,22938406,1.1622865887959584,3752944942719.773,USD,28.163763415694277,17.9454,USD,31.54908515130189,0.734418820491092,Technology services,Strong buy,505.41,USD,Packaged software
AMZN,"Amazon.com, Inc.",-1.2617805125009662,33101806,1.0227557315788665,2734762153445.0063,USD,20.39315991827936,12.4326,USD,89.7295812477109,0,Retail trade,Strong buy,253.54,USD,Internet retail
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,-3.515372541778233,14231136,1.588661980402342,1972718108936.418,USD,30.17033561891014,13.855,USD,57.778461047908635,0.637427061213184,Electronic technology,Strong buy,418.01,USD,Semiconductors
META,"Meta Platforms, Inc.",2.7112942302053993,19228809,1.0080885320750936,1695620159427.385,USD,25.071851798837567,26.5477,USD,-3.857269092594742,0.32405907133929,Technology services,Strong buy,665.6,USD,Internet software/Services
MU,"Micron Technology, Inc.",-5.252958185509507,26835032,1.0628964238000285,1043593085601.6254,USD,20.918860547721298,44.1721,USD,697.287150515315,0.0543444824969752,Electronic technology,Strong buy,924.03,USD,Semiconductors
AMD,"Advanced Micro Devices, Inc.",-4.40199174626547,24467127,1.391094797123235,805479485323.8124,USD,126.62902604901835,3.8965,USD,124.2848097622748,0,Electronic technology,Buy,493.41,USD,Semiconductors
ASML,ASML Holding N.V. - New York Registry Shares,-7.25136901607489,1943576,1.696046642382195,654856664984.1736,USD,49.03801251517699,32.121,USD,23.100094276713666,0.454285874109404,Electronic technology,Strong buy,1575.15,USD,Semiconductors
INTC,Intel Corporation,-5.585778123178551,94347922,1.0654912421856426,513756602692.794,USD,,-2.1201,USD,55.48626858150668,0,Electronic technology,Buy,97.19,USD,Semiconductors
PLTR,Palantir Technologies Inc.,3.6357112958201356,28820886,1.095052090467307,416480060546.1018,USD,147.68640818065617,1.1735,USD,289.99667663675643,0,Technology services,Buy,173.31,USD,Packaged software
HSBC,"HSBC Holdings, plc.",-1.2915479582146243,1636695,1.42569946334233,360197509281.792,USD,14.892184253886382,6.9795,USD,38.945293836598175,3.54226020892688,Finance,Buy,103.94,USD,Major banks
LRCX,Lam Research Corporation,-8.292535711890556,13120782,1.6783978447176722,342223793976.422,USD,47.44712964729967,5.7641,USD,38.61340900346286,0.3487358326068,Producer manufacturing,Strong buy,273.49,USD,Industrial machinery
DELL,Dell Technologies Inc.,-5.818893334978581,9108433,0.7001571173814028,339702027732.6175,USD,31.01536603913783,17.2263,USD,153.3204905738066,0.407199139769783,Electronic technology,Buy,534.28,USD,Computer processing hardware
AMAT,"Applied Materials, Inc.",-7.071348769962109,7889473,1.3643993636459022,336651950989.1253,USD,36.578656917186905,11.5972,USD,38.26930872499227,0.433744441280203,Producer manufacturing,Strong buy,424.21,USD,Industrial machinery
MS,Morgan Stanley,-3.6383991043940584,7225169,1.8993862010887947,324447590375.38574,USD,16.69144500824149,12.3764,USD,40.22978086972287,1.9358149081071,Finance,Buy,206.58,USD,Investment managers
PANW,"Palo Alto Networks, Inc.",13.092393769847277,11838454,1.7010986063237357,305882914353.2968,USD,729.639024390244,0.5125,USD,-67.97075182801076,0,Technology services,Buy,373.94,USD,Packaged software
GS,"Goldman Sachs Group, Inc. (The)",-3.957519578693719,2196669,1.4130357101619395,287808402387.0591,USD,15.255223461359195,64.7942,USD,42.76881720430108,1.65180046250413,Finance,Neutral,988.45,USD,Investment banks/Brokers
ARM,Arm Holdings plc,-9.736017221194164,6462065,1.7959236500560962,282795729126,USD,245.18875666803447,0.9748,USD,48.43916552459267,0,Electronic technology,Buy,239.01,USD,Semiconductors
SFTBY,Softbank Group Corp,-15.133949191685907,6705327,1.706300052367243,242929857142.70264,USD,6.499522445081184,2.8269,USD,182.3229801258364,0.100845265588915,Miscellaneous,Buy,18.3735,USD,Miscellaneous
CRWD,"CrowdStrike Holdings, Inc.",13.853148882654533,25173421,2.349478158669731,241013783030.1717,USD,6593.277310924369,0.0357,USD,,0,Technology services,Buy,235.38,USD,Packaged software
TXN,Texas Instruments Incorporated,-1.9650167473018134,6674340,1.2822165963475018,240567714969.04224,USD,40.074239727381986,6.5733,USD,20.161231354197135,2.11388165240045,Electronic technology,Buy,263.42,USD,Semiconductors
SAP,SAP SE,5.7763132389997995,2022829,0.8752799358494948,239992549403.7084,USD,27.441416071608167,7.9544,USD,31.651770936775904,1.03465254894359,Technology services,Strong buy,218.28,USD,Packaged software
ANET,"Arista Networks, Inc.",-5.9020993035723235,5651334,1.3771566055454194,236870589540.18967,USD,59.2124345797339,3.1718,USD,24.726700747149035,0,Electronic technology,Strong buy,187.81,USD,Computer peripherals
C,"Citigroup, Inc.",-1.9017432646592614,15372998,1.9165428688856487,228433351060.9493,USD,14.700072323751337,9.2639,USD,36.96699982257968,1.77928252413197,Finance,Buy,136.18,USD,Major banks
SNDK,Sandisk Corporation,-4.981173661493244,9529287,0.8192425536757075,227240830264.62888,USD,21.291432475405628,72.8927,USD,,0,Electronic technology,Buy,1551.99,USD,Computer peripherals
SAN,"Banco Santander, S.A. Sponsored",-1.4705882352941217,8979521,1.16834280975386,224193405886.41357,USD,11.614529981876922,1.2691,USD,38.608562691131496,1.33937165775401,Finance,Buy,14.74,USD,Major banks
BHP,BHP Group Limited,-2.7653471026965124,3065649,1.3413700193803342,221800485168.64,USD,21.875161340286024,3.8738,USD,9.349065657991304,3.01778542742398,Non-energy minerals,Neutral,84.74,USD,Steel
APH,Amphenol Corporation,-6.398951382268833,12095187,1.0662633975974163,193701706845.66077,USD,39.328092925449354,1.9973,USD,59.36328093832282,0.545162059103908,Electronic technology,Strong buy,78.55,USD,Electronic components
KXIAY,KIOXIA HLDGS CORP,-7.10860366713682,1443893,0.8596182274001587,192821039440.91583,USD,20.81542351453856,1.582,USD,480.3374908290536,0,Electronic technology,No rating,32.93,USD,Computer peripherals
MRVL,"Marvell Technology, Inc.",-7.3189326556543834,21692641,0.9641158737570147,191883268302.42743,USD,72.05373901017484,3.0369,USD,,0.101651842439644,Electronic technology,Strong buy,218.82,USD,Semiconductors
QCOM,QUALCOMM Incorporated,-1.0001648623399424,13638318,1.1312463135609283,189199635961.3519,USD,20.84972917920467,8.6404,USD,-16.66602368735774,1.9728526680222,Electronic technology,Neutral,180.15,USD,Semiconductors
DIS,Walt Disney Company (The),1.9145940872829714,7047236,1.000281650689641,187500934716.762,USD,22.398003382698732,4.8482,USD,-23.99034240561896,1.407789770061,Consumer services,Strong buy,108.59,USD,Movies/Entertainment
STX,Seagate Technology Holdings PLC,-2.9656576363877285,4126814,1.2629506863009519,183176443997.34692,USD,58.06184229494017,13.874,USD,104.84275800974459,0.354144331883831,Electronic technology,Buy,805.55,USD,Computer peripherals
ADI,"Analog Devices, Inc.",-4.6887375257405335,4721125,1.4886637989599685,174937821879.49075,USD,42.84188541320548,8.4268,USD,114.37875241681084,1.10354295369344,Electronic technology,Strong buy,361.02,USD,Semiconductors
SHOP,Shopify Inc.,3.9599347775448366,7569455,0.8272614582404031,172268772654.86816,USD,92.23310334185697,1.4516479999999998,USD,-19.900471515478106,0,Commercial services,Buy,133.89,USD,Miscellaneous commercial services
SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored,-0.1832172957127179,1489588,0.9783791314043513,170455409340.4209,USD,15.65337317549707,1.7402,USD,42.091940883481676,1.76480029314767,Finance,Buy,27.24,USD,Major banks
BBVA,Banco Bilbao Vizcaya Argentaria S.A.,-1.5228426395939063,1144234,1.1036151146218098,164029707451.6984,USD,12.916685161347598,2.2529,USD,14.331387972595788,2.93888324873097,Finance,Neutral,29.1,USD,Major banks
RYCEY,Rolls Royce Holdings plc,-3.2569974554707235,3254098,2.1850113007476084,163438034291.376,USD,39.17164640428601,0.4853,USD,-45.126639529624605,0.715786799451247,Electronic technology,Strong buy,19.01,USD,Aerospace & defense
UBS,UBS Group AG Registered,-2.913155001832166,1975642,1.1120824206901023,160449636849.36627,USD,18.389235980271536,2.8815770300000003,USD,40.501481459897725,1.92228456014363,Finance,Neutral,52.99,USD,Investment managers
SCCO,Southern Copper Corporation,-2.6564680345237552,888300,0.7249355551632866,159032138331.5086,USD,28.210043883954647,6.6767,USD,55.917519032273155,2.01621236834662,Non-energy minerals,Sell,188.35,USD,Other metals/Minerals
