Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency,Industry
NVDA,NVIDIA Corporation,0.8153838902766737,96561398,0.8338844431465604,5154989852905,USD,27.039668293176245,7.9106,USD,125.14871211043119,0.130902290790089,Electronic technology,Strong buy,213.9,USD,Semiconductors
GOOG,Alphabet Inc.,-0.6062736139179314,12869699,0.8227122185779748,4173900216309,USD,17.04872571626652,19.9053,USD,112.01789423230548,0.250471475719,Technology services,Strong buy,339.36,USD,Internet software/Services
GOOGL,Alphabet Inc.,-0.6116296596904208,18928830,0.7511187033240704,4173900216309,USD,17.225060662235684,19.9053,USD,112.01789423230548,0.247907370140286,Technology services,Strong buy,342.87,USD,Internet software/Services
MSFT,Microsoft Corporation,-1.3719021564209835,16670238,0.9168223001174566,3640744823956,USD,27.3217649091132,17.9454,USD,31.54908515130189,0.742402610646543,Technology services,Strong buy,490.3,USD,Packaged software
AMZN,"Amazon.com, Inc.",-0.990258433298438,33488244,1.1213378008961339,2653001975309,USD,19.78347248363174,12.4326,USD,89.7295812477109,0,Retail trade,Strong buy,245.96,USD,Internet retail
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,0.9595166163142059,10490148,1.0736691204385103,1935632487152.125,USD,30.149404547094914,13.855,USD,57.778461047908635,0.661110073733602,Electronic technology,Strong buy,417.72,USD,Semiconductors
META,"Meta Platforms, Inc.",0.458044879446159,17217560,0.8602098749900952,1715261348843,USD,25.362272437913642,26.5477,USD,-3.857269092594742,0.311891996257296,Technology services,Strong buy,673.31,USD,Internet software/Services
MU,"Micron Technology, Inc.",-0.11319534282018845,20211124,0.7938625184512691,1046439131892,USD,20.97591013331945,44.1721,USD,697.287150515315,0.0572014462252442,Electronic technology,Strong buy,926.55,USD,Semiconductors
AMD,"Advanced Micro Devices, Inc.",1.646172153907182,22317455,1.174645466361481,836643424988,USD,131.52829462337996,3.8965,USD,124.2848097622748,0,Electronic technology,Buy,512.5,USD,Semiconductors
ASML,ASML Holding N.V. - New York Registry Shares,0.6748435418604072,1338719,1.067512701203393,611336926265.4298,USD,49.88076336353164,32.121,USD,23.100094276713666,0.481527942479809,Electronic technology,Strong buy,1602.22,USD,Semiconductors
INTC,Intel Corporation,4.025118385834874,119916591,1.3097109894850525,534160973748.99994,USD,,-2.1201,USD,55.48626858150668,0,Electronic technology,Buy,101.05,USD,Semiconductors
PLTR,Palantir Technologies Inc.,1.0315252665739458,20983658,0.7698160790851727,418949172739.99994,USD,148.5641244141457,1.1735,USD,289.99667663675643,0,Technology services,Buy,174.34,USD,Packaged software
DELL,Dell Technologies Inc.,3.6393074644440713,13108085,0.9536290617692413,358146955059,USD,32.69941891178024,17.2263,USD,153.3204905738066,0.410090717037405,Electronic technology,Buy,563.29,USD,Computer processing hardware
LRCX,Lam Research Corporation,-0.605456492044149,7603152,0.8863047599465975,336893178672,USD,46.70807237903576,5.7641,USD,38.61340900346286,0.386286817962337,Producer manufacturing,Strong buy,269.23,USD,Industrial machinery
AMAT,"Applied Materials, Inc.",-1.37474179072584,5510796,0.936916780229457,329644496916.99994,USD,35.81726623667782,11.5972,USD,38.26930872499227,0.476671963021811,Producer manufacturing,Strong buy,415.38,USD,Industrial machinery
MS,Morgan Stanley,-1.8712429707194171,7001649,1.5382771407807694,317914024367.99994,USD,16.355321418182992,12.3764,USD,40.22978086972287,2.05019266870863,Finance,Buy,202.42,USD,Investment managers
PANW,"Palo Alto Networks, Inc.",0.14929750193287006,5251481,0.7149530490002278,307281695007,USD,732.9756097560976,0.5125,USD,-67.97075182801076,0,Technology services,Buy,375.65,USD,Packaged software
ARM,Arm Holdings plc,0.889054294338989,2759404,0.6863416322828927,260570635437,USD,250.28723840787853,0.9748,USD,48.43916552459267,0,Electronic technology,Buy,243.98,USD,Semiconductors
SAP,SAP SE,-1.1452682338758284,1322340,0.6110845056291968,249680298386.23438,USD,26.80277582218646,7.9544,USD,31.651770936775904,1.00145825515947,Technology services,Strong buy,213.2,USD,Packaged software
ANET,"Arista Networks, Inc.",2.4372536818087474,4475467,1.0279933460971902,249142300868,USD,62.28009332240368,3.1718,USD,24.726700747149035,0,Electronic technology,Strong buy,197.54,USD,Computer peripherals
CRWD,"CrowdStrike Holdings, Inc.",-0.46599859788032305,11757981,1.003227979549679,247136907440.99997,USD,6760.78431372549,0.0357,USD,,0,Technology services,Buy,241.36,USD,Packaged software
TXN,Texas Instruments Incorporated,-1.047716660972551,3648070,0.7055378728576684,238056285181.99997,USD,39.655880607913836,6.5733,USD,20.161231354197135,2.17900026853877,Electronic technology,Buy,260.67,USD,Semiconductors
SFTBY,Softbank Group Corp,-1.791936286709803,3294048,0.7256090373707219,225786482048.86264,USD,6.979376702394849,2.8269,USD,182.3229801258364,0.110658895083629,Miscellaneous,Buy,19.73,USD,Miscellaneous
C,"Citigroup, Inc.",-2.3646911948299913,9455548,1.091885746339121,223015213130,USD,14.351407074774123,9.2639,USD,36.96699982257968,1.85784129371944,Finance,Buy,132.95,USD,Major banks
SNDK,Sandisk Corporation,-0.7136348345248992,7418796,0.7326549322384678,222552492789,USD,20.85215666315008,72.8927,USD,,0,Electronic technology,Buy,1519.97,USD,Computer peripherals
BHP,BHP Group Limited,-0.7431874483897551,1945868,0.8176335433006878,216852770294.4061,USD,21.720274665702927,3.8738,USD,9.349065657991304,3.12574280960304,Non-energy minerals,Neutral,84.14,USD,Steel
SAN,"Banco Santander, S.A. Sponsored",-1.7064846416382253,6214352,0.8139330849995705,211515115323.07483,USD,11.346623591521553,1.2691,USD,38.608562691131496,1.39145833333333,Finance,Strong buy,14.4,USD,Major banks
MRVL,"Marvell Technology, Inc.",3.612990527740198,16377014,0.8743283228122262,201432710496.00003,USD,75.63963252000396,3.0369,USD,,0.104479561185843,Electronic technology,Strong buy,229.71,USD,Semiconductors
QCOM,QUALCOMM Incorporated,-1.5761448349307816,9718487,0.7610219575781824,194125227775.00003,USD,21.39252812369798,8.6404,USD,-16.66602368735774,1.94222029863666,Electronic technology,Neutral,184.84,USD,Semiconductors
APH,Amphenol Corporation,-0.5022537025112692,8899817,0.7752379685427739,190520618857,USD,38.68222099834777,1.9973,USD,59.36328093832282,0.59215635516438,Electronic technology,Strong buy,77.26,USD,Electronic components
DIS,Walt Disney Company (The),0.5356136064649438,10108543,1.3972575662692386,184738226635,USD,22.06798399405965,4.8482,USD,-23.99034240561896,1.40200018693336,Consumer services,Strong buy,106.99,USD,Movies/Entertainment
KXIAY,KIOXIA HLDGS CORP,-0.9770992366412222,1069674,0.5857617820821207,178158969771.42963,USD,20.49936788874842,1.582,USD,480.3374908290536,0,Electronic technology,No rating,32.43,USD,Computer peripherals
STX,Seagate Technology Holdings PLC,1.4731604928674162,3401069,0.9825156778992421,178089664231,USD,56.44947383595213,13.874,USD,104.84275800974459,0.375392630046733,Electronic technology,Buy,783.18,USD,Computer peripherals
ADI,"Analog Devices, Inc.",0.19095060190950536,3063604,0.935685281524201,175432083352.99997,USD,42.962927801775294,8.4268,USD,114.37875241681084,1.15456855596067,Electronic technology,Strong buy,362.04,USD,Semiconductors
SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored,-1.8297236743838758,1216676,0.7928589028042162,165900810909.35367,USD,15.107458912768648,1.7402,USD,42.091940883481676,1.83192848992012,Finance,Buy,26.29,USD,Major banks
SCCO,Southern Copper Corporation,0.2587253814879398,942551,0.8372093064569192,160323983783,USD,28.439199005496725,6.6767,USD,55.917519032273155,2.05454461318405,Non-energy minerals,Sell,189.88,USD,Other metals/Minerals
RYCEY,Rolls Royce Holdings plc,1.1721802552748186,3734845,2.096045991683038,160010538924.47357,USD,40.016484648670925,0.4853,USD,-45.126639529624605,0.726866518755482,Electronic technology,Strong buy,19.42,USD,Aerospace & defense
BBVA,Banco Bilbao Vizcaya Argentaria S.A.,-2.5320846340617305,1857102,1.8733550410002138,157741156949.27478,USD,12.472812819033248,2.2529,USD,14.331387972595788,3.09053380782918,Finance,Neutral,28.1,USD,Major banks
UBS,UBS Group AG Registered,-2.078073412313071,2553068,1.537400871748714,152667864039.59723,USD,17.497363240711284,2.8815770300000003,USD,40.501481459897725,1.76152777777778,Finance,Neutral,50.42,USD,Investment managers
WDC,Western Digital Corporation,1.216137489076621,7624185,1.3579298498421435,150334749551,USD,17.247912107912686,24.1751,USD,370.6348433819378,0.119912703551814,Electronic technology,Buy,416.97,USD,Computer peripherals
IBKR,"Interactive Brokers Group, Inc.",-2.3198198198198225,3807654,1.0440126411587838,147571559921.25995,USD,34.53300422008122,2.5118,USD,31.735459170294224,0.377565137191607,Finance,Buy,86.74,USD,Investment banks/Brokers
NOW,"ServiceNow, Inc.",-1.4658210007047303,9855570,0.6829510429618441,144573887573,USD,87.31655529881971,1.6013,USD,0.7740717432347375,0,Technology services,Strong buy,139.82,USD,Packaged software
MFG,"Mizuho Financial Group, Inc. Sponosred",-1.9730941704035931,3627788,0.9869276138243231,133621329727.76561,USD,15.026120428924937,0.7274,USD,53.97967823878071,1.27544373284538,Finance,Buy,10.93,USD,Major banks
NEM,Newmont Corporation,-1.9566792817457064,6360337,0.9225922441460526,128297571919,USD,15.375096283762455,7.9193,USD,42.18029048995494,0.837713534822602,Non-energy minerals,Buy,121.76,USD,Precious metals
SNOW,Snowflake Inc.,2.489318224038629,3762371,0.5207595435589912,116783848083.00002,USD,,-3.1745,USD,23.458070116217392,0,Technology services,Strong buy,331.02,USD,Packaged software
ING,"ING Group, N.V.",-1.1419249592169702,2354014,1.4287677333966828,102047242607.27228,USD,13.528798928411964,2.6876,USD,,3.08975797579758,Finance,Buy,36.36,USD,Major banks
ABNB,"Airbnb, Inc.",-0.4812262357414462,3170097,0.7906564033128138,100302588905,USD,38.07478122513922,4.3995,USD,6.145049218297618,0,Consumer services,Buy,167.51,USD,Hotels/Resorts/Cruise lines
AEM,Agnico Eagle Mines Limited,-0.6754697816150393,1819760,0.839392284709228,99638427450.46521,USD,17.18506507565963,11.380230399999999,USD,88.58597700083142,0.859628328943517,Non-energy minerals,Buy,195.57,USD,Precious metals
FCX,"Freeport-McMoRan, Inc.",-0.2017872585759593,10937387,0.8974849115329213,99429845590,USD,34.18921587991309,2.0252,USD,53.400999848507794,0.866551126516464,Non-energy minerals,Buy,69.24,USD,Other metals/Minerals
HOOD,"Robinhood Markets, Inc.",-5.459483929379811,33626797,1.3910181728332582,93882170869,USD,46.24036843503676,2.2582,USD,14.69930922389272,0,Finance,Buy,104.42,USD,Investment banks/Brokers
LYG,Lloyds Banking Group Plc,0,18038216,1.242358156258436,86005236564.6144,USD,13.744740532959327,0.4278,USD,,3.63311224489796,Finance,Buy,5.88,USD,Major banks
DASH,"DoorDash, Inc.",-0.7565822657116917,3041865,0.885007027564421,85260812104,USD,103.31863053980256,1.9044,USD,5.953043284744631,0,Transportation,Buy,196.76,USD,Air freight/Couriers
BCS,Barclays PLC,-0.3930817610062949,4605839,1.04279659113591,85169231432.2432,USD,9.351243634216548,2.7098,USD,22.921297346337045,2.3218863456985,Finance,Buy,25.34,USD,Investment banks/Brokers
ASX,"ASE Technology Holding Co., Ltd.",2.2359913793103594,6074421,0.9499765657931017,83440701166.74219,USD,44.401544401544406,0.8547,USD,81.04215208642236,0.789791831357049,Electronic technology,Strong buy,37.95,USD,Semiconductors
LITE,Lumentum Holdings Inc.,9.588061409363966,6482650,1.5959467116552795,82470179384,USD,,-82.2281,USD,-34971.96776929601,0,Producer manufacturing,Strong buy,919.4,USD,Electrical products
EMR,Emerson Electric Company,-0.7959183673469303,2516003,1.1551640592710481,81343973241,USD,31.866354915543127,4.5763,USD,-1.699102117970537,1.52232051018309,Electronic technology,Buy,145.83,USD,Electronic equipment/Instruments
BE,Bloom Energy Corporation,4.114131482552519,13495644,0.9473086980668054,79528270124.00002,USD,367.9247853931053,0.7339,USD,15514.893617021275,0,Electronic technology,Buy,270.02,USD,Electronic production equipment
NWG,NatWest Group plc,0,4218509,1.3960982603530883,74546326803.6608,USD,9.31,2,USD,29.483361388061635,4.94655209452202,Finance,Buy,18.62,USD,Major banks
GM,General Motors Company,-1.265081410331496,6428913,1.0488198219155214,73960390949,USD,42.51487945122567,1.9826,USD,-68.57106623125456,0.783011033337288,Consumer durables,Buy,84.29,USD,Motor vehicles
DB,Deutsche Bank AG,-0.8529335745670672,1891585,1.0449509812126652,71858986744.80643,USD,10.164450878644306,3.7739372700000002,USD,5.9743008571097045,2.97353553374963,Finance,Buy,38.36,USD,Investment banks/Brokers
