Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency,Industry
NVDA,NVIDIA Corporation,2.5432445067788674,92390535,0.8070619921097172,5286093849164.015,USD,27.72735317169368,7.9106,USD,125.14871211043119,0.130902290790089,Electronic technology,Strong buy,219.34,USD,Semiconductors
GOOGL,Alphabet Inc.,1.3007845539125555,19044041,0.76916199988604,4228193665618.47,USD,17.449121590732116,19.9053,USD,112.01789423230548,0.247907370140286,Technology services,Strong buy,347.33,USD,Internet software/Services
GOOG,Alphabet Inc.,1.272984441301271,13962739,0.9126781191184529,4227033316658.0537,USD,17.265753342074724,19.9053,USD,112.01789423230548,0.250471475719,Technology services,Strong buy,343.68,USD,Internet software/Services
MSFT,Microsoft Corporation,1.5194778706914112,17643452,0.9942795199157854,3696065135884.3545,USD,27.736913080789506,17.9454,USD,31.54908515130189,0.742402610646543,Technology services,Strong buy,497.75,USD,Packaged software
AMZN,"Amazon.com, Inc.",2.126362010082936,29628805,0.9862012957969498,2709414401438.72,USD,20.204140726798897,12.4326,USD,89.7295812477109,0,Retail trade,Strong buy,251.19,USD,Internet retail
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,3.0020109164033233,12393249,1.2360439326248007,1935632487152.125,USD,31.0544929628293,13.855,USD,57.778461047908635,0.661110073733602,Electronic technology,Strong buy,430.26,USD,Semiconductors
META,"Meta Platforms, Inc.",1.3366799839598404,15695948,0.7786615392838281,1738188903965.584,USD,25.701284857068597,26.5477,USD,-3.857269092594742,0.311891996257296,Technology services,Strong buy,682.31,USD,Internet software/Services
MU,"Micron Technology, Inc.",5.49889374561546,21791160,0.882086307797521,1103981707867.282,USD,22.12935314372647,44.1721,USD,697.287150515315,0.0572014462252442,Electronic technology,Strong buy,977.5,USD,Semiconductors
AMD,"Advanced Micro Devices, Inc.",6.359024390243909,28186147,1.4373516473531558,889845784442.3589,USD,139.89221095855254,3.8965,USD,124.2848097622748,0,Electronic technology,Buy,545.09,USD,Semiconductors
ASML,ASML Holding N.V. - New York Registry Shares,1.713247868582345,1391842,1.0811653520186957,611336926265.4298,USD,50.73534447868995,32.121,USD,23.100094276713666,0.481527942479809,Electronic technology,Strong buy,1629.67,USD,Semiconductors
