Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency,Industry
NVDA,NVIDIA Corporation,1.3358256587945685,186950072,1.7280401575561708,5356706910564.041,USD,28.09774226986575,7.9106,USD,125.14871211043119,0.127655694355795,Electronic technology,Strong buy,222.27,USD,Semiconductors
GOOGL,Alphabet Inc.,0.6362824979126585,47323833,1.937510552425783,4254572157914.877,USD,17.560147297453444,19.9053,USD,112.01789423230548,0.244724037658711,Technology services,Strong buy,349.54,USD,Internet software/Services
GOOG,Alphabet Inc.,0.2124068901303591,33854314,2.1798423577920527,4236652086599.3726,USD,17.302426991806204,19.9053,USD,112.01789423230548,0.247323091247672,Technology services,Strong buy,344.41,USD,Internet software/Services
MSFT,Microsoft Corporation,-0.7975891511803168,39087104,2.172046581175714,3666585812626.6816,USD,27.515686471184814,17.9454,USD,31.54908515130189,0.731290808638875,Technology services,Strong buy,493.78,USD,Packaged software
AMZN,"Amazon.com, Inc.",1.0032246506628488,51948453,1.6929094565042901,2736595866500.0596,USD,20.406833647024758,12.4326,USD,89.7295812477109,0,Retail trade,Strong buy,253.71,USD,Internet retail
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,1.0249616510946928,12813379,1.2041282343132462,1971035746488.4397,USD,31.372789606640204,13.855,USD,57.778461047908635,0.641841909543067,Electronic technology,Strong buy,434.67,USD,Semiconductors
META,"Meta Platforms, Inc.",-2.427049288446593,27337668,1.3604126448691225,1696002202621.4214,USD,25.07750200582348,26.5477,USD,-3.857269092594742,0.307777989476924,Technology services,Strong buy,665.75,USD,Internet software/Services
MU,"Micron Technology, Inc.",3.918158567774931,35111584,1.417552810170453,1147237476855.3552,USD,22.99641628992056,44.1721,USD,697.287150515315,0.0542199488491049,Electronic technology,Strong buy,1015.8,USD,Semiconductors
AMD,"Advanced Micro Devices, Inc.",2.7023060412042077,31285465,1.4714024474441765,913892185858.0952,USD,143.67252662645964,3.8965,USD,124.2848097622748,0,Electronic technology,Buy,559.82,USD,Semiconductors
ASML,ASML Holding N.V. - New York Registry Shares,3.083446341897439,2477688,1.849565413101096,621640562155.217,USD,52.29974160206718,32.121,USD,23.100094276713666,0.473417133530101,Electronic technology,Strong buy,1679.92,USD,Semiconductors
INTC,Intel Corporation,-0.18382352941176733,172328058,1.64165896578818,574071070008.5956,USD,,-2.1201,USD,55.48626858150668,0,Electronic technology,Buy,108.6,USD,Semiconductors
PLTR,Palantir Technologies Inc.,0.7943713118474678,39094671,1.5458648068936052,426879287188.9341,USD,151.3762249680443,1.1735,USD,289.99667663675643,0,Technology services,Buy,177.64,USD,Packaged software
DELL,Dell Technologies Inc.,-3.4568320870156413,11682833,1.0893564613272648,361179810875.90735,USD,32.976321090425685,17.2263,USD,153.3204905738066,0.392590074779062,Electronic technology,Buy,568.06,USD,Computer processing hardware
LRCX,Lam Research Corporation,6.980802792321121,19462748,2.125602416990757,360518102984.274,USD,49.98351867594248,5.7641,USD,38.61340900346286,0.386172069362445,Producer manufacturing,Strong buy,288.11,USD,Industrial machinery
AMAT,"Applied Materials, Inc.",6.509343555342602,14052986,2.4403918544212857,352809596342.73474,USD,38.33425309557479,11.5972,USD,38.26930872499227,0.474365117393388,Producer manufacturing,Strong buy,444.57,USD,Industrial machinery
MS,Morgan Stanley,-0.4618710691823888,7414569,1.4774440656778103,318165324527.8807,USD,16.36824924856986,12.3764,USD,40.22978086972287,2.03911163522013,Finance,Buy,202.58,USD,Investment managers
PANW,"Palo Alto Networks, Inc.",-3.060843598357601,13752895,2.200431196928678,297408438064.125,USD,709.4243902439025,0.5125,USD,-67.97075182801076,0,Technology services,Buy,363.58,USD,Packaged software
ARM,Arm Holdings plc,4.043035107587783,6876443,1.5741368037746266,282913193481,USD,282.7349199835864,0.9748,USD,48.43916552459267,0,Electronic technology,Buy,275.61,USD,Semiconductors
SNDK,Sandisk Corporation,10.990528930431918,17337070,1.7967980973687765,262356506333.9463,USD,24.58161105295866,72.8927,USD,,0,Electronic technology,Buy,1791.82,USD,Computer peripherals
SAP,SAP SE,-1.9704202939249311,1889929,0.9447345516101381,251914809617.1279,USD,26.331338630192093,7.9544,USD,31.651770936775904,0.999302162313957,Technology services,Strong buy,209.45,USD,Packaged software
ANET,"Arista Networks, Inc.",-0.07016488748559854,10648712,2.293337788761574,251475573324.76773,USD,62.863358345418995,3.1718,USD,24.726700747149035,0,Electronic technology,Strong buy,199.39,USD,Computer peripherals
TXN,Texas Instruments Incorporated,3.292786859843496,18819836,3.706203279301657,243508375390.1331,USD,40.56410022363197,6.5733,USD,20.161231354197135,2.20035639575424,Electronic technology,Buy,266.64,USD,Semiconductors
CRWD,"CrowdStrike Holdings, Inc.",-3.2763532763532695,18697856,1.6234480564034897,243338105632.04276,USD,6656.862745098039,0.0357,USD,,0,Technology services,Buy,237.65,USD,Packaged software
KLAC,KLA Corporation,4.7402059415315545,20011072,2.0885569595997033,231245703954.36578,USD,48.25640046895875,3.6677,USD,20.65993354607363,0.399455556870636,Electronic technology,Buy,176.99,USD,Semiconductors
SFTBY,Softbank Group Corp,-3.687943262411336,2668518,0.5570352905203858,228551521739.45053,USD,7.205773108351905,2.8269,USD,182.3229801258364,0.103229314420804,Miscellaneous,Buy,20.37,USD,Miscellaneous
C,"Citigroup, Inc.",-0.7008289374528851,20208050,2.1700050187684887,221035837780.03214,USD,14.22403091570505,9.2639,USD,36.96699982257968,1.8613413715147,Finance,Buy,131.77,USD,Major banks
BHP,BHP Group Limited,-0.3350277264325396,2024557,0.8850507701888846,217556032819.16754,USD,22.270122360472918,3.8738,USD,9.349065657991304,3.03835489833641,Non-energy minerals,Neutral,86.27,USD,Steel
SAN,"Banco Santander, S.A. Sponsored",-3.441295546558703,5252685,0.7293986067914973,216145763794.51398,USD,11.275707194074542,1.2691,USD,38.608562691131496,1.35202429149798,Finance,Strong buy,14.31,USD,Major banks
MRVL,"Marvell Technology, Inc.",1.4495763415849847,23027510,1.2304482643844805,214182826076.38,USD,80.42740952945438,3.0369,USD,,0.099684332945672,Electronic technology,Strong buy,244.25,USD,Semiconductors
STX,Seagate Technology Holdings PLC,6.930384869199253,6955065,1.8188654941008506,195282853374.22275,USD,61.899235980971596,13.874,USD,104.84275800974459,0.366067759889433,Electronic technology,Buy,858.79,USD,Computer peripherals
APH,Amphenol Corporation,-1.0463187444175162,29742911,2.873107966094574,191235750732.50415,USD,38.8274170129675,1.9973,USD,59.36328093832282,0.583769299476841,Electronic technology,Strong buy,77.55,USD,Electronic components
QCOM,QUALCOMM Incorporated,-5.8237507286312375,54325986,4.075164365480182,186647572988.31052,USD,20.568492199435212,8.6404,USD,-16.66602368735774,1.9023899104446,Electronic technology,Neutral,177.72,USD,Semiconductors
ADI,"Analog Devices, Inc.",3.604025920308852,7684306,2.4204304925181472,182060931644.296,USD,44.586319836711446,8.4268,USD,114.37875241681084,1.15262649937957,Electronic technology,Strong buy,375.72,USD,Semiconductors
KXIAY,KIOXIA HLDGS CORP,9.03149138443258,2392617,1.2761370625257382,175329648364.92474,USD,23.198482932996207,1.582,USD,480.3374908290536,0,Electronic technology,No rating,36.7,USD,Computer peripherals
SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored,-1.7964071856287442,1452334,0.9981750381257098,167086565204.23468,USD,15.078726583151361,1.7402,USD,42.091940883481676,1.80244760479042,Finance,Buy,26.24,USD,Major banks
SCCO,Southern Copper Corporation,-0.20906634031922136,1380159,1.2162224323831794,165238060444.4475,USD,29.310887114892083,6.6767,USD,55.917519032273155,1.98927607542393,Non-energy minerals,Sell,195.7,USD,Other metals/Minerals
RYCEY,Rolls Royce Holdings plc,-1.6468203699011874,1045553,0.5373242311642329,164081944872.3432,USD,39.995878837832265,0.4853,USD,-45.126639529624605,0.712961182246065,Electronic technology,Strong buy,19.41,USD,Aerospace & defense
BBVA,Banco Bilbao Vizcaya Argentaria S.A.,-1.6302462712452268,2402999,2.233028673010775,160617156614.0203,USD,12.588219628034977,2.2529,USD,14.331387972595788,3.01227887617066,Finance,Neutral,28.36,USD,Major banks
WDC,Western Digital Corporation,4.126265128459199,13396304,2.1829182020970728,159128340415.38055,USD,18.256801419642525,24.1751,USD,370.6348433819378,0.117960695496261,Electronic technology,Buy,441.36,USD,Computer peripherals
IBKR,"Interactive Brokers Group, Inc.",2.613713509843859,6073235,1.7295405660245715,154291731257.31,USD,36.10558165459033,2.5118,USD,31.735459170294224,0.370558949988685,Finance,Buy,90.69,USD,Investment banks/Brokers
UBS,UBS Group AG Registered,0.1382852627419998,1964928,1.1830452387186785,153485407109.54306,USD,17.591061933194265,2.8815770300000003,USD,40.501481459897725,2.04480783003103,Finance,Neutral,50.69,USD,Investment managers
NOW,"ServiceNow, Inc.",-2.1665342673503285,18816371,1.4203382938163347,140075981234.65833,USD,84.60001248985199,1.6013,USD,0.7740717432347375,0,Technology services,Strong buy,135.47,USD,Packaged software
MFG,"Mizuho Financial Group, Inc. Sponosred",-1.1743450767841082,2747757,0.7686728059626087,133606306177.40163,USD,15.039868023095957,0.7274,USD,53.97967823878071,1.25931345980126,Finance,Buy,10.94,USD,Major banks
NEM,Newmont Corporation,-0.7878446820483994,21487219,3.241139073722756,130036161260.53627,USD,15.583448032023032,7.9193,USD,42.18029048995494,0.82000160784629,Non-energy minerals,Buy,123.41,USD,Precious metals
GLW,Corning Incorporated,1.5764546684708958,14380925,1.552836294416792,129320228999.63991,USD,68.86065498578111,2.1802,USD,130.83112758073054,0.757780784844384,Electronic technology,Buy,150.13,USD,Electronic components
SNOW,Snowflake Inc.,-1.7612813617423624,4309524,0.6665527575928242,117281305018.73552,USD,,-3.1745,USD,23.458070116217392,0,Technology services,Strong buy,332.43,USD,Packaged software
HOOD,"Robinhood Markets, Inc.",9.115745378380831,38975283,1.511857306997688,107728037356.03734,USD,53.05995925958728,2.2582,USD,14.69930922389272,0,Finance,Buy,119.82,USD,Investment banks/Brokers
ING,"ING Group, N.V.",-1.4084507042253605,1697981,0.9462189964226615,103371648126.9567,USD,13.543682095549931,2.6876,USD,,3.04289274106176,Finance,Buy,36.4,USD,Major banks
FCX,"Freeport-McMoRan, Inc.",0.9738884968242936,14949129,1.2481844850345774,102732686593.33524,USD,35.32490618210548,2.0252,USD,53.400999848507794,0.846859562455893,Non-energy minerals,Buy,71.54,USD,Other metals/Minerals
AEM,Agnico Eagle Mines Limited,-0.9336048070715576,1848016,0.9952934552643432,101635580749.80228,USD,17.529522073648003,11.380230399999999,USD,88.58597700083142,0.832847776005671,Non-energy minerals,Buy,199.49,USD,Precious metals
ABNB,"Airbnb, Inc.",0.1747724944253553,9496801,2.45250455105753,99530154250.61966,USD,37.781566087055346,4.3995,USD,6.145049218297618,0,Consumer services,Buy,166.22,USD,Hotels/Resorts/Cruise lines
LYG,Lloyds Banking Group Plc,-2.1885521885522015,10109600,0.6359390803373306,86590516753.1817,USD,13.581112669471715,0.4278,USD,,3.59641414141414,Finance,Buy,5.81,USD,Major banks
ASX,"ASE Technology Holding Co., Ltd.",4.101025256314079,19162894,2.9308530804150514,84630665028.37013,USD,48.70714870714871,0.8547,USD,81.04215208642236,0.749502375593898,Electronic technology,Strong buy,41.63,USD,Semiconductors
EMR,Emerson Electric Company,1.709633649932145,3863829,1.862862742161781,83625370707.03065,USD,32.76009002906278,4.5763,USD,-1.699102117970537,1.50610583446404,Electronic technology,Buy,149.92,USD,Electronic equipment/Instruments
DASH,"DoorDash, Inc.",-0.8326480263157918,7170393,2.154734902649635,83605516060.53596,USD,101.31274942239025,1.9044,USD,5.953043284744631,0,Transportation,Buy,192.94,USD,Air freight/Couriers
LITE,Lumentum Holdings Inc.,4.1740804153937345,9240043,2.0362851544043497,83502622790.32541,USD,,-82.2281,USD,-34971.96776929601,0,Producer manufacturing,Strong buy,930.91,USD,Electrical products
BE,Bloom Energy Corporation,-5.388944294058981,73271792,4.877535579144223,78235301041.08995,USD,361.9430440114457,0.7339,USD,15514.893617021275,0,Electronic technology,Buy,265.63,USD,Electronic production equipment
NWG,NatWest Group plc,-1.4255543822597654,2517773,0.7893936684292823,75541516765.27559,USD,9.335,2,USD,29.483361388061635,4.86297782470961,Finance,Buy,18.67,USD,Major banks
GM,General Motors Company,-5.102747633341032,21132505,3.235721022592026,72126518717.68414,USD,41.46070816100071,1.9826,USD,-68.57106623125456,0.761948741630109,Consumer durables,Buy,82.2,USD,Motor vehicles
B,Barrick Mining Corporation,-0.8239871824216056,9964413,1.3209380026264685,71316170848.66924,USD,11.443394153489907,3.7864639999999996,USD,132.02622249078243,2.12630640941792,Non-energy minerals,Buy,43.33,USD,Precious metals
DB,Deutsche Bank AG,-2.740076824583868,1866519,1.0400143756216211,71147136203.73193,USD,10.063760280784951,3.7739372700000002,USD,5.9743008571097045,2.920134326179,Finance,Buy,37.98,USD,Investment banks/Brokers
WPM,Wheaton Precious Metals Corp,-0.781865965834427,1480440,0.8905838640959062,68582697151.85771,USD,34.42455439795396,4.3866944,USD,146.00875424842607,0.489600056330094,Non-energy minerals,Strong buy,151.01,USD,Precious metals
