Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency,Industry
NVDA,NVIDIA Corporation,-1.468082317472807,86448881,0.796980964577266,5434790884051.58,USD,28.507319293100398,7.9106,USD,125.14871211043119,0.122340193122733,Electronic technology,Strong buy,225.51,USD,Semiconductors
MSFT,Microsoft Corporation,0.5200803212851355,19267362,0.9259711397034379,3717153776870.3057,USD,27.895170907307723,17.9454,USD,31.54908515130189,0.730923694779117,Technology services,Strong buy,500.59,USD,Packaged software
AMZN,"Amazon.com, Inc.",-2.239391324809781,43638211,1.2221657322377502,2688704558678.654,USD,20.049708025674438,12.4326,USD,89.7295812477109,0,Retail trade,Strong buy,249.27,USD,Internet retail
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,-1.20132743362832,10152931,0.9460734117702126,2011285506293.4534,USD,32.23168531216167,13.855,USD,57.778461047908635,0.610971017699115,Electronic technology,Strong buy,446.57,USD,Semiconductors
META,"Meta Platforms, Inc.",1.0188774021002036,30172262,1.2031528471793462,1895599238892.0093,USD,28.02879345480023,26.5477,USD,-3.857269092594742,0.285095608848825,Technology services,Strong buy,744.1,USD,Internet software/Services
MU,"Micron Technology, Inc.",-2.2150051087432465,21360121,0.8382119201363427,1210573877766.617,USD,24.265995956723817,44.1721,USD,697.287150515315,0.0483506057509853,Electronic technology,Strong buy,1071.88,USD,Semiconductors
AMD,"Advanced Micro Devices, Inc.",-1.4684899882969635,16213850,0.6369519232655262,1003335476161.4083,USD,157.73386372385474,3.8965,USD,124.2848097622748,0,Electronic technology,Strong buy,614.61,USD,Semiconductors
ASML,ASML Holding N.V. - New York Registry Shares,-0.18822587104526523,1243811,0.8678500944907217,659157272829.5844,USD,54.31368886398306,32.121,USD,23.100094276713666,0.441394645002575,Electronic technology,Strong buy,1744.61,USD,Semiconductors
INTC,Intel Corporation,-1.017277571451643,84457359,0.6997991165726839,648076533662.5511,USD,,-2.1201,USD,55.48626858150668,0,Electronic technology,Buy,122.6,USD,Semiconductors
PLTR,Palantir Technologies Inc.,3.6758743715876436,34676406,1.4122153133653657,460882562312.42957,USD,163.43417128248828,1.1735,USD,289.99667663675643,0,Technology services,Buy,191.79,USD,Packaged software
LRCX,Lam Research Corporation,-1.1834319526627242,9107962,0.8486591269616692,384505920117.2308,USD,53.30927638313006,5.7641,USD,38.61340900346286,0.334448160535117,Producer manufacturing,Strong buy,307.28,USD,Industrial machinery
AMAT,"Applied Materials, Inc.",0.40638360919443256,4574877,0.6644424456897375,376466733547.6924,USD,40.904701134756664,11.5972,USD,38.26930872499227,0.419083096981755,Producer manufacturing,Strong buy,474.38,USD,Industrial machinery
ARM,Arm Holdings plc,-0.19207683073228882,6945200,1.200940216600493,355857613037,USD,341.1571604431678,0.9748,USD,48.43916552459267,0,Electronic technology,Buy,332.56,USD,Semiconductors
DELL,Dell Technologies Inc.,0.16578007724260035,8217196,0.835137698949381,349588918408.6958,USD,31.918055531367738,17.2263,USD,153.3204905738066,0.420826349923486,Electronic technology,Buy,549.83,USD,Computer processing hardware
HSBC,"HSBC Holdings, plc.",-1.3190274633330086,1462004,1.0024234308636553,345199297044.1089,USD,14.363493086897343,6.9795,USD,38.945293836598175,3.67162122256128,Finance,Buy,100.25,USD,Major banks
PANW,"Palo Alto Networks, Inc.",5.000400459193213,6196353,0.8712849638365615,321719406290.574,USD,767.4146341463415,0.5125,USD,-67.97075182801076,0,Technology services,Buy,393.3,USD,Packaged software
MS,Morgan Stanley,-0.8941952242981419,4302414,0.7289934743062915,311584633718.17847,USD,16.02970169031382,12.3764,USD,40.22978086972287,2.07313417923869,Finance,Buy,198.39,USD,Investment managers
