Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency,Industry
NVDA,NVIDIA Corporation,0.3695529435918487,108998358,0.6804023144908723,4732310073853,USD,29.947318447731938,6.5298,USD,110.33338701884364,0.143185885962669,Electronic technology,Strong buy,195.55,USD,Semiconductors
AAPL,Apple Inc.,1.305770663901769,53589551,0.6216481678695891,4592148919978,USD,37.822536744692435,8.2665,USD,29.004822172630675,0.33582805603531,Electronic technology,Buy,312.66,USD,Telecommunications equipment
GOOG,Alphabet Inc.,2.448200348138573,22652679,0.7566381584874409,4442289031934,USD,27.8356256341015,13.1091,USD,46.187815730487436,0.232940531652508,Technology services,Strong buy,364.9,USD,Internet software/Services
GOOGL,Alphabet Inc.,1.8198994192992566,26915705,0.588003167745587,4442289031934,USD,27.954626938538876,13.1091,USD,46.187815730487436,0.231948916662119,Technology services,Strong buy,366.46,USD,Internet software/Services
AMZN,"Amazon.com, Inc.",0.6140025549099638,40043849,0.47277600871127723,2626455864393.9995,USD,29.178866355151357,8.3677,USD,36.47513577870922,0,Retail trade,Strong buy,244.16,USD,Internet retail
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,4.060714943799519,12788164,0.754196317673677,1990871545305.9531,USD,37.54872383042029,12.0321,USD,54.805465493283926,0.614010712941853,Electronic technology,Strong buy,451.79,USD,Semiconductors
AVGO,Broadcom Inc.,3.7314468026078482,24543951,0.8289210944605059,1778859162172.9998,USD,62.24404860995505,6.007,USD,125.81008946695735,0.679326023000802,Electronic technology,Strong buy,373.9,USD,Semiconductors
TSLA,"Tesla, Inc.",6.689541237768457,54723877,1.1112049639158537,1576540068084,USD,383.49168646080756,1.0946,USD,-39.80422349318082,0,Consumer durables,Neutral,419.77,USD,Motor vehicles
MU,"Micron Technology, Inc.",0.9420230431752075,37114461,0.5868568787113535,1112169822144,USD,22.293483895943368,44.1721,USD,697.287150515315,0.0502665651180503,Electronic technology,Strong buy,984.75,USD,Semiconductors
AMD,"Advanced Micro Devices, Inc.",6.610405160094222,30683887,0.9468300627440464,900173033562,USD,181.18415438642555,3.0469,USD,123.34701656648583,0,Electronic technology,Buy,552.05,USD,Semiconductors
ASML,ASML Holding N.V. - New York Registry Shares,3.150928040151019,1944886,0.8296690667761923,711850555995.7662,USD,60.85351703166262,29.9912,USD,26.402744587321447,0.409179812281173,Electronic technology,Buy,1825.07,USD,Semiconductors
INTC,Intel Corporation,1.5371832156211123,86943903,0.6775595320515719,614177184662,USD,,-0.6263,USD,85.99601994499474,0,Electronic technology,Neutral,122.2,USD,Semiconductors
AMAT,"Applied Materials, Inc.",-1.6997214115149908,8622746,0.5501346868019299,470651182168.99994,USD,55.69764164239405,10.643,USD,29.538345443701996,0.322205165404275,Producer manufacturing,Strong buy,592.79,USD,Industrial machinery
LRCX,Lam Research Corporation,-0.3443271392390758,13581653,0.796140842261507,437949995197,USD,66.09916762613013,5.2981,USD,47.59583240472476,0.296973158195317,Producer manufacturing,Buy,350.2,USD,Industrial machinery
UNH,UnitedHealth Group Incorporated,-1.7326499905962018,6379039,0.9419505377251025,379595247212,USD,31.568334239622985,13.2408,USD,-44.64988148934658,2.14119955022847,Health services,Buy,417.99,USD,Managed health care
MS,Morgan Stanley,3.8190062169868586,4567702,0.6872210004246514,350314988606,USD,20.115749336569724,11.0411,USD,29.550841292563295,1.80099054479964,Finance,Buy,222.1,USD,Investment managers
ARM,Arm Holdings plc,2.2075615326059492,5296580,0.4960437723429388,342863349609,USD,380.7183364839319,0.8464,USD,13.595490538182803,0,Electronic technology,Buy,322.24,USD,Semiconductors
